Mes y año	'Aragón'	Sector código	Sector descripcion	Sexo	Nº parados
Agosto 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2654
Agosto 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1422
Agosto 2020	Aragón	2	Industria y energía	Hombres	5057
Agosto 2020	Aragón	2	Industria y energía	Mujeres	3813
Agosto 2020	Aragón	3	Construcción	Hombres	4081
Agosto 2020	Aragón	3	Construcción	Mujeres	677
Agosto 2020	Aragón	4	Servicios	Hombres	17806
Agosto 2020	Aragón	4	Servicios	Mujeres	34472
Agosto 2020	Aragón		Sin empleo anterior	Hombres	2375
Agosto 2020	Aragón		Sin empleo anterior	Mujeres	4566
Julio 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2651
Julio 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1383
Julio 2020	Aragón	2	Industria y energía	Hombres	4976
Julio 2020	Aragón	2	Industria y energía	Mujeres	3820
Julio 2020	Aragón	3	Construcción	Hombres	4047
Julio 2020	Aragón	3	Construcción	Mujeres	666
Julio 2020	Aragón	4	Servicios	Hombres	17607
Julio 2020	Aragón	4	Servicios	Mujeres	34042
Julio 2020	Aragón		Sin empleo anterior	Hombres	2234
Julio 2020	Aragón		Sin empleo anterior	Mujeres	4359
Junio 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2308
Junio 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1251
Junio 2020	Aragón	2	Industria y energía	Hombres	4897
Junio 2020	Aragón	2	Industria y energía	Mujeres	3842
Junio 2020	Aragón	3	Construcción	Hombres	4119
Junio 2020	Aragón	3	Construcción	Mujeres	665
Junio 2020	Aragón	4	Servicios	Hombres	18553
Junio 2020	Aragón	4	Servicios	Mujeres	34697
Junio 2020	Aragón		Sin empleo anterior	Hombres	2021
Junio 2020	Aragón		Sin empleo anterior	Mujeres	4107
Mayo 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2014
Mayo 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1153
Mayo 2020	Aragón	2	Industria y energía	Hombres	5031
Mayo 2020	Aragón	2	Industria y energía	Mujeres	3973
Mayo 2020	Aragón	3	Construcción	Hombres	4461
Mayo 2020	Aragón	3	Construcción	Mujeres	673
Mayo 2020	Aragón	4	Servicios	Hombres	19799
Mayo 2020	Aragón	4	Servicios	Mujeres	35650
Mayo 2020	Aragón		Sin empleo anterior	Hombres	1856
Mayo 2020	Aragón		Sin empleo anterior	Mujeres	3919
Abril 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2310
Abril 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1281
Abril 2020	Aragón	2	Industria y energía	Hombres	5054
Abril 2020	Aragón	2	Industria y energía	Mujeres	3936
Abril 2020	Aragón	3	Construcción	Hombres	4757
Abril 2020	Aragón	3	Construcción	Mujeres	687
Abril 2020	Aragón	4	Servicios	Hombres	20005
Abril 2020	Aragón	4	Servicios	Mujeres	35583
Abril 2020	Aragón		Sin empleo anterior	Hombres	1798
Abril 2020	Aragón		Sin empleo anterior	Mujeres	3803
Marzo 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2456
Marzo 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1344
Marzo 2020	Aragón	2	Industria y energía	Hombres	4527
Marzo 2020	Aragón	2	Industria y energía	Mujeres	3661
Marzo 2020	Aragón	3	Construcción	Hombres	4152
Marzo 2020	Aragón	3	Construcción	Mujeres	611
Marzo 2020	Aragón	4	Servicios	Hombres	17250
Marzo 2020	Aragón	4	Servicios	Mujeres	32956
Marzo 2020	Aragón		Sin empleo anterior	Hombres	1762
Marzo 2020	Aragón		Sin empleo anterior	Mujeres	3762
Febrero 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2316
Febrero 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1314
Febrero 2020	Aragón	2	Industria y energía	Hombres	4140
Febrero 2020	Aragón	2	Industria y energía	Mujeres	3477
Febrero 2020	Aragón	3	Construcción	Hombres	3593
Febrero 2020	Aragón	3	Construcción	Mujeres	586
Febrero 2020	Aragón	4	Servicios	Hombres	15096
Febrero 2020	Aragón	4	Servicios	Mujeres	30928
Febrero 2020	Aragón		Sin empleo anterior	Hombres	1751
Febrero 2020	Aragón		Sin empleo anterior	Mujeres	3771
Enero 2020	Aragón	1	Agricultura, ganadería y pesca	Hombres	2416
Enero 2020	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1338
Enero 2020	Aragón	2	Industria y energía	Hombres	4238
Enero 2020	Aragón	2	Industria y energía	Mujeres	3504
Enero 2020	Aragón	3	Construcción	Hombres	3790
Enero 2020	Aragón	3	Construcción	Mujeres	599
Enero 2020	Aragón	4	Servicios	Hombres	15245
Enero 2020	Aragón	4	Servicios	Mujeres	31090
Enero 2020	Aragón		Sin empleo anterior	Hombres	1668
Enero 2020	Aragón		Sin empleo anterior	Mujeres	3747
Diciembre 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2400
Diciembre 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1358
Diciembre 2019	Aragón	2	Industria y energía	Hombres	4226
Diciembre 2019	Aragón	2	Industria y energía	Mujeres	3506
Diciembre 2019	Aragón	3	Construcción	Hombres	3803
Diciembre 2019	Aragón	3	Construcción	Mujeres	578
Diciembre 2019	Aragón	4	Servicios	Hombres	14719
Diciembre 2019	Aragón	4	Servicios	Mujeres	29059
Diciembre 2019	Aragón		Sin empleo anterior	Hombres	1574
Diciembre 2019	Aragón		Sin empleo anterior	Mujeres	3633
Noviembre 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2420
Noviembre 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1450
Noviembre 2019	Aragón	2	Industria y energía	Hombres	3944
Noviembre 2019	Aragón	2	Industria y energía	Mujeres	3406
Noviembre 2019	Aragón	3	Construcción	Hombres	3537
Noviembre 2019	Aragón	3	Construcción	Mujeres	575
Noviembre 2019	Aragón	4	Servicios	Hombres	14618
Noviembre 2019	Aragón	4	Servicios	Mujeres	29803
Noviembre 2019	Aragón		Sin empleo anterior	Hombres	1673
Noviembre 2019	Aragón		Sin empleo anterior	Mujeres	3797
Octubre 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2548
Octubre 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1377
Octubre 2019	Aragón	2	Industria y energía	Hombres	3904
Octubre 2019	Aragón	2	Industria y energía	Mujeres	3327
Octubre 2019	Aragón	3	Construcción	Hombres	3475
Octubre 2019	Aragón	3	Construcción	Mujeres	575
Octubre 2019	Aragón	4	Servicios	Hombres	14615
Octubre 2019	Aragón	4	Servicios	Mujeres	29849
Octubre 2019	Aragón		Sin empleo anterior	Hombres	1732
Octubre 2019	Aragón		Sin empleo anterior	Mujeres	3833
Septiembre 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	1995
Septiembre 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1145
Septiembre 2019	Aragón	2	Industria y energía	Hombres	3836
Septiembre 2019	Aragón	2	Industria y energía	Mujeres	3246
Septiembre 2019	Aragón	3	Construcción	Hombres	3488
Septiembre 2019	Aragón	3	Construcción	Mujeres	580
Septiembre 2019	Aragón	4	Servicios	Hombres	13990
Septiembre 2019	Aragón	4	Servicios	Mujeres	29006
Septiembre 2019	Aragón		Sin empleo anterior	Hombres	1772
Septiembre 2019	Aragón		Sin empleo anterior	Mujeres	3805
Agosto 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	1799
Agosto 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1031
Agosto 2019	Aragón	2	Industria y energía	Hombres	3765
Agosto 2019	Aragón	2	Industria y energía	Mujeres	3253
Agosto 2019	Aragón	3	Construcción	Hombres	3457
Agosto 2019	Aragón	3	Construcción	Mujeres	587
Agosto 2019	Aragón	4	Servicios	Hombres	13697
Agosto 2019	Aragón	4	Servicios	Mujeres	28450
Agosto 2019	Aragón		Sin empleo anterior	Hombres	1783
Agosto 2019	Aragón		Sin empleo anterior	Mujeres	3661
Julio 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2033
Julio 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1059
Julio 2019	Aragón	2	Industria y energía	Hombres	3599
Julio 2019	Aragón	2	Industria y energía	Mujeres	3223
Julio 2019	Aragón	3	Construcción	Hombres	3296
Julio 2019	Aragón	3	Construcción	Mujeres	586
Julio 2019	Aragón	4	Servicios	Hombres	13087
Julio 2019	Aragón	4	Servicios	Mujeres	27911
Julio 2019	Aragón		Sin empleo anterior	Hombres	1854
Julio 2019	Aragón		Sin empleo anterior	Mujeres	3806
Junio 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	1672
Junio 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	911
Junio 2019	Aragón	2	Industria y energía	Hombres	3537
Junio 2019	Aragón	2	Industria y energía	Mujeres	3241
Junio 2019	Aragón	3	Construcción	Hombres	3271
Junio 2019	Aragón	3	Construcción	Mujeres	573
Junio 2019	Aragón	4	Servicios	Hombres	13020
Junio 2019	Aragón	4	Servicios	Mujeres	27517
Junio 2019	Aragón		Sin empleo anterior	Hombres	1860
Junio 2019	Aragón		Sin empleo anterior	Mujeres	3906
Mayo 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	1724
Mayo 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	997
Mayo 2019	Aragón	2	Industria y energía	Hombres	3578
Mayo 2019	Aragón	2	Industria y energía	Mujeres	3248
Mayo 2019	Aragón	3	Construcción	Hombres	3295
Mayo 2019	Aragón	3	Construcción	Mujeres	565
Mayo 2019	Aragón	4	Servicios	Hombres	13410
Mayo 2019	Aragón	4	Servicios	Mujeres	28127
Mayo 2019	Aragón		Sin empleo anterior	Hombres	1779
Mayo 2019	Aragón		Sin empleo anterior	Mujeres	4008
Abril 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2350
Abril 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1247
Abril 2019	Aragón	2	Industria y energía	Hombres	3727
Abril 2019	Aragón	2	Industria y energía	Mujeres	3420
Abril 2019	Aragón	3	Construcción	Hombres	3493
Abril 2019	Aragón	3	Construcción	Mujeres	565
Abril 2019	Aragón	4	Servicios	Hombres	14119
Abril 2019	Aragón	4	Servicios	Mujeres	28946
Abril 2019	Aragón		Sin empleo anterior	Hombres	1813
Abril 2019	Aragón		Sin empleo anterior	Mujeres	4070
Marzo 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2582
Marzo 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1363
Marzo 2019	Aragón	2	Industria y energía	Hombres	3744
Marzo 2019	Aragón	2	Industria y energía	Mujeres	3487
Marzo 2019	Aragón	3	Construcción	Hombres	3457
Marzo 2019	Aragón	3	Construcción	Mujeres	561
Marzo 2019	Aragón	4	Servicios	Hombres	14494
Marzo 2019	Aragón	4	Servicios	Mujeres	29784
Marzo 2019	Aragón		Sin empleo anterior	Hombres	1822
Marzo 2019	Aragón		Sin empleo anterior	Mujeres	4118
Febrero 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2544
Febrero 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1322
Febrero 2019	Aragón	2	Industria y energía	Hombres	3927
Febrero 2019	Aragón	2	Industria y energía	Mujeres	3606
Febrero 2019	Aragón	3	Construcción	Hombres	3597
Febrero 2019	Aragón	3	Construcción	Mujeres	557
Febrero 2019	Aragón	4	Servicios	Hombres	15004
Febrero 2019	Aragón	4	Servicios	Mujeres	30541
Febrero 2019	Aragón		Sin empleo anterior	Hombres	1816
Febrero 2019	Aragón		Sin empleo anterior	Mujeres	4048
Enero 2019	Aragón	1	Agricultura, ganadería y pesca	Hombres	2570
Enero 2019	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1414
Enero 2019	Aragón	2	Industria y energía	Hombres	4166
Enero 2019	Aragón	2	Industria y energía	Mujeres	3692
Enero 2019	Aragón	3	Construcción	Hombres	3723
Enero 2019	Aragón	3	Construcción	Mujeres	575
Enero 2019	Aragón	4	Servicios	Hombres	15563
Enero 2019	Aragón	4	Servicios	Mujeres	31443
Enero 2019	Aragón		Sin empleo anterior	Hombres	1823
Enero 2019	Aragón		Sin empleo anterior	Mujeres	4090
Diciembre 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2628
Diciembre 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1440
Diciembre 2018	Aragón	2	Industria y energía	Hombres	4150
Diciembre 2018	Aragón	2	Industria y energía	Mujeres	3689
Diciembre 2018	Aragón	3	Construcción	Hombres	3651
Diciembre 2018	Aragón	3	Construcción	Mujeres	573
Diciembre 2018	Aragón	4	Servicios	Hombres	14893
Diciembre 2018	Aragón	4	Servicios	Mujeres	29406
Diciembre 2018	Aragón		Sin empleo anterior	Hombres	1766
Diciembre 2018	Aragón		Sin empleo anterior	Mujeres	3983
Noviembre 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2761
Noviembre 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1489
Noviembre 2018	Aragón	2	Industria y energía	Hombres	3902
Noviembre 2018	Aragón	2	Industria y energía	Mujeres	3661
Noviembre 2018	Aragón	3	Construcción	Hombres	3398
Noviembre 2018	Aragón	3	Construcción	Mujeres	584
Noviembre 2018	Aragón	4	Servicios	Hombres	14513
Noviembre 2018	Aragón	4	Servicios	Mujeres	30185
Noviembre 2018	Aragón		Sin empleo anterior	Hombres	1835
Noviembre 2018	Aragón		Sin empleo anterior	Mujeres	4156
Octubre 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2715
Octubre 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1347
Octubre 2018	Aragón	2	Industria y energía	Hombres	3892
Octubre 2018	Aragón	2	Industria y energía	Mujeres	3578
Octubre 2018	Aragón	3	Construcción	Hombres	3345
Octubre 2018	Aragón	3	Construcción	Mujeres	592
Octubre 2018	Aragón	4	Servicios	Hombres	14425
Octubre 2018	Aragón	4	Servicios	Mujeres	29966
Octubre 2018	Aragón		Sin empleo anterior	Hombres	1835
Octubre 2018	Aragón		Sin empleo anterior	Mujeres	4149
Septiembre 2018	Aragón	1	Agricultura, ganadería y pesca	Hombres	2325
Septiembre 2018	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1162
Septiembre 2018	Aragón	2	Industria y energía	Hombres	3777
