Municipio código	Municipio nombre	Personalidad jurídica	Explotaciones
22001	Abiego	Otras condiciones jurídicas	3
22001	Abiego	Persona física	50
22002	Abizanda	Entidad pública	1
22002	Abizanda	Persona física	25
22002	Abizanda	Sociedad mercantil	1
22003	Adahuesca	Otras condiciones jurídicas	7
22003	Adahuesca	Persona física	42
22003	Adahuesca	Sociedad mercantil	7
22004	Agüero	Persona física	25
22004	Agüero	Sociedad cooperativa	1
22006	Aísa	Entidad pública	4
22006	Aísa	Persona física	16
22007	Albalate de Cinca	Entidad pública	1
22007	Albalate de Cinca	Otras condiciones jurídicas	6
22007	Albalate de Cinca	Persona física	126
22007	Albalate de Cinca	Sociedad cooperativa	2
22007	Albalate de Cinca	Sociedad mercantil	19
22008	Albalatillo	Otras condiciones jurídicas	1
22008	Albalatillo	Persona física	10
22008	Albalatillo	Sociedad mercantil	6
22009	Albelda	Otras condiciones jurídicas	19
22009	Albelda	Persona física	224
22009	Albelda	Sociedad mercantil	16
22011	Albero Alto	Otras condiciones jurídicas	1
22011	Albero Alto	Persona física	19
22011	Albero Alto	Sociedad mercantil	1
22012	Albero Bajo	Otras condiciones jurídicas	1
22012	Albero Bajo	Persona física	29
22012	Albero Bajo	Sociedad mercantil	2
22013	Alberuela de Tubo	Entidad pública	1
22013	Alberuela de Tubo	Otras condiciones jurídicas	6
22013	Alberuela de Tubo	Persona física	34
22014	Alcalá de Gurrea	Otras condiciones jurídicas	3
22014	Alcalá de Gurrea	Persona física	35
22014	Alcalá de Gurrea	Sociedad cooperativa	1
22014	Alcalá de Gurrea	Sociedad mercantil	5
22015	Alcalá del Obispo	Entidad pública	1
22015	Alcalá del Obispo	Otras condiciones jurídicas	6
22015	Alcalá del Obispo	Persona física	69
22015	Alcalá del Obispo	Sociedad mercantil	4
22016	Alcampell	Otras condiciones jurídicas	21
22016	Alcampell	Persona física	160
22016	Alcampell	Sociedad cooperativa	1
22016	Alcampell	Sociedad mercantil	13
22017	Alcolea de Cinca	Entidad pública	1
22017	Alcolea de Cinca	Otras condiciones jurídicas	20
22017	Alcolea de Cinca	Persona física	139
22017	Alcolea de Cinca	Sociedad mercantil	4
22018	Alcubierre	Otras condiciones jurídicas	10
22018	Alcubierre	Persona física	67
22018	Alcubierre	Sociedad mercantil	2
22019	Alerre	Otras condiciones jurídicas	1
22019	Alerre	Persona física	13
22020	Alfántega	Entidad pública	2
22020	Alfántega	Otras condiciones jurídicas	1
22020	Alfántega	Persona física	19
22020	Alfántega	Sociedad mercantil	1
22021	Almudévar	Entidad pública	1
22021	Almudévar	Otras condiciones jurídicas	25
22021	Almudévar	Persona física	295
22021	Almudévar	Sociedad cooperativa	2
22021	Almudévar	Sociedad mercantil	8
22022	Almunia de San Juan	Entidad pública	1
22022	Almunia de San Juan	Otras condiciones jurídicas	2
22022	Almunia de San Juan	Persona física	69
22022	Almunia de San Juan	Sociedad mercantil	5
22023	Almuniente	Otras condiciones jurídicas	10
22023	Almuniente	Persona física	94
22023	Almuniente	Sociedad mercantil	3
22024	Alquézar	Persona física	54
22024	Alquézar	Sociedad mercantil	1
22025	Altorricón	Otras condiciones jurídicas	21
22025	Altorricón	Persona física	142
22025	Altorricón	Sociedad cooperativa	2
22025	Altorricón	Sociedad mercantil	15
22027	Angüés	Otras condiciones jurídicas	3
22027	Angüés	Persona física	59
22027	Angüés	Sociedad mercantil	3
22028	Ansó	Entidad pública	1
22028	Ansó	Otras condiciones jurídicas	2
22028	Ansó	Persona física	22
22029	Antillón	Entidad pública	1
22029	Antillón	Persona física	36
22029	Antillón	Sociedad mercantil	3
22032	Aragüés del Puerto	Entidad pública	1
22032	Aragüés del Puerto	Persona física	8
22035	Arén	Entidad pública	1
22035	Arén	Otras condiciones jurídicas	15
22035	Arén	Persona física	62
22035	Arén	Sociedad mercantil	7
22036	Argavieso	Otras condiciones jurídicas	3
22036	Argavieso	Persona física	24
22036	Argavieso	Sociedad mercantil	1
22037	Arguis	Persona física	10
22037	Arguis	Sociedad mercantil	4
22039	Ayerbe	Entidad pública	1
22039	Ayerbe	Persona física	88
22039	Ayerbe	Sociedad mercantil	2
22040	Azanuy-Alins	Otras condiciones jurídicas	2
22040	Azanuy-Alins	Persona física	58
22040	Azanuy-Alins	Sociedad mercantil	2
22041	Azara	Persona física	39
22042	Azlor	Persona física	40
22043	Baells	Entidad pública	1
22043	Baells	Otras condiciones jurídicas	2
22043	Baells	Persona física	42
22043	Baells	Sociedad mercantil	1
22044	Bailo	Entidad pública	4
22044	Bailo	Otras condiciones jurídicas	6
22044	Bailo	Persona física	59
22044	Bailo	Sociedad cooperativa	1
22044	Bailo	Sociedad mercantil	1
22045	Baldellou	Persona física	49
22045	Baldellou	Sociedad mercantil	2
22046	Ballobar	Entidad pública	1
22046	Ballobar	Otras condiciones jurídicas	11
22046	Ballobar	Persona física	134
22046	Ballobar	Sociedad mercantil	1
22047	Banastás	Otras condiciones jurídicas	2
22047	Banastás	Persona física	3
22048	Barbastro	Entidad pública	1
22048	Barbastro	Otras condiciones jurídicas	12
22048	Barbastro	Persona física	342
22048	Barbastro	Sociedad cooperativa	3
22048	Barbastro	Sociedad mercantil	16
22049	Barbués	Otras condiciones jurídicas	1
22049	Barbués	Persona física	28
22049	Barbués	Sociedad mercantil	2
22050	Barbuñales	Otras condiciones jurídicas	1
22050	Barbuñales	Persona física	24
22051	Bárcabo	Entidad pública	1
22051	Bárcabo	Otras condiciones jurídicas	15
22051	Bárcabo	Persona física	51
22051	Bárcabo	Sociedad mercantil	1
22052	Belver de Cinca	Entidad pública	1
22052	Belver de Cinca	Otras condiciones jurídicas	19
22052	Belver de Cinca	Persona física	203
