Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre	Comarca Código
2018	378	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza	17
2018	342	86	Actividades sanitarias	17	D.C. Zaragoza	17
2018	336	87	Asistencia en establecimientos residenciales	17	D.C. Zaragoza	17
2018	310	56	Servicios de comidas y bebidas	17	D.C. Zaragoza	17
2018	133	84	Administración Pública y defensa; Seguridad Social obligatoria	17	D.C. Zaragoza	17
2018	61	29	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2018	35	86	Actividades sanitarias	06	Hoya de Huesca / Plana de Uesca	06
2018	33	86	Actividades sanitarias	29	Comunidad de Teruel	29
2018	33	87	Asistencia en establecimientos residenciales	29	Comunidad de Teruel	29
2018	32	87	Asistencia en establecimientos residenciales	06	Hoya de Huesca / Plana de Uesca	06
2018	27	52	Almacenamiento y actividades anexas al transporte	15	Ribera Alta del Ebro	15
2018	25	56	Servicios de comidas y bebidas	06	Hoya de Huesca / Plana de Uesca	06
2018	25	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2018	23	10	Industria de la alimentación	05	Cinco Villas	05
2018	23	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	06	Hoya de Huesca / Plana de Uesca	06
2018	23	84	Administración Pública y defensa; Seguridad Social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2018	20	86	Actividades sanitarias	07	Somontano de Barbastro	07
2018	20	33	Reparación e instalación de maquinaria y equipo	15	Ribera Alta del Ebro	15
2018	18	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	29	Comunidad de Teruel	29
2018	17	55	Servicios de alojamiento	02	Alto Gállego	02
2018	17	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2018	17	56	Servicios de comidas y bebidas	29	Comunidad de Teruel	29
2018	17	84	Administración Pública y defensa; Seguridad Social obligatoria	29	Comunidad de Teruel	29
2018	16	22	Fabricación de productos de caucho y plásticos	16	Valdejalón	16
2018	16	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2018	16	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2018	15	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	05	Cinco Villas	05
2018	15	10	Industria de la alimentación	13	Campo de Borja	13
2018	15	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud	20
2018	14	87	Asistencia en establecimientos residenciales	07	Somontano de Barbastro	07
2018	14	29	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón	16
2018	14	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2018	14	86	Actividades sanitarias	20	Comunidad de Calatayud	20
2018	13	55	Servicios de alojamiento	01	La Jacetania	01
2018	13	87	Asistencia en establecimientos residenciales	15	Ribera Alta del Ebro	15
2018	13	84	Administración Pública y defensa; Seguridad Social obligatoria	16	Valdejalón	16
2018	12	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	08	Cinca Medio	08
2018	12	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	20	Comunidad de Calatayud	20
2018	12	55	Servicios de alojamiento	20	Comunidad de Calatayud	20
2018	11	29	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2018	11	84	Administración Pública y defensa; Seguridad Social obligatoria	20	Comunidad de Calatayud	20
2018	11	87	Asistencia en establecimientos residenciales	20	Comunidad de Calatayud	20
2018	11	86	Actividades sanitarias	28	Bajo Aragón	28
2018	10	56	Servicios de comidas y bebidas	07	Somontano de Barbastro	07
2018	10	56	Servicios de comidas y bebidas	08	Cinca Medio	08
2018	10	87	Asistencia en establecimientos residenciales	08	Cinca Medio	08
2018	10	10	Industria de la alimentación	11	Bajo Cinca / Baix Cinca	11
2018	10	10	Industria de la alimentación	18	Ribera Baja del Ebro	18
2018	9	84	Administración Pública y defensa; Seguridad Social obligatoria	01	La Jacetania	01
2018	9	87	Asistencia en establecimientos residenciales	09	La Litera / La Llitera	09
