Provincia código	Provincia nombre	Año	Orden	Siglas	Concejales
22	Huesca	2007	1	PSOE	631
22	Huesca	2007	2	PP	331
22	Huesca	2007	3	PAR	241
22	Huesca	2007	4	CHA	84
22	Huesca	2007	5	IU	6
22	Huesca	2007	9	CDL	0
22	Huesca	2007	10	IU-A	1
22	Huesca	2007	13	LV-GV	1
22	Huesca	2007	16	PFYV	0
22	Huesca	2007	18	P.S.	1
22	Huesca	2007	19	ALCIVI	0
22	Huesca	2007	20	AEI-CP	4
22	Huesca	2007	25	A.E.S.	2
22	Huesca	2007	26	AI	0
22	Huesca	2007	27	I.E.I.	0
22	Huesca	2007	28	LV	0
22	Huesca	2007	32	AE	1
22	Huesca	2007	34	AESCSB	1
22	Huesca	2007	41	FV	0
22	Huesca	2007	42	AE NAVAL-MI	0
22	Huesca	2007	43	AIEADO	0
22	Huesca	2011	1	PP	410
22	Huesca	2011	2	PSOE	577
22	Huesca	2011	3	PAR	261
22	Huesca	2011	4	CHA	57
22	Huesca	2011	5	IU	12
22	Huesca	2011	6	UPyD	0
22	Huesca	2011	7	COMPROMISO CON ARAGON	0
22	Huesca	2011	8	FIA	0
22	Huesca	2011	9	ECOLO	0
22	Huesca	2011	11	PACMA	0
22	Huesca	2011	12	CDL	0
22	Huesca	2011	17	AES	0
22	Huesca	2011	20	CDF	4
22	Huesca	2011	24	A E I POLEÑINO	1
22	Huesca	2011	28	AELEF	4
22	Huesca	2011	33	CCD	0
22	Huesca	2011	34	UCE	0
22	Huesca	2011	37	A E NAVAL-MIPANAS	0
22	Huesca	2015	1	PP	363
22	Huesca	2015	2	PSOE	616
22	Huesca	2015	4	PAR	226
22	Huesca	2015	5	C's	7
22	Huesca	2015	7	CHA	32
22	Huesca	2015	9	UPyD	0
22	Huesca	2015	10	EB	0
22	Huesca	2015	13	ARAGONSIPUEDE	14
22	Huesca	2015	15	CAMBIAR	23
22	Huesca	2015	28	FIA	2
22	Huesca	2015	42	CXF	1
22	Huesca	2015	47	C.P.Btro	0
22	Huesca	2015	63	A.E.G.	3
22	Huesca	2015	67	A.I.E.V.I.	3
22	Huesca	2015	73	AeF	2
