Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
01	La Jacetania	2007	18166	15268	9764	5504	104	233	9427	63,9507466596804
01	La Jacetania	2011	18664	14707	10112	4595	183	294	9635	68,7563745155368
01	La Jacetania	2015	18235	14570	9692	4878	224	321	9147	66,5202470830474
02	Alto Gállego	2007	13457	11049	7467	3582	62	163	7242	67,5807765408634
02	Alto Gállego	2011	14921	10856	7476	3380	112	220	7144	68,8651436993368
02	Alto Gállego	2015	14139	10589	7169	3420	152	176	6841	67,7023326093115
03	Sobrarbe	2007	7293	6640	5200	1440	42	97	5061	78,3132530120482
03	Sobrarbe	2011	7718	6123	5073	1050	74	132	4867	82,8515433610975
03	Sobrarbe	2015	7633	6036	4685	1351	117	148	4420	77,6176275679258
04	La Ribagorza	2007	12811	10998	8068	2930	113	197	7758	73,3587925077287
04	La Ribagorza	2011	13473	10300	7830	2470	111	169	7550	76,0194174757282
04	La Ribagorza	2015	12624	9695	7157	2538	173	228	6756	73,821557503868
05	Cinco Villas	2007	33154	26707	18453	8254	242	461	17750	69,0942449545063
05	Cinco Villas	2011	33331	25354	18206	7148	296	505	17405	71,8072099077069
05	Cinco Villas	2015	31442	24460	16995	7465	273	463	16259	69,4807849550286
06	Hoya de Huesca / Plana de Uesca	2007	64531	52304	34007	18297	288	893	32826	65,017971856837
06	Hoya de Huesca / Plana de Uesca	2011	68428	51815	35036	16779	618	1129	33289	67,6174852841841
06	Hoya de Huesca / Plana de Uesca	2015	68286	52037	34646	17391	599	950	33097	66,5795491669389
07	Somontano de Barbastro	2007	23464	19276	13944	5332	126	263	13555	72,3386594729197
07	Somontano de Barbastro	2011	24410	18818	13778	5040	193	318	13267	73,2171325326815
07	Somontano de Barbastro	2015	24086	18684	13113	5571	190	311	12612	70,1830443159923
08	Cinca Medio	2007	23072	18000	12903	5097	121	242	12540	71,6833333333333
08	Cinca Medio	2011	24051	17631	12537	5094	182	326	12029	71,107708014293
08	Cinca Medio	2015	24019	17446	11949	5497	195	211	11543	68,4913447208529
09	La Litera / La Llitera	2007	18847	15221	10378	4843	123	279	9976	68,1821168122988
09	La Litera / La Llitera	2011	19161	14558	10325	4233	150	282	9893	70,923203736777
09	La Litera / La Llitera	2015	18696	14174	9534	4640	223	238	9073	67,2640045153097
10	Los Monegros	2007	20896	18025	14472	3553	220	287	13965	80,2884882108183
10	Los Monegros	2011	20942	17028	13762	3266	232	280	13250	80,8198261686634
10	Los Monegros	2015	19826	16046	12222	3824	362	381	11479	76,1685155178861
11	Bajo Cinca / Baix Cinca	2007	23366	18010	12974	5036	134	302	12538	72,0377568017768
11	Bajo Cinca / Baix Cinca	2011	24670	17685	12598	5087	233	414	11951	71,2355103194798
11	Bajo Cinca / Baix Cinca	2015	24817	17713	11949	5764	345	367	11237	67,4589284706148
12	Tarazona y el Moncayo	2007	14575	11978	9097	2881	91	141	8865	75,947570546001
12	Tarazona y el Moncayo	2011	14730	11605	8927	2678	156	173	8598	76,9237397673417
12	Tarazona y el Moncayo	2015	14405	11408	8500	2908	200	164	8136	74,5091164095372
13	Campo de Borja	2007	14524	12076	9543	2533	139	169	9235	79,024511427625
13	Campo de Borja	2011	15517	11643	9426	2217	189	230	9007	80,9585158464313
13	Campo de Borja	2015	14600	11213	8354	2859	200	209	7945	74,5028092392758
14	Aranda	2007	7681	6357	4871	1486	61	113	4697	76,6241938021079
14	Aranda	2011	7617	6085	4739	1346	60	137	4542	77,8800328677075
14	Aranda	2015	7168	5829	4211	1618	95	90	4026	72,24223709041
15	Ribera Alta del Ebro	2007	24875	20420	15278	5142	134	317	14827	74,818805093046
15	Ribera Alta del Ebro	2011	27827	20790	15211	5579	229	411	14571	73,1649831649832
15	Ribera Alta del Ebro	2015	27379	20556	14786	5770	325	397	14064	71,9303366413699
16	Valdejalón	2007	26437	20642	15421	5221	159	275	14987	74,7069082453251
16	Valdejalón	2011	30533	20509	15121	5388	253	403	14465	73,728606953045
16	Valdejalón	2015	29179	19827	13814	6013	296	386	13132	69,6726685832451
17	Central	2007	702662	554865	336955	217910	1946	9280	325729	60,7273841384841
17	Central	2011	746719	549040	359401	189639	5386	12673	341342	65,4598936325222
17	Central	2015	743147	558033	366262	191771	4024	7276	354962	65,6344696460604
18	Ribera Baja del Ebro	2007	9197	7848	5880	1968	92	130	5658	74,9235474006116
18	Ribera Baja del Ebro	2011	9452	7512	5687	1825	130	139	5418	75,7055378061768
18	Ribera Baja del Ebro	2015	9102	7224	5424	1800	144	118	5162	75,0830564784053
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	13606	10974	8596	2378	106	171	8319	78,3305995990523
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	15016	10589	8000	2589	283	302	7415	75,5500991595051
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	14994	10230	7314	2916	259	224	6831	71,4956011730205
20	Comunidad de Calatayud	2007	40327	32790	24823	7967	299	491	24033	75,7029582189692
20	Comunidad de Calatayud	2011	42013	31464	24081	7383	320	538	23223	76,5350877192982
20	Comunidad de Calatayud	2015	39587	30166	21906	8260	455	554	20897	72,6181794072797
21	Campo de Cariñena	2007	10580	8370	6821	1549	94	103	6624	81,4934289127838
21	Campo de Cariñena	2011	11173	8231	6805	1426	89	115	6601	82,6752520957356
21	Campo de Cariñena	2015	10663	7724	6039	1685	124	124	5791	78,1848783013982
22	Campo de Belchite	2007	5196	4921	4117	804	54	63	4000	83,6618573460679
22	Campo de Belchite	2011	5260	4568	3905	663	67	66	3772	85,4859894921191
22	Campo de Belchite	2015	4967	4241	3439	802	68	87	3284	81,0893657156331
23	Bajo Martín	2007	7252	6257	4974	1283	48	64	4862	79,4949656384849
23	Bajo Martín	2011	7135	5774	4564	1210	44	79	4441	79,0439903013509
23	Bajo Martín	2015	6689	5399	4065	1334	151	122	3792	75,2917206890165
24	Campo de Daroca	2007	6594	5851	4669	1182	76	93	4500	79,7983250726372
24	Campo de Daroca	2011	6192	5351	4435	916	86	86	4263	82,8817043543263
24	Campo de Daroca	2015	6026	4997	3885	1112	72	127	3686	77,7466479887933
25	Jiloca	2007	13972	11492	8605	2887	142	166	8297	74,87817612252
25	Jiloca	2011	14142	10816	8248	2568	140	205	7903	76,2573964497041
25	Jiloca	2015	13205	10274	7196	3078	276	323	6597	70,040879890987
26	Cuencas Mineras	2007	9476	7910	5859	2051	85	95	5679	74,070796460177
26	Cuencas Mineras	2011	9094	7236	5647	1589	60	109	5478	78,0403537866224
26	Cuencas Mineras	2015	8701	6856	5261	1595	130	85	5046	76,7357059509918
27	Andorra-Sierra de Arcos	2007	11123	9231	6886	2345	83	105	6698	74,5964684216228
27	Andorra-Sierra de Arcos	2011	11523	8724	6602	2122	152	141	6309	75,6762952773957
27	Andorra-Sierra de Arcos	2015	10906	8427	6035	2392	207	148	5680	71,6150468731458
28	Bajo Aragón	2007	29128	22603	16778	5825	142	311	16325	74,229084634783
28	Bajo Aragón	2011	30311	21993	16426	5567	250	390	15786	74,6874005365344
28	Bajo Aragón	2015	29640	21583	15525	6058	419	365	14741	71,9316128434416
29	Comunidad de Teruel	2007	45313	36656	24941	11715	305	620	24016	68,0407027498909
29	Comunidad de Teruel	2011	46957	35633	24769	10864	518	819	23432	69,5114079645273
29	Comunidad de Teruel	2015	46724	35693	24180	11513	608	647	22925	67,7443756478861
30	Maestrazgo	2007	3737	3250	2621	629	33	32	2556	80,6461538461538
30	Maestrazgo	2011	3682	2938	2361	577	68	84	2209	80,3607896528251
30	Maestrazgo	2015	3402	2739	2141	598	106	124	1911	78,1672143117926
31	Sierra de Albarracín	2007	4912	4375	3518	857	70	79	3369	80,4114285714286
31	Sierra de Albarracín	2011	4930	4084	3451	633	65	68	3318	84,5004897159647
31	Sierra de Albarracín	2015	4690	3968	3204	764	90	81	3033	80,7459677419355
32	Gúdar-Javalambre	2007	8574	6749	5468	1281	84	115	5269	81,0194102830049
32	Gúdar-Javalambre	2011	8610	6270	5262	1008	72	105	5085	83,9234449760766
32	Gúdar-Javalambre	2015	7917	6014	4896	1118	188	107	4601	81,4100432324576
33	Matarraña / Matarranya	2007	8673	7401	5716	1685	62	97	5557	77,2328063775166
