Año	Inscripción provincia nombre	Inscripción provincia código	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2009	Huesca	22	0-15	Hombre	194	0	Sin clasificar
2009	Huesca	22	0-15	Hombre	5	1	No sabe leer ni escribir
2009	Huesca	22	0-15	Hombre	43	2	Inferior a graduado escolar o ESO
2009	Huesca	22	0-15	Hombre	7	3	Graduado escolar o ESO
2009	Huesca	22	0-15	Hombre	2	4	BUP, Bachiller, LOGSE ó superior
2009	Huesca	22	0-15	Mujer	212	0	Sin clasificar
2009	Huesca	22	0-15	Mujer	4	1	No sabe leer ni escribir
2009	Huesca	22	0-15	Mujer	33	2	Inferior a graduado escolar o ESO
2009	Huesca	22	0-15	Mujer	7	3	Graduado escolar o ESO
2009	Huesca	22	0-15	Mujer	2	4	BUP, Bachiller, LOGSE ó superior
2009	Huesca	22	16-64	Hombre	382	0	Sin clasificar
2009	Huesca	22	16-64	Hombre	1	1	No sabe leer ni escribir
2009	Huesca	22	16-64	Hombre	52	2	Inferior a graduado escolar o ESO
2009	Huesca	22	16-64	Hombre	256	3	Graduado escolar o ESO
2009	Huesca	22	16-64	Hombre	534	4	BUP, Bachiller, LOGSE ó superior
2009	Huesca	22	16-64	Mujer	348	0	Sin clasificar
2009	Huesca	22	16-64	Mujer	57	2	Inferior a graduado escolar o ESO
2009	Huesca	22	16-64	Mujer	254	3	Graduado escolar o ESO
2009	Huesca	22	16-64	Mujer	653	4	BUP, Bachiller, LOGSE ó superior
2009	Huesca	22	65 y más	Hombre	480	0	Sin clasificar
2009	Huesca	22	65 y más	Hombre	3	1	No sabe leer ni escribir
2009	Huesca	22	65 y más	Hombre	120	2	Inferior a graduado escolar o ESO
2009	Huesca	22	65 y más	Hombre	208	3	Graduado escolar o ESO
2009	Huesca	22	65 y más	Hombre	139	4	BUP, Bachiller, LOGSE ó superior
2009	Huesca	22	65 y más	Mujer	466	0	Sin clasificar
2009	Huesca	22	65 y más	Mujer	151	2	Inferior a graduado escolar o ESO
2009	Huesca	22	65 y más	Mujer	274	3	Graduado escolar o ESO
2009	Huesca	22	65 y más	Mujer	147	4	BUP, Bachiller, LOGSE ó superior
2009	Teruel	44	0-15	Hombre	115	0	Sin clasificar
2009	Teruel	44	0-15	Hombre	2	1	No sabe leer ni escribir
2009	Teruel	44	0-15	Hombre	31	2	Inferior a graduado escolar o ESO
2009	Teruel	44	0-15	Hombre	4	3	Graduado escolar o ESO
2009	Teruel	44	0-15	Mujer	121	0	Sin clasificar
2009	Teruel	44	0-15	Mujer	22	2	Inferior a graduado escolar o ESO
2009	Teruel	44	0-15	Mujer	1	3	Graduado escolar o ESO
2009	Teruel	44	16-64	Hombre	295	0	Sin clasificar
2009	Teruel	44	16-64	Hombre	51	2	Inferior a graduado escolar o ESO
2009	Teruel	44	16-64	Hombre	212	3	Graduado escolar o ESO
2009	Teruel	44	16-64	Hombre	329	4	BUP, Bachiller, LOGSE ó superior
2009	Teruel	44	16-64	Mujer	275	0	Sin clasificar
2009	Teruel	44	16-64	Mujer	3	1	No sabe leer ni escribir
2009	Teruel	44	16-64	Mujer	49	2	Inferior a graduado escolar o ESO
2009	Teruel	44	16-64	Mujer	212	3	Graduado escolar o ESO
2009	Teruel	44	16-64	Mujer	363	4	BUP, Bachiller, LOGSE ó superior
2009	Teruel	44	65 y más	Hombre	330	0	Sin clasificar
2009	Teruel	44	65 y más	Hombre	4	1	No sabe leer ni escribir
2009	Teruel	44	65 y más	Hombre	116	2	Inferior a graduado escolar o ESO
2009	Teruel	44	65 y más	Hombre	186	3	Graduado escolar o ESO
2009	Teruel	44	65 y más	Hombre	102	4	BUP, Bachiller, LOGSE ó superior
2009	Teruel	44	65 y más	Mujer	373	0	Sin clasificar
2009	Teruel	44	65 y más	Mujer	1	1	No sabe leer ni escribir
2009	Teruel	44	65 y más	Mujer	136	2	Inferior a graduado escolar o ESO
2009	Teruel	44	65 y más	Mujer	204	3	Graduado escolar o ESO
2009	Teruel	44	65 y más	Mujer	75	4	BUP, Bachiller, LOGSE ó superior
2009	Zaragoza	50	0-15	Hombre	1140	0	Sin clasificar
2009	Zaragoza	50	0-15	Hombre	17	1	No sabe leer ni escribir
2009	Zaragoza	50	0-15	Hombre	165	2	Inferior a graduado escolar o ESO
2009	Zaragoza	50	0-15	Hombre	30	3	Graduado escolar o ESO
2009	Zaragoza	50	0-15	Hombre	5	4	BUP, Bachiller, LOGSE ó superior
2009	Zaragoza	50	0-15	Mujer	991	0	Sin clasificar
2009	Zaragoza	50	0-15	Mujer	14	1	No sabe leer ni escribir
2009	Zaragoza	50	0-15	Mujer	146	2	Inferior a graduado escolar o ESO
2009	Zaragoza	50	0-15	Mujer	30	3	Graduado escolar o ESO
2009	Zaragoza	50	0-15	Mujer	10	4	BUP, Bachiller, LOGSE ó superior
2009	Zaragoza	50	16-64	Hombre	1284	0	Sin clasificar
2009	Zaragoza	50	16-64	Hombre	1	1	No sabe leer ni escribir
2009	Zaragoza	50	16-64	Hombre	181	2	Inferior a graduado escolar o ESO
2009	Zaragoza	50	16-64	Hombre	1046	3	Graduado escolar o ESO
2009	Zaragoza	50	16-64	Hombre	2131	4	BUP, Bachiller, LOGSE ó superior
2009	Zaragoza	50	16-64	Mujer	1475	0	Sin clasificar
2009	Zaragoza	50	16-64	Mujer	3	1	No sabe leer ni escribir
2009	Zaragoza	50	16-64	Mujer	145	2	Inferior a graduado escolar o ESO
2009	Zaragoza	50	16-64	Mujer	1182	3	Graduado escolar o ESO
2009	Zaragoza	50	16-64	Mujer	2489	4	BUP, Bachiller, LOGSE ó superior
2009	Zaragoza	50	65 y más	Hombre	774	0	Sin clasificar
2009	Zaragoza	50	65 y más	Hombre	182	2	Inferior a graduado escolar o ESO
2009	Zaragoza	50	65 y más	Hombre	481	3	Graduado escolar o ESO
2009	Zaragoza	50	65 y más	Hombre	328	4	BUP, Bachiller, LOGSE ó superior
2009	Zaragoza	50	65 y más	Mujer	956	0	Sin clasificar
2009	Zaragoza	50	65 y más	Mujer	2	1	No sabe leer ni escribir
2009	Zaragoza	50	65 y más	Mujer	247	2	Inferior a graduado escolar o ESO
2009	Zaragoza	50	65 y más	Mujer	682	3	Graduado escolar o ESO
2009	Zaragoza	50	65 y más	Mujer	331	4	BUP, Bachiller, LOGSE ó superior
2010	Huesca	22	0-15	Hombre	220	0	Sin clasificar
2010	Huesca	22	0-15	Hombre	5	1	No sabe leer ni escribir
2010	Huesca	22	0-15	Hombre	47	2	Inferior a graduado escolar o ESO
2010	Huesca	22	0-15	Hombre	11	3	Graduado escolar o ESO
2010	Huesca	22	0-15	Hombre	2	4	BUP, Bachiller, LOGSE ó superior
2010	Huesca	22	0-15	Mujer	255	0	Sin clasificar
2010	Huesca	22	0-15	Mujer	4	1	No sabe leer ni escribir
2010	Huesca	22	0-15	Mujer	40	2	Inferior a graduado escolar o ESO
2010	Huesca	22	0-15	Mujer	5	3	Graduado escolar o ESO
2010	Huesca	22	0-15	Mujer	2	4	BUP, Bachiller, LOGSE ó superior
2010	Huesca	22	16-64	Hombre	399	0	Sin clasificar
2010	Huesca	22	16-64	Hombre	1	1	No sabe leer ni escribir
2010	Huesca	22	16-64	Hombre	56	2	Inferior a graduado escolar o ESO
2010	Huesca	22	16-64	Hombre	266	3	Graduado escolar o ESO
2010	Huesca	22	16-64	Hombre	627	4	BUP, Bachiller, LOGSE ó superior
2010	Huesca	22	16-64	Mujer	400	0	Sin clasificar
2010	Huesca	22	16-64	Mujer	51	2	Inferior a graduado escolar o ESO
2010	Huesca	22	16-64	Mujer	256	3	Graduado escolar o ESO
2010	Huesca	22	16-64	Mujer	724	4	BUP, Bachiller, LOGSE ó superior
2010	Huesca	22	65 y más	Hombre	469	0	Sin clasificar
2010	Huesca	22	65 y más	Hombre	3	1	No sabe leer ni escribir
2010	Huesca	22	65 y más	Hombre	125	2	Inferior a graduado escolar o ESO
2010	Huesca	22	65 y más	Hombre	226	3	Graduado escolar o ESO
2010	Huesca	22	65 y más	Hombre	154	4	BUP, Bachiller, LOGSE ó superior
2010	Huesca	22	65 y más	Mujer	439	0	Sin clasificar
2010	Huesca	22	65 y más	Mujer	1	1	No sabe leer ni escribir
2010	Huesca	22	65 y más	Mujer	153	2	Inferior a graduado escolar o ESO
2010	Huesca	22	65 y más	Mujer	291	3	Graduado escolar o ESO
2010	Huesca	22	65 y más	Mujer	165	4	BUP, Bachiller, LOGSE ó superior
2010	Teruel	44	0-15	Hombre	117	0	Sin clasificar
2010	Teruel	44	0-15	Hombre	3	1	No sabe leer ni escribir
2010	Teruel	44	0-15	Hombre	29	2	Inferior a graduado escolar o ESO
2010	Teruel	44	0-15	Hombre	5	3	Graduado escolar o ESO
