Mes y año	Mes (código)	Sexo	Nivel formativo grupo IAEST descripción	Nivel formativo grupo IAEST código	Número de contratos	CCAA nombre
Abril 2021	202104	Hombres	Educación Primaria o inferior	10	7691	Aragón
Abril 2021	202104	Mujeres	Educación Primaria o inferior	10	5207	Aragón
Abril 2021	202104	Hombres	Primera etapa de educación secundaria	20	6930	Aragón
Abril 2021	202104	Mujeres	Primera etapa de educación secundaria	20	4923	Aragón
Abril 2021	202104	Hombres	Bachillerato	31	3393	Aragón
Abril 2021	202104	Mujeres	Bachillerato	31	2831	Aragón
Abril 2021	202104	Hombres	Enseñanza media de formación profesional	32	1375	Aragón
Abril 2021	202104	Mujeres	Enseñanza media de formación profesional	32	1064	Aragón
Abril 2021	202104	Hombres	Enseñanza superior de formación profesional	41	761	Aragón
Abril 2021	202104	Mujeres	Enseñanza superior de formación profesional	41	689	Aragón
Abril 2021	202104	Hombres	Enseñanza superior universitaria	42	1746	Aragón
Abril 2021	202104	Mujeres	Enseñanza superior universitaria	42	1927	Aragón
Marzo 2021	202103	Hombres	Educación Primaria o inferior	10	6990	Aragón
Marzo 2021	202103	Mujeres	Educación Primaria o inferior	10	4634	Aragón
Marzo 2021	202103	Hombres	Primera etapa de educación secundaria	20	7469	Aragón
Marzo 2021	202103	Mujeres	Primera etapa de educación secundaria	20	5130	Aragón
Marzo 2021	202103	Hombres	Bachillerato	31	3502	Aragón
Marzo 2021	202103	Mujeres	Bachillerato	31	2951	Aragón
Marzo 2021	202103	Hombres	Enseñanza media de formación profesional	32	1441	Aragón
Marzo 2021	202103	Mujeres	Enseñanza media de formación profesional	32	1091	Aragón
Marzo 2021	202103	Hombres	Enseñanza superior de formación profesional	41	880	Aragón
Marzo 2021	202103	Mujeres	Enseñanza superior de formación profesional	41	783	Aragón
Marzo 2021	202103	Hombres	Enseñanza superior universitaria	42	1950	Aragón
Marzo 2021	202103	Mujeres	Enseñanza superior universitaria	42	2192	Aragón
Febrero 2021	202102	Hombres	Educación Primaria o inferior	10	6437	Aragón
Febrero 2021	202102	Mujeres	Educación Primaria o inferior	10	3894	Aragón
Febrero 2021	202102	Hombres	Primera etapa de educación secundaria	20	6262	Aragón
Febrero 2021	202102	Mujeres	Primera etapa de educación secundaria	20	4179	Aragón
Febrero 2021	202102	Hombres	Bachillerato	31	2858	Aragón
Febrero 2021	202102	Mujeres	Bachillerato	31	2365	Aragón
Febrero 2021	202102	Hombres	Enseñanza media de formación profesional	32	1320	Aragón
Febrero 2021	202102	Mujeres	Enseñanza media de formación profesional	32	1009	Aragón
Febrero 2021	202102	Hombres	Enseñanza superior de formación profesional	41	785	Aragón
Febrero 2021	202102	Mujeres	Enseñanza superior de formación profesional	41	676	Aragón
Febrero 2021	202102	Hombres	Enseñanza superior universitaria	42	1727	Aragón
Febrero 2021	202102	Mujeres	Enseñanza superior universitaria	42	1788	Aragón
Enero 2021	202101	Hombres	Educación Primaria o inferior	10	5426	Aragón
Enero 2021	202101	Mujeres	Educación Primaria o inferior	10	3612	Aragón
Enero 2021	202101	Hombres	Primera etapa de educación secundaria	20	6749	Aragón
Enero 2021	202101	Mujeres	Primera etapa de educación secundaria	20	4642	Aragón
Enero 2021	202101	Hombres	Bachillerato	31	3121	Aragón
Enero 2021	202101	Mujeres	Bachillerato	31	2512	Aragón
Enero 2021	202101	Hombres	Enseñanza media de formación profesional	32	1438	Aragón
Enero 2021	202101	Mujeres	Enseñanza media de formación profesional	32	1131	Aragón
Enero 2021	202101	Hombres	Enseñanza superior de formación profesional	41	862	Aragón
Enero 2021	202101	Mujeres	Enseñanza superior de formación profesional	41	677	Aragón
Enero 2021	202101	Hombres	Enseñanza superior universitaria	42	1945	Aragón
Enero 2021	202101	Mujeres	Enseñanza superior universitaria	42	2183	Aragón
Diciembre 2020	202012	Hombres	Educación Primaria o inferior	10	5036	Aragón
Diciembre 2020	202012	Mujeres	Educación Primaria o inferior	10	3978	Aragón
Diciembre 2020	202012	Hombres	Primera etapa de educación secundaria	20	5991	Aragón
Diciembre 2020	202012	Mujeres	Primera etapa de educación secundaria	20	4333	Aragón
Diciembre 2020	202012	Hombres	Bachillerato	31	3243	Aragón
Diciembre 2020	202012	Mujeres	Bachillerato	31	2775	Aragón
Diciembre 2020	202012	Hombres	Enseñanza media de formación profesional	32	1205	Aragón
Diciembre 2020	202012	Mujeres	Enseñanza media de formación profesional	32	1022	Aragón
Diciembre 2020	202012	Hombres	Enseñanza superior de formación profesional	41	657	Aragón
Diciembre 2020	202012	Mujeres	Enseñanza superior de formación profesional	41	605	Aragón
Diciembre 2020	202012	Hombres	Enseñanza superior universitaria	42	1538	Aragón
Diciembre 2020	202012	Mujeres	Enseñanza superior universitaria	42	1881	Aragón
Noviembre 2020	202011	Hombres	Educación Primaria o inferior	10	6368	Aragón
Noviembre 2020	202011	Mujeres	Educación Primaria o inferior	10	4237	Aragón
Noviembre 2020	202011	Hombres	Primera etapa de educación secundaria	20	7115	Aragón
Noviembre 2020	202011	Mujeres	Primera etapa de educación secundaria	20	5662	Aragón
Noviembre 2020	202011	Hombres	Bachillerato	31	3190	Aragón
Noviembre 2020	202011	Mujeres	Bachillerato	31	2804	Aragón
Noviembre 2020	202011	Hombres	Enseñanza media de formación profesional	32	1356	Aragón
Noviembre 2020	202011	Mujeres	Enseñanza media de formación profesional	32	1272	Aragón
Noviembre 2020	202011	Hombres	Enseñanza superior de formación profesional	41	697	Aragón
Noviembre 2020	202011	Mujeres	Enseñanza superior de formación profesional	41	633	Aragón
Noviembre 2020	202011	Hombres	Enseñanza superior universitaria	42	1919	Aragón
Noviembre 2020	202011	Mujeres	Enseñanza superior universitaria	42	2279	Aragón
Octubre 2020	202010	Hombres	Educación Primaria o inferior	10	7099	Aragón
Octubre 2020	202010	Mujeres	Educación Primaria o inferior	10	5792	Aragón
Octubre 2020	202010	Hombres	Primera etapa de educación secundaria	20	8140	Aragón
Octubre 2020	202010	Mujeres	Primera etapa de educación secundaria	20	6258	Aragón
Octubre 2020	202010	Hombres	Bachillerato	31	3617	Aragón
Octubre 2020	202010	Mujeres	Bachillerato	31	3457	Aragón
Octubre 2020	202010	Hombres	Enseñanza media de formación profesional	32	1506	Aragón
Octubre 2020	202010	Mujeres	Enseñanza media de formación profesional	32	1355	Aragón
Octubre 2020	202010	Hombres	Enseñanza superior de formación profesional	41	825	Aragón
Octubre 2020	202010	Mujeres	Enseñanza superior de formación profesional	41	730	Aragón
Octubre 2020	202010	Hombres	Enseñanza superior universitaria	42	2225	Aragón
Octubre 2020	202010	Mujeres	Enseñanza superior universitaria	42	2718	Aragón
Septiembre 2020	202009	Hombres	Educación Primaria o inferior	10	8825	Aragón
Septiembre 2020	202009	Mujeres	Educación Primaria o inferior	10	6467	Aragón
Septiembre 2020	202009	Hombres	Primera etapa de educación secundaria	20	8614	Aragón
Septiembre 2020	202009	Mujeres	Primera etapa de educación secundaria	20	6352	Aragón
