Provincia código	Provincia nombre	Situación preferente	Edad	Sexo	Personas residentes viviendas familiares
22	Huesca	Estudiantes	16-25	Hombres	5075
22	Huesca	Estudiantes	16-25	Mujeres	6254
22	Huesca	Estudiantes	26-45	Hombres	362
22	Huesca	Estudiantes	26-45	Mujeres	598
22	Huesca	Estudiantes	46-64	Hombres	30
22	Huesca	Estudiantes	46-64	Mujeres	120
22	Huesca	Estudiantes	65 y más	Hombres	23
22	Huesca	Estudiantes	65 y más	Mujeres	67
22	Huesca	Ocupados	16-25	Hombres	6915
22	Huesca	Ocupados	16-25	Mujeres	3996
22	Huesca	Ocupados	26-45	Hombres	29232
22	Huesca	Ocupados	26-45	Mujeres	18583
22	Huesca	Ocupados	46-64	Hombres	17535
22	Huesca	Ocupados	46-64	Mujeres	7096
22	Huesca	Ocupados	65 y más	Hombres	561
22	Huesca	Ocupados	65 y más	Mujeres	404
22	Huesca	Parados buscando el primer empleo	16-25	Hombres	374
22	Huesca	Parados buscando el primer empleo	16-25	Mujeres	428
22	Huesca	Parados buscando el primer empleo	26-45	Hombres	242
22	Huesca	Parados buscando el primer empleo	26-45	Mujeres	344
22	Huesca	Parados buscando el primer empleo	46-64	Hombres	25
22	Huesca	Parados buscando el primer empleo	46-64	Mujeres	42
22	Huesca	Parados que han trabajado antes	16-25	Hombres	625
22	Huesca	Parados que han trabajado antes	16-25	Mujeres	650
22	Huesca	Parados que han trabajado antes	26-45	Hombres	1275
22	Huesca	Parados que han trabajado antes	26-45	Mujeres	2023
22	Huesca	Parados que han trabajado antes	46-64	Hombres	625
22	Huesca	Parados que han trabajado antes	46-64	Mujeres	493
22	Huesca	Parados que han trabajado antes	65 y más	Hombres	11
22	Huesca	Parados que han trabajado antes	65 y más	Mujeres	10
22	Huesca	Pensionistas de invalidez	16-25	Hombres	55
22	Huesca	Pensionistas de invalidez	16-25	Mujeres	25
22	Huesca	Pensionistas de invalidez	26-45	Hombres	519
22	Huesca	Pensionistas de invalidez	26-45	Mujeres	270
22	Huesca	Pensionistas de invalidez	46-64	Hombres	1158
22	Huesca	Pensionistas de invalidez	46-64	Mujeres	494
22	Huesca	Pensionistas de invalidez	65 y más	Hombres	655
22	Huesca	Pensionistas de invalidez	65 y más	Mujeres	428
22	Huesca	Pensionistas de viudedad u orfandad	16-25	Hombres	5
22	Huesca	Pensionistas de viudedad u orfandad	16-25	Mujeres	6
22	Huesca	Pensionistas de viudedad u orfandad	26-45	Hombres	18
22	Huesca	Pensionistas de viudedad u orfandad	26-45	Mujeres	81
22	Huesca	Pensionistas de viudedad u orfandad	46-64	Hombres	35
22	Huesca	Pensionistas de viudedad u orfandad	46-64	Mujeres	1019
22	Huesca	Pensionistas de viudedad u orfandad	65 y más	Hombres	179
22	Huesca	Pensionistas de viudedad u orfandad	65 y más	Mujeres	9348
22	Huesca	Pensionistas de jubilación	46-64	Hombres	2448
22	Huesca	Pensionistas de jubilación	46-64	Mujeres	557
22	Huesca	Pensionistas de jubilación	65 y más	Hombres	20269
22	Huesca	Pensionistas de jubilación	65 y más	Mujeres	6052
22	Huesca	Realizando tareas de voluntariado	16-25	Hombres	4
22	Huesca	Realizando tareas de voluntariado	16-25	Mujeres	4
22	Huesca	Realizando tareas de voluntariado	26-45	Hombres	3
22	Huesca	Realizando tareas de voluntariado	26-45	Mujeres	32
22	Huesca	Realizando tareas de voluntariado	46-64	Hombres	8
22	Huesca	Realizando tareas de voluntariado	46-64	Mujeres	43
22	Huesca	Realizando tareas de voluntariado	65 y más	Hombres	3
22	Huesca	Realizando tareas de voluntariado	65 y más	Mujeres	15
