Año	Código del municipio	Nombre del municipio	Superficie total de las explotaciones	Hectáreas en tierras labradas	Hectáreas en tierras para pastos permanentes	Hectáreas en especies arbóreas forestales	Hectáreas en otras tierras	Hectáreas en propiedad	Hectáreas en arrendamiento	Hectáreas en aparcería	Hectáreas en otros regímenes de tenencia de las tierras
1989	22001	Abiego	3053	2306	0	150	598	2349	70	625	9
1989	22002	Abizanda	4392	819	116	729	2729	3887	108	0	397
1989	22003	Adahuesca	5483	1523	190	610	3160	5132	271	80	0
1989	22004	Agüero	9007	406	189	4915	3497	8621	372	15	0
1989	22006	Aísa	7897	53	2212	2981	2650	7803	94	0	0
1989	22007	Albalate de Cinca	4310	3031	509	55	715	3291	919	85	16
1989	22008	Albalatillo	519	281	0	0	239	382	69	45	24
1989	22009	Albelda	5258	3115	654	3	1487	4713	352	194	0
1989	22011	Albero Alto	1841	1593	0	53	196	1656	54	131	0
1989	22012	Albero Bajo	1481	1374	33	2	71	1038	237	170	37
1989	22013	Alberuela de Tubo	2313	1881	40	6	385	927	1110	243	33
1989	22014	Alcalá de Gurrea	4936	3815	128	10	983	3499	730	309	397
1989	22015	Alcalá del Obispo	4425	3791	0	0	634	3160	1034	231	0
1989	22016	Alcampell	5234	3680	0	249	1305	3856	153	960	264
1989	22017	Alcolea de Cinca	7698	5124	707	136	1731	4641	800	662	1595
1989	22018	Alcubierre	11003	5929	36	3996	1042	9487	1055	343	118
1989	22019	Alerre	740	615	123	1	0	482	99	0	159
1989	22020	Alfántega	568	307	0	13	248	509	55	5	0
1989	22021	Almudévar	18182	15196	2444	289	253	14758	1183	2223	19
1989	22022	Almunia de San Juan	2401	1874	4	12	511	1311	519	571	0
1989	22023	Almuniente	3110	2595	126	4	386	2719	255	132	4
1989	22024	Alquézar	3060	1207	9	424	1420	2787	273	0	0
1989	22025	Altorricón	2410	2251	0	0	159	2197	173	40	0
1989	22027	Angüés	4175	3210	4	13	948	3478	460	238	0
1989	22028	Ansó	25725	5	39	12707	12975	25708	18	0	0
1989	22029	Antillón	2080	1916	51	34	78	1504	190	386	0
1989	22032	Aragüés del Puerto	7386	5	2122	4039	1221	7313	73	0	0
1989	22035	Arén	10681	1333	3656	3739	1953	8369	2312	0	0
1989	22036	Argavieso	957	770	0	0	187	748	150	5	55
1989	22037	Arguis	6331	233	0	2102	3996	5971	360	0	0
1989	22039	Ayerbe	5541	3259	3	533	1747	3566	1714	261	0
1989	22040	Azanuy-Alins	4494	2976	0	356	1162	3257	1159	78	0
1989	22041	Azara	1421	939	0	47	435	1309	5	107	0
1989	22042	Azlor	1342	992	0	0	349	1148	22	172	0
1989	22043	Baells	2713	1383	90	1146	94	2255	102	356	0
1989	22044	Bailo	17150	2674	74	6308	8094	15300	1815	34	0
1989	22045	Baldellou	2550	551	29	749	1221	2434	116	0	0
1989	22046	Ballobar	11295	6357	8	1357	3573	9074	367	1757	96
1989	22047	Banastás	601	559	0	9	33	464	137	0	0
1989	22048	Barbastro	8104	6118	545	163	1278	6152	1483	469	0
1989	22049	Barbués	1730	1496	73	0	161	1410	222	98	0
1989	22050	Barbuñales	1753	1275	443	24	11	1496	62	196	0
1989	22051	Bárcabo	8187	1163	118	1452	5454	7126	1061	0	0
1989	22052	Belver de Cinca	7189	5390	310	318	1171	6761	106	201	122
1989	22053	Benabarre	11855	4691	538	3476	3150	10040	1704	111	0
1989	22054	Benasque	22800	2	16452	5359	987	22534	220	0	46
1989	22055	Berbegal	4061	3638	423	0	0	2949	228	614	269
1989	22057	Bielsa	19540	16	5871	5985	7668	19275	264	0	0
1989	22058	Bierge	13313	1577	13	2410	9314	12862	120	331	0
1989	22059	Biescas	19058	452	5181	7576	5848	18289	699	1	70
1989	22060	Binaced	5377	4599	33	20	726	4695	257	424	0
1989	22061	Binéfar	1639	1495	6	14	124	1173	151	303	12
1989	22062	Bisaurri	5831	8	2257	1869	1698	5409	422	0	0
1989	22063	Biscarrués	2638	1767	0	163	708	2172	455	4	7
1989	22064	Blecua y Torres	3274	2854	0	0	420	1777	1497	0	0
1989	22066	Boltaña	12228	435	1286	4981	5527	11795	418	15	0
1989	22067	Bonansa	3545	41	949	1116	1439	3073	472	0	0
1989	22068	Borau	4066	8	1237	2227	594	4032	34	0	0
1989	22069	Broto	12591	25	5022	4946	2598	12399	190	3	0
1989	22072	Caldearenas	20063	1430	1750	9402	7481	17840	629	0	1594
1989	22074	Campo	2491	148	188	1153	1002	2369	122	0	0
1989	22075	Camporrells	2544	774	146	361	1263	2380	158	6	0
1989	22076	Canal de Berdún	13636	4001	2	6714	2919	11249	1795	591	0
1989	22077	Candasnos	11975	8881	0	0	3094	7624	1870	2480	0
1989	22078	Canfranc	6904	0	5110	1020	774	6869	35	0	0
1989	22079	Capdesaso	1366	1176	0	0	189	702	631	32	0
1989	22080	Capella	4913	1606	182	1064	2061	4189	488	5	231
1989	22081	Casbas de Huesca	12343	3774	348	3545	4676	10914	71	1357	0
1989	22082	Castejón del Puente	2474	1877	30	129	438	1794	284	357	40
1989	22083	Castejón de Monegros	16126	8757	1920	1071	4377	12982	2049	1057	38
1989	22084	Castejón de Sos	3192	4	771	271	2146	3065	127	0	0
1989	22085	Castelflorite	2941	2236	0	0	705	2260	93	217	372
1989	22086	Castiello de Jaca	1837	268	362	794	413	1309	137	0	391
1989	22087	Castigaleu	2619	950	613	261	795	2216	317	86	0
1989	22088	Castillazuelo	1438	1079	59	6	294	1257	61	120	0
1989	22089	Castillonroy	2825	1758	34	329	704	2074	132	227	392
1989	22090	Colungo	3728	756	0	693	2280	3622	106	0	0
1989	22094	Chalamera	1055	397	178	0	481	928	44	81	2
1989	22095	Chía	2642	42	829	499	1272	2517	125	0	0
1989	22096	Chimillas	1047	961	15	41	31	917	130	0	0
1989	22099	Esplús	7061	6356	0	11	694	6297	676	88	1
1989	22102	Estada	1560	441	0	11	1108	1528	32	0	0
1989	22103	Estadilla	4699	1824	178	165	2532	4290	217	192	0
1989	22105	Estopiñán del Castillo	8573	2041	81	5076	1375	8140	433	0	0
1989	22106	Fago	20	0	12	0	7	20	0	0	0
1989	22107	Fanlo	19425	7	3827	7274	8317	18877	548	0	0
1989	22109	Fiscal	16556	335	2525	7114	6584	14044	1408	0	1104
1989	22110	Fonz	5644	3676	9	248	1712	4837	746	61	0
1989	22111	Foradada del Toscar	10417	674	1999	4521	3224	9757	661	0	0
1989	22112	Fraga	38686	19697	1035	13514	4440	34760	3036	891	0
1989	22113	Fueva (La)	22594	3069	553	9090	9882	20515	2014	25	42
1989	22114	Gistaín	8311	6	1272	7012	21	8238	73	0	0
1989	22115	Grado (El)	5461	1838	281	590	2751	5292	169	0	0
1989	22116	Grañén	10803	8587	903	237	1076	8184	2185	424	10
1989	22117	Graus	21195	5056	435	5532	10171	19615	1480	74	26
1989	22119	Gurrea de Gállego	16046	12001	504	2263	1278	10231	1157	1031	3628
1989	22122	Hoz de Jaca	1163	31	457	436	239	1139	24	0	0
1989	22124	Huerto	7911	5543	9	52	2307	6435	1064	411	0
1989	22125	Huesca	12603	10129	42	21	2412	9814	1611	935	244
1989	22126	Ibieca	1203	856	88	50	209	954	71	178	0
1989	22127	Igriés	1761	1157	0	87	517	1359	383	2	17
1989	22128	Ilche	4291	3599	599	5	89	3450	490	94	258
1989	22129	Isábena	8280	805	5910	470	1095	7545	413	4	318
1989	22130	Jaca	38606	8544	1185	15849	13028	35920	2000	475	211
1989	22131	Jasa	786	6	39	581	159	779	7	0	0
1989	22133	Labuerda	1720	152	49	869	651	1673	48	0	0
1989	22135	Laluenga	3521	2892	9	0	619	2630	432	12	447
1989	22136	Lalueza	7596	6344	314	31	907	3607	1705	2284	0
1989	22137	Lanaja	16141	10360	898	2001	2882	10853	2435	2811	42
1989	22139	Laperdiguera	743	732	2	2	8	500	109	33	101
1989	22141	Lascellas-Ponzano	1615	1477	2	101	36	1047	419	139	11
1989	22142	Lascuarre	3093	805	72	1043	1173	2616	477	0	0
1989	22143	Laspaúles	7977	35	3870	2552	1520	7278	699	0	0
1989	22144	Laspuña	4114	330	298	3188	298	4000	114	0	0
1989	22149	Loarre	7201	2581	30	1961	2629	6504	683	0	15
1989	22150	Loporzano	14264	4902	2387	1512	5462	11242	1478	99	1445
1989	22151	Loscorrales	3216	2711	80	0	425	2222	488	440	67
1989	22155	Monesma y Cajigar	6696	1462	3321	1363	551	5234	1379	83	0
1989	22156	Monflorite-Lascasas	2366	2231	92	21	22	1872	449	45	0
1989	22157	Montanuy	17288	147	7997	3786	5357	16199	1089	0	0
1989	22158	Monzón	11791	9765	338	308	1379	8950	1473	1025	343
1989	22160	Naval	4209	578	88	1763	1780	4154	55	0	0
1989	22162	Novales	1846	1588	0	63	196	1450	190	207	0
1989	22163	Nueno	13945	1633	14	1615	10683	13765	169	12	0
1989	22164	Olvena	1366	315	0	485	566	1145	221	0	0
1989	22165	Ontiñena	12877	6894	5881	50	52	10380	90	2407	0
1989	22167	Osso de Cinca	2176	1609	12	47	508	1955	119	94	9
1989	22168	Palo	1334	292	0	157	885	1152	183	0	0
1989	22170	Panticosa	11067	9	6561	1647	2850	11011	57	0	0
1989	22172	Peñalba	12331	9081	0	0	3251	9063	1957	1311	0
1989	22173	Peñas de Riglos (Las)	23766	1558	82	3248	18878	21678	2088	0	0
1989	22174	Peralta de Alcofea	10359	8961	1371	0	27	7392	2237	322	408
1989	22175	Peralta de Calasanz	10774	4523	28	1741	4482	9776	89	909	0
1989	22176	Peraltilla	1132	840	0	0	292	1013	0	120	0
1989	22177	Perarrúa	2423	335	0	988	1100	2330	90	3	0
1989	22178	Pertusa	1777	1449	295	16	17	697	488	383	210
1989	22181	Piracés	1697	1148	18	2	530	981	597	119	0
1989	22182	Plan	8916	9	1256	4768	2884	8763	153	0	0
1989	22184	Poleñino	2147	1844	29	0	275	1554	417	177	0
1989	22186	Pozán de Vero	1318	1054	0	29	236	1098	60	147	13
1989	22187	Puebla de Castro (La)	2335	687	0	1055	594	2194	142	0	0
1989	22188	Puente de Montañana	6332	463	2485	3047	339	4031	2301	0	0
1989	22189	Puértolas	9154	200	1499	6624	832	8217	937	0	0
1989	22190	Pueyo de Araguás (El)	5639	578	694	2293	2075	5513	126	0	0
1989	22193	Pueyo de Santa Cruz	876	682	17	83	95	701	76	99	0
1989	22195	Quicena	779	228	129	1	421	747	32	0	0
1989	22197	Robres	5863	3679	31	1140	1013	4558	1048	233	24
1989	22199	Sabiñánigo	53165	5532	7764	11316	28553	42691	6207	669	3598
1989	22200	Sahún	7106	6	522	698	5881	6900	206	0	0
1989	22201	Salas Altas	1778	1594	0	0	185	1702	54	23	0
