Provincia código	Provincia nombre	Sexo	Horas trabajadas	Personas residentes viviendas familiares
22	Huesca	Hombres	01-10	544
22	Huesca	Hombres	11-20	564
22	Huesca	Hombres	21-30	954
22	Huesca	Hombres	31-40	38734
22	Huesca	Hombres	41-50	8845
22	Huesca	Hombres	Más de 50	4602
22	Huesca	Mujeres	01-10	850
22	Huesca	Mujeres	11-20	2525
22	Huesca	Mujeres	21-30	2948
22	Huesca	Mujeres	31-40	20276
22	Huesca	Mujeres	41-50	2438
22	Huesca	Mujeres	Más de 50	1042
44	Teruel	Hombres	01-10	252
44	Teruel	Hombres	11-20	310
44	Teruel	Hombres	21-30	599
44	Teruel	Hombres	31-40	23819
44	Teruel	Hombres	41-50	5142
44	Teruel	Hombres	Más de 50	2789
44	Teruel	Mujeres	01-10	467
44	Teruel	Mujeres	11-20	1457
44	Teruel	Mujeres	21-30	1568
44	Teruel	Mujeres	31-40	12129
44	Teruel	Mujeres	41-50	1457
44	Teruel	Mujeres	Más de 50	635
50	Zaragoza	Hombres	01-10	4212
50	Zaragoza	Hombres	11-20	3339
50	Zaragoza	Hombres	21-30	4518
50	Zaragoza	Hombres	31-40	170828
50	Zaragoza	Hombres	41-50	28183
50	Zaragoza	Hombres	Más de 50	12434
50	Zaragoza	Mujeres	01-10	4616
50	Zaragoza	Mujeres	11-20	12174
50	Zaragoza	Mujeres	21-30	13749
50	Zaragoza	Mujeres	31-40	93081
50	Zaragoza	Mujeres	41-50	10338
50	Zaragoza	Mujeres	Más de 50	3351
