Año	Provincia código	Provincia nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2000	22	Huesca	944	641	303	515972	354621	161351	2319	248	172	53	74	ESTIMACIÓN
2000	44	Teruel	468	333	135	227976	148142	79834	694	233	80	34	33	ESTIMACIÓN
2000	50	Zaragoza	2528	2077	451	1901555	1467884	433671	7728	509	222	381	590	ESTIMACIÓN
2001	22	Huesca	926	585	341	599272	409060	190212	2712	213	117	50	41	ESTIMACIÓN
2001	44	Teruel	427	305	122	238577	155720	82857	761	177	56	47	48	ESTIMACIÓN
2001	50	Zaragoza	2665	2125	540	1932645	1339057	593588	7919	468	206	340	553	ESTIMACIÓN
2002	22	Huesca	1040	785	255	625908	428310	197598	2621	225	116	45	51	ESTIMACIÓN
2002	44	Teruel	459	316	143	293868	205534	88334	847	178	53	42	44	ESTIMACIÓN
2002	50	Zaragoza	2808	2507	301	2174343	1595843	578500	9360	543	181	344	525	ESTIMACIÓN
2003	22	Huesca	1174	810	364	826910	575038	251872	2948	278	212	50	55	ESTIMACIÓN
2003	44	Teruel	561	367	194	279740	172812	106928	830	141	40	56	58	ESTIMACIÓN
2003	50	Zaragoza	2628	2207	421	1884910	1295639	589271	7536	525	231	398	638	ESTIMACIÓN
2004	22	Huesca	1130	772	358	799983	538881	261102	3318	288	198	72	56	ESTIMACIÓN
2004	44	Teruel	564	427	137	248504	178408	70096	915	193	72	89	79	ESTIMACIÓN
2004	50	Zaragoza	3303	2595	708	2149605	1545561	604044	8950	659	120	554	646	ESTIMACIÓN
2005	22	Huesca	1232	936	296	770215	521587	248628	3670	337	302	115	120	ESTIMACIÓN
2005	44	Teruel	747	602	145	347159	270921	76238	1357	175	70	83	86	ESTIMACIÓN
2005	50	Zaragoza	3064	2287	777	2749267	1630854	1118413	9416	629	226	569	664	ESTIMACIÓN
2006	22	Huesca	1242	996	246	790994	618552	172442	3984	370	307	106	96	ESTIMACIÓN
2006	44	Teruel	668	566	102	335569	281317	54252	1426	183	84	67	70	ESTIMACIÓN
2006	50	Zaragoza	4231	3212	1019	3626478	2495256	1131222	15031	659	243	791	771	ESTIMACIÓN
2007	22	Huesca	1209	959	250	774231	584660	189571	3832	361	267	145	125	ESTIMACIÓN
2007	44	Teruel	665	508	157	386921	293522	93399	1781	200	121	78	82	ESTIMACIÓN
2007	50	Zaragoza	4701	3172	1529	3546325	2310014	1236311	12811	750	153	594	651	ESTIMACIÓN
2008	22	Huesca	618	356	262	379816	199736	180080	1219	338	164	61	62	ESTIMACIÓN
2008	44	Teruel	578	461	117	263394	198861	64533	1106	198	88	89	72	ESTIMACIÓN
2008	50	Zaragoza	2023	1293	730	2287097	1094851	1192246	6245	973	190	326	428	ESTIMACIÓN
2009	22	Huesca	375	189	186	277411	142867	134544	828	299	156	44	57	ESTIMACIÓN
2009	44	Teruel	379	254	125	137173	96012	41161	425	233	94	57	46	ESTIMACIÓN
2009	50	Zaragoza	783	517	266	1173258	730480	442778	3969	816	126	165	146	ESTIMACIÓN
2010	22	Huesca	302	150	152	192826	88403	104423	426	311	138	44	41	ESTIMACIÓN
2010	44	Teruel	236	159	77	90794	57124	33670	303	221	48	66	46	ESTIMACIÓN
2010	50	Zaragoza	600	404	196	764706	422238	342468	2344	833	71	172	123	ESTIMACIÓN
2011	22	Huesca	267	124	143	125661	40151	85510	169	293	103	64	90	ESTIMACIÓN
2011	44	Teruel	221	137	84	99402	56662	42740	269	219	74	49	58	ESTIMACIÓN
2011	50	Zaragoza	629	427	202	695004	393493	301511	2187	1076	142	120	126	ESTIMACIÓN
2012	22	Huesca	260	102	158	125749	28178	97571	112	256	56	42	40	ESTIMACIÓN
2012	44	Teruel	182	94	88	115486	34446	81040	105	154	29	51	42	ESTIMACIÓN
2012	50	Zaragoza	450	269	181	375390	207361	168029	1083	914	81	177	192	ESTIMACIÓN
2013	22	Huesca	292	64	228	202433	18811	183622	75	214	46	22	21	ESTIMACIÓN
2013	44	Teruel	141	56	85	41378	16601	24777	58	129	26	43	47	ESTIMACIÓN
2013	50	Zaragoza	368	220	148	423195	305218	117977	1653	746	23	139	105	ESTIMACIÓN
2014	22	Huesca	284	54	230	222859	43303	179556	153	199	61	36	31	ESTIMACIÓN
2014	44	Teruel	156	58	98	75709	18234	57475	74	143	31	53	49	ESTIMACIÓN
2014	50	Zaragoza	346	166	180	356105	141751	214354	780	795	50	105	129	ESTIMACIÓN
2015	22	Huesca	351	57	294	270533	19478	251055	70	218	78	38	37	ESTIMACIÓN
2015	44	Teruel	192	69	123	96346	25182	71164	115	168	21	58	54	ESTIMACIÓN
2015	50	Zaragoza	321	163	158	454973	216262	238711	1078	907	37	141	133	ESTIMACIÓN
2016	22	Huesca	427	97	330	303724	49849	253875	243	253	75	35	46	ESTIMACIÓN
2016	44	Teruel	197	58	139	128717	34703	94014	146	175	48	61	59	ESTIMACIÓN
2016	50	Zaragoza	478	334	144	529165	367067	162098	1701	1055	20	133	99	ESTIMACIÓN
2017	22	Huesca	461	92	369	451057	56174	394883	270	229	64	55	24	ESTIMACIÓN
2017	44	Teruel	247	77	170	156338	44230	112108	153	212	37	47	44	ESTIMACIÓN
2017	50	Zaragoza	463	271	192	655370	415765	239605	1946	1007	120	169	209	ESTIMACIÓN
2018	22	Huesca	569	150	419	631843	79094	552749	405	296	61	69	57	ESTIMACIÓN
2018	44	Teruel	231	84	147	132737	35228	97509	145	199	34	64	55	ESTIMACIÓN
2018	50	Zaragoza	531	289	242	835329	366544	468785	1785	1273	144	160	203	ESTIMACIÓN
2019	22	Huesca	527	116	411	514343	61540	452803	318	248	56	54	52	ESTIMACIÓN
2019	44	Teruel	220	90	130	173148	53917	119231	213	218	22	52	37	ESTIMACIÓN
2019	50	Zaragoza	455	230	225	863016	431882	431134	2107	1486	49	146	173	ESTIMACIÓN
