Mes (código)	Mes y año	Comarca código	Comarca nombre	Sector código	Sector descripción	Sexo	Nº demandantes
201809	Septiembre 2018	01	La Jacetania	1	Agricultura, ganadería y pesca	Hombres	10
201809	Septiembre 2018	01	La Jacetania	1	Agricultura, ganadería y pesca	Mujeres	4
201809	Septiembre 2018	01	La Jacetania	2	Industria y energía	Hombres	17
201809	Septiembre 2018	01	La Jacetania	2	Industria y energía	Mujeres	9
201809	Septiembre 2018	01	La Jacetania	3	Construcción	Hombres	41
201809	Septiembre 2018	01	La Jacetania	3	Construcción	Mujeres	4
201809	Septiembre 2018	01	La Jacetania	4	Servicios	Hombres	182
201809	Septiembre 2018	01	La Jacetania	4	Servicios	Mujeres	309
201809	Septiembre 2018	01	La Jacetania		Sin empleo anterior	Hombres	13
201809	Septiembre 2018	01	La Jacetania		Sin empleo anterior	Mujeres	19
201809	Septiembre 2018	02	Alto Gállego	1	Agricultura, ganadería y pesca	Hombres	12
201809	Septiembre 2018	02	Alto Gállego	1	Agricultura, ganadería y pesca	Mujeres	3
201809	Septiembre 2018	02	Alto Gállego	2	Industria y energía	Hombres	28
201809	Septiembre 2018	02	Alto Gállego	2	Industria y energía	Mujeres	18
201809	Septiembre 2018	02	Alto Gállego	3	Construcción	Hombres	34
201809	Septiembre 2018	02	Alto Gállego	3	Construcción	Mujeres	4
201809	Septiembre 2018	02	Alto Gállego	4	Servicios	Hombres	156
201809	Septiembre 2018	02	Alto Gállego	4	Servicios	Mujeres	254
201809	Septiembre 2018	02	Alto Gállego		Sin empleo anterior	Hombres	11
201809	Septiembre 2018	02	Alto Gállego		Sin empleo anterior	Mujeres	27
201809	Septiembre 2018	03	Sobrarbe	1	Agricultura, ganadería y pesca	Hombres	5
201809	Septiembre 2018	03	Sobrarbe	1	Agricultura, ganadería y pesca	Mujeres	1
201809	Septiembre 2018	03	Sobrarbe	2	Industria y energía	Hombres	10
201809	Septiembre 2018	03	Sobrarbe	2	Industria y energía	Mujeres	1
201809	Septiembre 2018	03	Sobrarbe	3	Construcción	Hombres	9
201809	Septiembre 2018	03	Sobrarbe	4	Servicios	Hombres	55
201809	Septiembre 2018	03	Sobrarbe	4	Servicios	Mujeres	82
201809	Septiembre 2018	03	Sobrarbe		Sin empleo anterior	Hombres	3
201809	Septiembre 2018	03	Sobrarbe		Sin empleo anterior	Mujeres	3
201809	Septiembre 2018	04	La Ribagorza	1	Agricultura, ganadería y pesca	Hombres	13
201809	Septiembre 2018	04	La Ribagorza	1	Agricultura, ganadería y pesca	Mujeres	10
201809	Septiembre 2018	04	La Ribagorza	2	Industria y energía	Hombres	15
201809	Septiembre 2018	04	La Ribagorza	2	Industria y energía	Mujeres	4
201809	Septiembre 2018	04	La Ribagorza	3	Construcción	Hombres	18
