Año	Comarca código	Comarca nombre	Estado de la información	Licencias, total
2000	01	La Jacetania	ESTIMACIÓN	68
2000	02	Alto Gállego	ESTIMACIÓN	80
2000	03	Sobrarbe	ESTIMACIÓN	62
2000	04	La Ribagorza	ESTIMACIÓN	101
2000	05	Cinco Villas	ESTIMACIÓN	144
2000	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	104
2000	07	Somontano de Barbastro	ESTIMACIÓN	81
2000	08	Cinca Medio	ESTIMACIÓN	104
2000	09	La Litera / La Llitera	ESTIMACIÓN	106
2000	10	Los Monegros	ESTIMACIÓN	91
2000	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	129
2000	12	Tarazona y el Moncayo	ESTIMACIÓN	35
2000	13	Campo de Borja	ESTIMACIÓN	61
2000	14	Aranda	ESTIMACIÓN	30
2000	15	Ribera Alta del Ebro	ESTIMACIÓN	134
2000	16	Valdejalón	ESTIMACIÓN	133
2000	17	Central	ESTIMACIÓN	1750
2000	18	Ribera Baja del Ebro	ESTIMACIÓN	31
2000	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	45
2000	20	Comunidad de Calatayud	ESTIMACIÓN	75
2000	21	Campo de Cariñena	ESTIMACIÓN	38
2000	22	Campo de Belchite	ESTIMACIÓN	13
2000	23	Bajo Martín	ESTIMACIÓN	39
2000	24	Campo de Daroca	ESTIMACIÓN	22
2000	25	Jiloca	ESTIMACIÓN	82
2000	26	Cuencas Mineras	ESTIMACIÓN	31
2000	27	Andorra-Sierra de Arcos	ESTIMACIÓN	59
2000	28	Bajo Aragón	ESTIMACIÓN	120
2000	29	Comunidad de Teruel	ESTIMACIÓN	64
2000	30	Maestrazgo	ESTIMACIÓN	20
2000	31	Sierra de Albarracín	ESTIMACIÓN	31
2000	32	Gúdar-Javalambre	ESTIMACIÓN	143
2000	33	Matarraña / Matarranya	ESTIMACIÓN	45
2001	01	La Jacetania	ESTIMACIÓN	75
2001	02	Alto Gállego	ESTIMACIÓN	75
2001	03	Sobrarbe	ESTIMACIÓN	54
2001	04	La Ribagorza	ESTIMACIÓN	91
2001	05	Cinco Villas	ESTIMACIÓN	129
