Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2011	1	3505	PP
01	La Jacetania	2011	2	3003	PSOE
01	La Jacetania	2011	3	1100	PAR
01	La Jacetania	2011	4	991	CHA
01	La Jacetania	2011	5	514	IU
01	La Jacetania	2011	6	122	UPyD
01	La Jacetania	2011	7	97	VERDES ECOLO
01	La Jacetania	2011	8	2	COMPROMISO CON ARAGON
01	La Jacetania	2011	9	64	PACMA
01	La Jacetania	2011	10	11	F.I.A.
01	La Jacetania	2011	11	3	TA
01	La Jacetania	2011	12	15	UCE
01	La Jacetania	2011	13	1	pCUA
01	La Jacetania	2011	14	1	PFyV
01	La Jacetania	2011	15	32	CDL
01	La Jacetania	2011	16	1	PH
01	La Jacetania	2011	17	0	L'VIA
02	Alto Gállego	2011	1	2032	PP
02	Alto Gállego	2011	2	2339	PSOE
02	Alto Gállego	2011	3	1344	PAR
02	Alto Gállego	2011	4	645	CHA
02	Alto Gállego	2011	5	366	IU
02	Alto Gállego	2011	6	77	UPyD
02	Alto Gállego	2011	7	46	VERDES ECOLO
02	Alto Gállego	2011	8	3	COMPROMISO CON ARAGON
02	Alto Gállego	2011	9	29	PACMA
02	Alto Gállego	2011	10	4	F.I.A.
02	Alto Gállego	2011	11	12	TA
02	Alto Gállego	2011	12	12	UCE
02	Alto Gállego	2011	15	8	CDL
03	Sobrarbe	2011	1	1468	PP
03	Sobrarbe	2011	2	1770	PSOE
03	Sobrarbe	2011	3	625	PAR
03	Sobrarbe	2011	4	405	CHA
03	Sobrarbe	2011	5	289	IU
03	Sobrarbe	2011	6	57	UPyD
03	Sobrarbe	2011	7	42	VERDES ECOLO
03	Sobrarbe	2011	8	1	COMPROMISO CON ARAGON
03	Sobrarbe	2011	9	9	PACMA
03	Sobrarbe	2011	10	4	F.I.A.
03	Sobrarbe	2011	11	1	TA
03	Sobrarbe	2011	12	8	UCE
03	Sobrarbe	2011	15	4	CDL
04	La Ribagorza	2011	1	2495	PP
04	La Ribagorza	2011	2	2553	PSOE
04	La Ribagorza	2011	3	1274	PAR
04	La Ribagorza	2011	4	466	CHA
04	La Ribagorza	2011	5	230	IU
04	La Ribagorza	2011	6	85	UPyD
04	La Ribagorza	2011	7	90	VERDES ECOLO
04	La Ribagorza	2011	8	5	COMPROMISO CON ARAGON
04	La Ribagorza	2011	9	35	PACMA
04	La Ribagorza	2011	10	2	F.I.A.
04	La Ribagorza	2011	11	5	TA
04	La Ribagorza	2011	12	6	UCE
04	La Ribagorza	2011	15	2	CDL
05	Cinco Villas	2011	1	6391	PP
05	Cinco Villas	2011	2	7070	PSOE
05	Cinco Villas	2011	3	1569	PAR
05	Cinco Villas	2011	4	963	CHA
05	Cinco Villas	2011	5	1046	IU
05	Cinco Villas	2011	6	137	UPyD
05	Cinco Villas	2011	7	36	VERDES ECOLO
05	Cinco Villas	2011	8	6	COMPROMISO CON ARAGON
05	Cinco Villas	2011	9	36	PACMA
05	Cinco Villas	2011	10	9	F.I.A.
05	Cinco Villas	2011	11	13	TA
05	Cinco Villas	2011	12	8	UCE
05	Cinco Villas	2011	13	5	pCUA
05	Cinco Villas	2011	14	9	PFyV
05	Cinco Villas	2011	15	5	CDL
05	Cinco Villas	2011	16	6	PH
05	Cinco Villas	2011	17	8	L'VIA
06	Hoya de Huesca / Plana de Uesca	2011	1	13303	PP
06	Hoya de Huesca / Plana de Uesca	2011	2	9960	PSOE
06	Hoya de Huesca / Plana de Uesca	2011	3	3336	PAR
06	Hoya de Huesca / Plana de Uesca	2011	4	2446	CHA
