Comarca código	Comarca nombre	Clase de propietario	Número de edificios
01	La Jacetania	Una persona	4375
01	La Jacetania	La comunidad	1054
01	La Jacetania	Una sociedad	10
01	La Jacetania	Un organismo público	3
02	Alto Gállego	Una persona	2795
02	Alto Gállego	La comunidad	689
02	Alto Gállego	Una sociedad	22
02	Alto Gállego	Un organismo público	2
03	Sobrarbe	Una persona	3112
03	Sobrarbe	La comunidad	79
03	Sobrarbe	Una sociedad	2
04	La Ribagorza	Una persona	5842
04	La Ribagorza	La comunidad	275
04	La Ribagorza	Una sociedad	11
04	La Ribagorza	Un organismo público	1
05	Cinco Villas	Una persona	10853
05	Cinco Villas	La comunidad	749
05	Cinco Villas	Una sociedad	6
05	Cinco Villas	Un organismo público	5
06	Hoya de Huesca / Plana de Uesca	Una persona	9407
06	Hoya de Huesca / Plana de Uesca	La comunidad	1387
06	Hoya de Huesca / Plana de Uesca	Una sociedad	18
06	Hoya de Huesca / Plana de Uesca	Un organismo público	6
07	Somontano de Barbastro	Una persona	6094
07	Somontano de Barbastro	La comunidad	481
07	Somontano de Barbastro	Una sociedad	7
07	Somontano de Barbastro	Un organismo público	6
08	Cinca Medio	Una persona	5524
08	Cinca Medio	La comunidad	502
08	Cinca Medio	Una sociedad	13
08	Cinca Medio	Un organismo público	2
09	La Litera / La Llitera	Una persona	6471
09	La Litera / La Llitera	La comunidad	218
09	La Litera / La Llitera	Una sociedad	8
09	La Litera / La Llitera	Un organismo público	1
10	Los Monegros	Una persona	9047
10	Los Monegros	La comunidad	78
10	Los Monegros	Una sociedad	7
11	Bajo Cinca / Baix Cinca	Una persona	6204
11	Bajo Cinca / Baix Cinca	La comunidad	253
11	Bajo Cinca / Baix Cinca	Una sociedad	1
11	Bajo Cinca / Baix Cinca	Un organismo público	1
12	Tarazona y el Moncayo	Una persona	4329
12	Tarazona y el Moncayo	La comunidad	334
12	Tarazona y el Moncayo	Una sociedad	8
12	Tarazona y el Moncayo	Un organismo público	2
13	Campo de Borja	Una persona	6855
13	Campo de Borja	La comunidad	154
13	Campo de Borja	Una sociedad	3
13	Campo de Borja	Un organismo público	2
14	Aranda	Una persona	2992
14	Aranda	La comunidad	196
14	Aranda	Una sociedad	4
14	Aranda	Un organismo público	1
15	Ribera Alta del Ebro	Una persona	8690
15	Ribera Alta del Ebro	La comunidad	252
15	Ribera Alta del Ebro	Una sociedad	9
15	Ribera Alta del Ebro	Un organismo público	5
16	Valdejalón	Una persona	10308
16	Valdejalón	La comunidad	204
16	Valdejalón	Una sociedad	8
17	D.C. Zaragoza	Una persona	34371
17	D.C. Zaragoza	La comunidad	15249
17	D.C. Zaragoza	Una sociedad	138
17	D.C. Zaragoza	Un organismo público	42
18	Ribera Baja del Ebro	Una persona	5018
18	Ribera Baja del Ebro	La comunidad	61
18	Ribera Baja del Ebro	Una sociedad	49
18	Ribera Baja del Ebro	Un organismo público	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Una persona	5410
19	Bajo Aragón-Caspe / Baix Aragó-Casp	La comunidad	165
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Una sociedad	2
20	Comunidad de Calatayud	Una persona	17412
20	Comunidad de Calatayud	La comunidad	829
20	Comunidad de Calatayud	Una sociedad	13
20	Comunidad de Calatayud	Un organismo público	5
21	Campo de Cariñena	Una persona	4578
21	Campo de Cariñena	La comunidad	142
21	Campo de Cariñena	Una sociedad	4
21	Campo de Cariñena	Un organismo público	1
22	Campo de Belchite	Una persona	4111
22	Campo de Belchite	La comunidad	40
22	Campo de Belchite	Una sociedad	6
23	Bajo Martín	Una persona	4469
23	Bajo Martín	La comunidad	40
23	Bajo Martín	Una sociedad	2
23	Bajo Martín	Un organismo público	1
24	Campo de Daroca	Una persona	5163
24	Campo de Daroca	La comunidad	90
24	Campo de Daroca	Una sociedad	1
25	Jiloca	Una persona	9831
25	Jiloca	La comunidad	125
25	Jiloca	Una sociedad	4
25	Jiloca	Un organismo público	2
26	Cuencas Mineras	Una persona	5911
26	Cuencas Mineras	La comunidad	127
26	Cuencas Mineras	Una sociedad	2
26	Cuencas Mineras	Un organismo público	3
27	Andorra-Sierra de Arcos	Una persona	4659
27	Andorra-Sierra de Arcos	La comunidad	218
27	Andorra-Sierra de Arcos	Una sociedad	1
28	Bajo Aragón	Una persona	8931
28	Bajo Aragón	La comunidad	286
28	Bajo Aragón	Una sociedad	10
29	Comunidad de Teruel	Una persona	12011
29	Comunidad de Teruel	La comunidad	1210
29	Comunidad de Teruel	Una sociedad	8
29	Comunidad de Teruel	Un organismo público	6
30	Maestrazgo	Una persona	3233
30	Maestrazgo	La comunidad	24
30	Maestrazgo	Una sociedad	2
31	Sierra de Albarracín	Una persona	4162
31	Sierra de Albarracín	La comunidad	173
31	Sierra de Albarracín	Un organismo público	1
32	Gúdar-Javalambre	Una persona	8182
32	Gúdar-Javalambre	La comunidad	171
32	Gúdar-Javalambre	Una sociedad	3
32	Gúdar-Javalambre	Un organismo público	1
33	Matarraña / Matarranya	Una persona	5703
33	Matarraña / Matarranya	La comunidad	21
33	Matarraña / Matarranya	Una sociedad	5
