Año	Comarca código	Comarca nombre	Saldo Vegetativo	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes
2018	01	La Jacetania	-107	110	65	217
2018	02	Alto Gállego	-67	85	46	152
2018	03	Sobrarbe	-23	58	26	81
2018	04	La Ribagorza	-106	66	27	172
2018	05	Cinco Villas	-154	219	73	373
2018	06	Hoya de Huesca / Plana de Uesca	-165	551	228	716
2018	07	Somontano de Barbastro	-128	169	55	297
2018	08	Cinca Medio	-25	239	82	264
2018	09	La Litera / La Llitera	-117	133	34	250
2018	10	Los Monegros	-181	103	31	284
2018	11	Bajo Cinca / Baix Cinca	-59	189	50	248
2018	12	Tarazona y el Moncayo	-106	71	46	177
2018	13	Campo de Borja	-89	89	34	178
2018	14	Aranda	-73	20	10	93
2018	15	Ribera Alta del Ebro	-131	198	86	329
2018	16	Valdejalón	-81	271	84	352
2018	17	Central	-1035	5952	2595	6987
2018	18	Ribera Baja del Ebro	-68	50	26	118
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-40	147	47	187
2018	20	Comunidad de Calatayud	-332	197	85	529
2018	21	Campo de Cariñena	-61	68	25	129
2018	22	Campo de Belchite	-84	17	12	101
2018	23	Bajo Martín	-78	34	15	112
2018	24	Campo de Daroca	-72	28	13	100
2018	25	Jiloca	-104	81	26	185
2018	26	Cuencas Mineras	-61	58	20	119
2018	27	Andorra-Sierra de Arcos	-73	51	22	124
2018	28	Bajo Aragón	-95	245	92	340
2018	29	Comunidad de Teruel	-192	336	154	528
2018	30	Maestrazgo	-26	20	5	46
2018	31	Sierra de Albarracín	-50	21	13	71
2018	32	Gúdar-Javalambre	-55	43	20	98
2018	33	Matarraña / Matarranya	-85	58	12	143
2017	01	La Jacetania	-83	108	54	191
2017	02	Alto Gállego	-54	94	31	148
2017	03	Sobrarbe	-17	54	20	71
2017	04	La Ribagorza	-87	85	27	172
2017	05	Cinco Villas	-213	209	71	422
2017	06	Hoya de Huesca / Plana de Uesca	-250	543	223	793
2017	07	Somontano de Barbastro	-95	206	72	301
2017	08	Cinca Medio	-80	200	64	280
2017	09	La Litera / La Llitera	-86	138	39	224
2017	10	Los Monegros	-160	105	43	265
2017	11	Bajo Cinca / Baix Cinca	-28	221	65	249
2017	12	Tarazona y el Moncayo	-91	85	37	176
2017	13	Campo de Borja	-110	92	35	202
2017	14	Aranda	-56	21	8	77
2017	15	Ribera Alta del Ebro	-71	225	79	296
2017	16	Valdejalón	-86	279	76	365
2017	17	Central	-656	6431	2765	7087
2017	18	Ribera Baja del Ebro	-92	50	14	142
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-32	151	40	183
2017	20	Comunidad de Calatayud	-335	183	86	518
2017	21	Campo de Cariñena	-77	52	27	129
2017	22	Campo de Belchite	-79	19	6	98
2017	23	Bajo Martín	-68	46	12	114
2017	24	Campo de Daroca	-72	34	14	106
2017	25	Jiloca	-129	73	33	202
2017	26	Cuencas Mineras	-56	62	16	118
2017	27	Andorra-Sierra de Arcos	-53	69	27	122
2017	28	Bajo Aragón	-84	226	75	310
2017	29	Comunidad de Teruel	-179	342	171	521
2017	30	Maestrazgo	-28	15	8	43
2017	31	Sierra de Albarracín	-51	17	13	68
2017	32	Gúdar-Javalambre	-56	42	16	98
2017	33	Matarraña / Matarranya	-63	54	27	117
2016	01	La Jacetania	-43	154	62	197
2016	02	Alto Gállego	-37	96	45	133
2016	03	Sobrarbe	-30	54	24	84
2016	04	La Ribagorza	-71	86	21	157
2016	05	Cinco Villas	-185	216	90	401
2016	06	Hoya de Huesca / Plana de Uesca	-188	546	258	734
2016	07	Somontano de Barbastro	-130	165	74	295
2016	08	Cinca Medio	-76	192	75	268
2016	09	La Litera / La Llitera	-107	127	47	234
2016	10	Los Monegros	-165	95	31	260
2016	11	Bajo Cinca / Baix Cinca	-13	241	65	254
2016	12	Tarazona y el Moncayo	-96	96	36	192
2016	13	Campo de Borja	-87	93	36	180
2016	14	Aranda	-45	30	6	75
2016	15	Ribera Alta del Ebro	-84	214	101	298
2016	16	Valdejalón	-41	250	105	291
2016	17	Central	-41	6675	2767	6716
2016	18	Ribera Baja del Ebro	-43	66	25	109
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-24	136	51	160
2016	20	Comunidad de Calatayud	-307	215	77	522
2016	21	Campo de Cariñena	-77	72	21	149
2016	22	Campo de Belchite	-64	11	9	75
2016	23	Bajo Martín	-42	43	10	85
2016	24	Campo de Daroca	-23	40	11	63
2016	25	Jiloca	-119	69	25	188
2016	26	Cuencas Mineras	-47	55	19	102
2016	27	Andorra-Sierra de Arcos	-28	89	22	117
2016	28	Bajo Aragón	-86	234	93	320
2016	29	Comunidad de Teruel	-81	404	154	485
2016	30	Maestrazgo	-34	12	12	46
2016	31	Sierra de Albarracín	-39	19	11	58
2016	32	Gúdar-Javalambre	-42	68	20	110
2016	33	Matarraña / Matarranya	-57	66	22	123
2015	01	La Jacetania	-58	159	52	217
2015	02	Alto Gállego	-33	99	46	132
2015	03	Sobrarbe	-23	69	21	92
2015	04	La Ribagorza	-95	81	14	176
2015	05	Cinco Villas	-215	177	70	392
2015	06	Hoya de Huesca / Plana de Uesca	-168	632	215	800
2015	07	Somontano de Barbastro	-109	196	55	305
2015	08	Cinca Medio	-41	222	83	263
2015	09	La Litera / La Llitera	-139	119	37	258
2015	10	Los Monegros	-185	115	39	300
2015	11	Bajo Cinca / Baix Cinca	-56	225	62	281
2015	12	Tarazona y el Moncayo	-88	86	50	174
2015	13	Campo de Borja	-65	109	38	174
2015	14	Aranda	-65	29	13	94
2015	15	Ribera Alta del Ebro	-133	233	91	366
2015	16	Valdejalón	-27	286	79	313
2015	17	Central	42	7018	2773	6976
2015	18	Ribera Baja del Ebro	-70	48	21	118
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-39	147	38	186
2015	20	Comunidad de Calatayud	-380	218	88	598
2015	21	Campo de Cariñena	-84	66	19	150
2015	22	Campo de Belchite	-67	17	6	84
2015	23	Bajo Martín	-59	35	2	94
2015	24	Campo de Daroca	-95	15	11	110
2015	25	Jiloca	-151	76	18	227
2015	26	Cuencas Mineras	-69	57	19	126
2015	27	Andorra-Sierra de Arcos	-66	57	25	123
2015	28	Bajo Aragón	-77	236	97	313
2015	29	Comunidad de Teruel	-162	384	153	546
2015	30	Maestrazgo	-41	14	6	55
2015	31	Sierra de Albarracín	-62	15	8	77
2015	32	Gúdar-Javalambre	-56	52	24	108
2015	33	Matarraña / Matarranya	-51	60	27	111
2014	01	La Jacetania	-48	121	62	169
2014	02	Alto Gállego	-56	88	37	144
2014	03	Sobrarbe	-23	65	23	88
2014	04	La Ribagorza	-89	59	18	148
2014	05	Cinco Villas	-186	211	72	397
2014	06	Hoya de Huesca / Plana de Uesca	-126	597	254	723
2014	07	Somontano de Barbastro	-134	173	49	307
2014	08	Cinca Medio	-41	243	90	284
2014	09	La Litera / La Llitera	-82	128	51	210
2014	10	Los Monegros	-161	101	43	262
2014	11	Bajo Cinca / Baix Cinca	-60	205	66	265
2014	12	Tarazona y el Moncayo	-69	110	36	179
2014	13	Campo de Borja	-91	113	32	204
2014	14	Aranda	-50	29	11	79
2014	15	Ribera Alta del Ebro	-81	220	87	301
2014	16	Valdejalón	-19	280	63	299
2014	17	Central	338	7194	2613	6856
2014	18	Ribera Baja del Ebro	-53	70	18	123
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-9	153	44	162
2014	20	Comunidad de Calatayud	-288	230	81	518
2014	21	Campo de Cariñena	-81	70	20	151
2014	22	Campo de Belchite	-85	11	9	96
2014	23	Bajo Martín	-68	31	16	99
2014	24	Campo de Daroca	-84	20	10	104
2014	25	Jiloca	-127	86	29	213
2014	26	Cuencas Mineras	-35	70	25	105
2014	27	Andorra-Sierra de Arcos	-40	77	28	117
2014	28	Bajo Aragón	-66	274	87	340
2014	29	Comunidad de Teruel	-79	413	200	492
2014	30	Maestrazgo	-28	22	6	50
2014	31	Sierra de Albarracín	-46	18	6	64
2014	32	Gúdar-Javalambre	-20	57	18	77
2014	33	Matarraña / Matarranya	-53	63	17	116
2013	01	La Jacetania	-72	134	70	206
2013	02	Alto Gállego	-19	106	31	125
2013	03	Sobrarbe	-19	58	23	77
2013	04	La Ribagorza	-56	88	22	144
2013	05	Cinco Villas	-192	178	63	370
2013	06	Hoya de Huesca / Plana de Uesca	-24	656	216	680
2013	07	Somontano de Barbastro	-98	182	75	280
2013	08	Cinca Medio	-37	221	84	258
2013	09	La Litera / La Llitera	-62	161	46	223
2013	10	Los Monegros	-157	112	30	269
2013	11	Bajo Cinca / Baix Cinca	-31	243	64	274
2013	12	Tarazona y el Moncayo	-65	122	35	187
2013	13	Campo de Borja	-116	81	39	197
2013	14	Aranda	-65	26	15	91
2013	15	Ribera Alta del Ebro	-88	239	98	327
2013	16	Valdejalón	-24	267	93	291
2013	17	Central	566	7141	2772	6575
2013	18	Ribera Baja del Ebro	-54	55	9	109
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-38	132	36	170
2013	20	Comunidad de Calatayud	-274	218	105	492
2013	21	Campo de Cariñena	-79	71	23	150
2013	22	Campo de Belchite	-70	17	7	87
2013	23	Bajo Martín	-59	47	19	106
2013	24	Campo de Daroca	-59	30	10	89
2013	25	Jiloca	-117	75	22	192
2013	26	Cuencas Mineras	-44	57	22	101
2013	27	Andorra-Sierra de Arcos	-34	84	28	118
2013	28	Bajo Aragón	-50	269	95	319
2013	29	Comunidad de Teruel	-79	418	159	497
2013	30	Maestrazgo	-33	19	8	52
2013	31	Sierra de Albarracín	-33	24	10	57
2013	32	Gúdar-Javalambre	-36	64	25	100
2013	33	Matarraña / Matarranya	-73	67	22	140
2012	01	La Jacetania	-62	140	58	202
2012	02	Alto Gállego	-39	106	46	145
2012	03	Sobrarbe	-27	41	18	68
2012	04	La Ribagorza	-82	100	32	182
2012	05	Cinco Villas	-224	207	91	431
2012	06	Hoya de Huesca / Plana de Uesca	-93	649	327	742
2012	07	Somontano de Barbastro	-118	195	54	313
2012	08	Cinca Medio	-24	227	96	251
2012	09	La Litera / La Llitera	-92	148	57	240
2012	10	Los Monegros	-157	124	49	281
2012	11	Bajo Cinca / Baix Cinca	-12	222	60	234
2012	12	Tarazona y el Moncayo	-86	113	50	199
2012	13	Campo de Borja	-113	92	44	205
2012	14	Aranda	-44	34	15	78
2012	15	Ribera Alta del Ebro	-51	260	101	311
2012	16	Valdejalón	5	294	82	289
2012	17	Central	694	7340	2922	6646
2012	18	Ribera Baja del Ebro	-45	72	19	117
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-11	133	40	144
2012	20	Comunidad de Calatayud	-356	235	91	591
2012	21	Campo de Cariñena	-82	72	24	154
2012	22	Campo de Belchite	-59	21	10	80
2012	23	Bajo Martín	-77	44	19	121
2012	24	Campo de Daroca	-89	19	7	108
2012	25	Jiloca	-110	90	32	200
2012	26	Cuencas Mineras	-42	56	18	98
2012	27	Andorra-Sierra de Arcos	-27	91	31	118
2012	28	Bajo Aragón	-64	278	75	342
2012	29	Comunidad de Teruel	-104	391	180	495
2012	30	Maestrazgo	-28	25	9	53
2012	31	Sierra de Albarracín	-36	29	13	65
2012	32	Gúdar-Javalambre	-21	64	24	85
2012	33	Matarraña / Matarranya	-68	68	22	136
2011	01	La Jacetania	-40	138	62	178
2011	02	Alto Gállego	-27	130	45	157
2011	03	Sobrarbe	-17	59	33	76
2011	04	La Ribagorza	-43	88	17	131
2011	05	Cinco Villas	-199	218	89	417
2011	06	Hoya de Huesca / Plana de Uesca	-93	659	261	752
2011	07	Somontano de Barbastro	-84	188	27	272
2011	08	Cinca Medio	-41	229	83	270
2011	09	La Litera / La Llitera	-68	147	36	215
2011	10	Los Monegros	-170	114	32	284
2011	11	Bajo Cinca / Baix Cinca	-21	233	54	254
2011	12	Tarazona y el Moncayo	-41	119	43	160
2011	13	Campo de Borja	-57	125	38	182
2011	14	Aranda	-45	43	4	88
2011	15	Ribera Alta del Ebro	-70	262	85	332
2011	16	Valdejalón	12	323	92	311
2011	17	Central	1204	7742	2730	6538
2011	18	Ribera Baja del Ebro	-38	58	16	96
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-84	132	39	216
2011	20	Comunidad de Calatayud	-273	287	100	560
2011	21	Campo de Cariñena	-62	85	20	147
2011	22	Campo de Belchite	-82	18	5	100
2011	23	Bajo Martín	-69	43	20	112
2011	24	Campo de Daroca	-85	16	7	101
2011	25	Jiloca	-72	96	19	168
2011	26	Cuencas Mineras	-44	67	15	111
2011	27	Andorra-Sierra de Arcos	-58	69	29	127
2011	28	Bajo Aragón	-61	296	100	357
2011	29	Comunidad de Teruel	-50	450	166	500
2011	30	Maestrazgo	-30	20	7	50
2011	31	Sierra de Albarracín	-43	23	4	66
2011	32	Gúdar-Javalambre	-11	67	21	78
2011	33	Matarraña / Matarranya	-81	66	16	147
2010	01	La Jacetania	-50	141	76	191
2010	02	Alto Gállego	-48	103	42	151
2010	03	Sobrarbe	-14	59	30	73
2010	04	La Ribagorza	-74	72	28	146
2010	05	Cinco Villas	-148	246	83	394
2010	06	Hoya de Huesca / Plana de Uesca	-32	699	252	731
2010	07	Somontano de Barbastro	-57	229	31	286
2010	08	Cinca Medio	-31	235	78	266
2010	09	La Litera / La Llitera	-62	179	60	241
2010	10	Los Monegros	-142	115	30	257
2010	11	Bajo Cinca / Baix Cinca	-46	197	66	243
2010	12	Tarazona y el Moncayo	-40	131	50	171
2010	13	Campo de Borja	-62	131	38	193
2010	14	Aranda	-46	39	18	85
2010	15	Ribera Alta del Ebro	-46	300	114	346
2010	16	Valdejalón	31	344	97	313
2010	17	Central	1597	7932	2794	6335
2010	18	Ribera Baja del Ebro	-50	53	18	103
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-49	122	37	171
2010	20	Comunidad de Calatayud	-226	293	94	519
2010	21	Campo de Cariñena	-39	89	17	128
2010	22	Campo de Belchite	-54	19	8	73
2010	23	Bajo Martín	-68	39	17	107
2010	24	Campo de Daroca	-68	30	15	98
2010	25	Jiloca	-89	94	24	183
2010	26	Cuencas Mineras	-29	64	22	93
2010	27	Andorra-Sierra de Arcos	-36	80	32	116
2010	28	Bajo Aragón	-29	315	86	344
2010	29	Comunidad de Teruel	-61	414	176	475
2010	30	Maestrazgo	-22	24	8	46
2010	31	Sierra de Albarracín	-24	30	7	54
2010	32	Gúdar-Javalambre	-40	62	20	102
2010	33	Matarraña / Matarranya	-100	60	25	160
2009	01	La Jacetania	-14	170	75	184
2009	02	Alto Gállego	1	135	47	134
2009	03	Sobrarbe	-4	69	19	73
2009	04	La Ribagorza	-76	85	34	161
2009	05	Cinco Villas	-180	232	82	412
2009	06	Hoya de Huesca / Plana de Uesca	-8	719	282	727
2009	07	Somontano de Barbastro	-76	203	33	279
2009	08	Cinca Medio	3	256	75	253
2009	09	La Litera / La Llitera	-99	145	47	244
2009	10	Los Monegros	-118	137	40	255
2009	11	Bajo Cinca / Baix Cinca	-35	217	68	252
2009	12	Tarazona y el Moncayo	-80	122	51	202
2009	13	Campo de Borja	-53	131	46	184
2009	14	Aranda	-39	41	10	80
2009	15	Ribera Alta del Ebro	-60	286	109	346
2009	16	Valdejalón	12	304	115	292
2009	17	Central	1646	7934	2994	6288
2009	18	Ribera Baja del Ebro	-32	77	21	109
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-50	115	42	165
2009	20	Comunidad de Calatayud	-279	304	90	583
2009	21	Campo de Cariñena	-56	90	35	146
2009	22	Campo de Belchite	-63	19	8	82
2009	23	Bajo Martín	-60	46	16	106
2009	24	Campo de Daroca	-76	26	12	102
2009	25	Jiloca	-88	115	29	203
2009	26	Cuencas Mineras	-33	65	21	98
2009	27	Andorra-Sierra de Arcos	-11	88	28	99
2009	28	Bajo Aragón	-49	296	90	345
2009	29	Comunidad de Teruel	-51	453	188	504
2009	30	Maestrazgo	-26	26	9	52
2009	31	Sierra de Albarracín	-49	20	5	69
2009	32	Gúdar-Javalambre	-38	71	24	109
2009	33	Matarraña / Matarranya	-65	65	23	130
2008	01	La Jacetania	19	193	52	174
2008	02	Alto Gállego	11	140	41	129
2008	03	Sobrarbe	-30	57	33	87
2008	04	La Ribagorza	-59	109	28	168
2008	05	Cinco Villas	-99	289	98	388
2008	06	Hoya de Huesca / Plana de Uesca	33	772	293	739
2008	07	Somontano de Barbastro	-29	219	29	248
2008	08	Cinca Medio	-30	234	93	264
2008	09	La Litera / La Llitera	-106	145	68	251
2008	10	Los Monegros	-164	118	46	282
2008	11	Bajo Cinca / Baix Cinca	-53	195	74	248
2008	12	Tarazona y el Moncayo	-93	128	64	221
2008	13	Campo de Borja	-37	156	58	193
2008	14	Aranda	-36	48	16	84
2008	15	Ribera Alta del Ebro	-99	272	124	371
2008	16	Valdejalón	33	311	117	278
2008	17	Central	1925	8406	3147	6481
2008	18	Ribera Baja del Ebro	-34	58	20	92
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-16	129	36	145
2008	20	Comunidad de Calatayud	-278	306	146	584
2008	21	Campo de Cariñena	-40	99	31	139
2008	22	Campo de Belchite	-64	16	8	80
2008	23	Bajo Martín	-43	53	20	96
2008	24	Campo de Daroca	-66	33	10	99
2008	25	Jiloca	-117	101	40	218
2008	26	Cuencas Mineras	-33	70	29	103
2008	27	Andorra-Sierra de Arcos	-28	91	42	119
2008	28	Bajo Aragón	30	311	88	281
2008	29	Comunidad de Teruel	-85	425	173	510
2008	30	Maestrazgo	-11	30	9	41
2008	31	Sierra de Albarracín	-31	33	11	64
2008	32	Gúdar-Javalambre	-22	65	14	87
2008	33	Matarraña / Matarranya	-71	63	28	134
2007	01	La Jacetania	-68	143	79	211
2007	02	Alto Gállego	16	123	63	107
2007	03	Sobrarbe	-13	61	21	74
2007	04	La Ribagorza	-75	87	43	162
2007	05	Cinco Villas	-110	267	104	377
2007	06	Hoya de Huesca / Plana de Uesca	-34	633	296	667
2007	07	Somontano de Barbastro	-87	180	68	267
2007	08	Cinca Medio	14	254	78	240
2007	09	La Litera / La Llitera	-74	172	60	246
2007	10	Los Monegros	-146	116	43	262
2007	11	Bajo Cinca / Baix Cinca	-19	226	62	245
2007	12	Tarazona y el Moncayo	-55	140	56	195
2007	13	Campo de Borja	-97	105	52	202
2007	14	Aranda	-33	47	31	80
2007	15	Ribera Alta del Ebro	-52	293	141	345
2007	16	Valdejalón	1	287	107	286
2007	17	Central	1375	7871	3339	6496
2007	18	Ribera Baja del Ebro	-28	77	29	105
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-55	92	44	147
2007	20	Comunidad de Calatayud	-243	326	113	569
2007	21	Campo de Cariñena	-73	73	20	146
2007	22	Campo de Belchite	-42	24	6	66
2007	23	Bajo Martín	-68	41	15	109
2007	24	Campo de Daroca	-66	29	9	95
2007	25	Jiloca	-120	97	34	217
2007	26	Cuencas Mineras	-47	58	22	105
2007	27	Andorra-Sierra de Arcos	-31	79	32	110
2007	28	Bajo Aragón	18	326	102	308
2007	29	Comunidad de Teruel	-7	454	214	461
2007	30	Maestrazgo	-28	33	10	61
2007	31	Sierra de Albarracín	-47	30	7	77
2007	32	Gúdar-Javalambre	-68	45	25	113
2007	33	Matarraña / Matarranya	-60	69	21	129
2006	01	La Jacetania	-42	162	79	204
2006	02	Alto Gállego	-28	113	64	141
2006	03	Sobrarbe	-25	42	24	67
2006	04	La Ribagorza	-75	75	37	150
2006	05	Cinco Villas	-107	265	90	372
2006	06	Hoya de Huesca / Plana de Uesca	-46	672	283	718
2006	07	Somontano de Barbastro	-120	182	88	302
2006	08	Cinca Medio	-5	245	85	250
2006	09	La Litera / La Llitera	-83	151	49	234
2006	10	Los Monegros	-129	119	41	248
2006	11	Bajo Cinca / Baix Cinca	-19	194	95	213
2006	12	Tarazona y el Moncayo	-65	109	52	174
2006	13	Campo de Borja	-55	127	46	182
2006	14	Aranda	-18	58	18	76
2006	15	Ribera Alta del Ebro	-34	262	135	296
2006	16	Valdejalón	-35	278	87	313
2006	17	Central	1295	7518	3542	6223
2006	18	Ribera Baja del Ebro	-50	54	12	104
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-84	100	37	184
2006	20	Comunidad de Calatayud	-254	296	153	550
2006	21	Campo de Cariñena	-90	60	29	150
2006	22	Campo de Belchite	-45	29	5	74
2006	23	Bajo Martín	-77	40	14	117
2006	24	Campo de Daroca	-70	23	19	93
2006	25	Jiloca	-86	97	29	183
2006	26	Cuencas Mineras	-50	58	18	108
2006	27	Andorra-Sierra de Arcos	-20	79	32	99
2006	28	Bajo Aragón	-49	297	137	346
2006	29	Comunidad de Teruel	-75	412	196	487
2006	30	Maestrazgo	-40	18	13	58
2006	31	Sierra de Albarracín	-47	18	13	65
2006	32	Gúdar-Javalambre	-12	65	18	77
2006	33	Matarraña / Matarranya	-79	52	21	131
2005	01	La Jacetania	-50	151	71	201
2005	02	Alto Gállego	-22	106	40	128
2005	03	Sobrarbe	-33	52	19	85
2005	04	La Ribagorza	-88	85	25	173
2005	05	Cinco Villas	-152	259	119	411
2005	06	Hoya de Huesca / Plana de Uesca	-120	589	325	709
2005	07	Somontano de Barbastro	-133	201	78	334
2005	08	Cinca Medio	-52	216	65	268
2005	09	La Litera / La Llitera	-97	139	64	236
2005	10	Los Monegros	-159	122	57	281
2005	11	Bajo Cinca / Baix Cinca	-74	190	76	264
2005	12	Tarazona y el Moncayo	-84	116	53	200
2005	13	Campo de Borja	-108	90	33	198
2005	14	Aranda	-20	46	15	66
2005	15	Ribera Alta del Ebro	-118	223	122	341
2005	16	Valdejalón	-64	246	93	310
2005	17	Central	543	7147	3642	6604
2005	18	Ribera Baja del Ebro	-28	70	25	98
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-67	102	39	169
2005	20	Comunidad de Calatayud	-298	262	138	560
2005	21	Campo de Cariñena	-78	60	34	138
2005	22	Campo de Belchite	-74	18	4	92
2005	23	Bajo Martín	-57	46	23	103
2005	24	Campo de Daroca	-55	23	21	78
2005	25	Jiloca	-116	87	35	203
2005	26	Cuencas Mineras	-68	46	32	114
2005	27	Andorra-Sierra de Arcos	-47	65	27	112
2005	28	Bajo Aragón	-29	297	124	326
2005	29	Comunidad de Teruel	-121	416	220	537
2005	30	Maestrazgo	-22	19	13	41
2005	31	Sierra de Albarracín	-33	25	15	58
2005	32	Gúdar-Javalambre	-59	54	23	113
2005	33	Matarraña / Matarranya	-72	59	21	131
2004	01	La Jacetania	-42	148	88	190
2004	02	Alto Gállego	-32	105	66	137
2004	03	Sobrarbe	-10	61	22	71
2004	04	La Ribagorza	-84	98	46	182
2004	05	Cinco Villas	-143	232	137	375
2004	06	Hoya de Huesca / Plana de Uesca	-93	597	301	690
2004	07	Somontano de Barbastro	-65	195	83	260
2004	08	Cinca Medio	-53	229	103	282
2004	09	La Litera / La Llitera	-95	148	47	243
2004	10	Los Monegros	-135	110	49	245
2004	11	Bajo Cinca / Baix Cinca	-36	205	85	241
2004	12	Tarazona y el Moncayo	-91	106	59	197
2004	13	Campo de Borja	-111	106	50	217
2004	14	Aranda	-41	48	24	89
2004	15	Ribera Alta del Ebro	-115	205	119	320
2004	16	Valdejalón	-69	232	103	301
2004	17	Central	604	6995	3717	6391
2004	18	Ribera Baja del Ebro	-53	58	28	111
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-64	115	53	179
2004	20	Comunidad de Calatayud	-242	267	144	509
2004	21	Campo de Cariñena	-70	63	31	133
2004	22	Campo de Belchite	-56	26	4	82
2004	23	Bajo Martín	-73	35	19	108
2004	24	Campo de Daroca	-64	31	14	95
2004	25	Jiloca	-91	70	39	161
2004	26	Cuencas Mineras	-20	69	20	89
2004	27	Andorra-Sierra de Arcos	-26	82	23	108
2004	28	Bajo Aragón	-92	248	143	340
2004	29	Comunidad de Teruel	-104	415	218	519
2004	30	Maestrazgo	-20	22	3	42
2004	31	Sierra de Albarracín	-38	24	8	62
2004	32	Gúdar-Javalambre	-37	61	25	98
2004	33	Matarraña / Matarranya	-56	52	15	108
2003	01	La Jacetania	-49	145	68	194
2003	02	Alto Gállego	-33	86	54	119
2003	03	Sobrarbe	-66	35	14	101
2003	04	La Ribagorza	-79	80	42	159
2003	05	Cinco Villas	-133	231	116	364
