Año	Provincia código	Provincia nombre	Población
1996	22	Huesca	206916
1996	44	Teruel	138211
1996	50	Zaragoza	842419
1998	22	Huesca	204956
1998	44	Teruel	136840
1998	50	Zaragoza	841438
1999	22	Huesca	205429
1999	44	Teruel	136849
1999	50	Zaragoza	844571
2000	22	Huesca	205430
2000	44	Teruel	136473
2000	50	Zaragoza	848006
2001	22	Huesca	205955
2001	44	Teruel	136233
2001	50	Zaragoza	857565
2002	22	Huesca	208963
2002	44	Teruel	137342
2002	50	Zaragoza	871209
2003	22	Huesca	211286
2003	44	Teruel	138686
2003	50	Zaragoza	880118
2004	22	Huesca	212901
2004	44	Teruel	139333
2004	50	Zaragoza	897350
2005	22	Huesca	215864
2005	44	Teruel	141091
2005	50	Zaragoza	912072
2006	22	Huesca	218023
2006	44	Teruel	142160
2006	50	Zaragoza	917288
2007	22	Huesca	220107
2007	44	Teruel	144046
2007	50	Zaragoza	932502
2008	22	Huesca	225271
2008	44	Teruel	146324
2008	50	Zaragoza	955323
2009	22	Huesca	228409
2009	44	Teruel	146751
2009	50	Zaragoza	970313
2010	22	Huesca	228566
2010	44	Teruel	145277
2010	50	Zaragoza	973252
2011	22	Huesca	228361
2011	44	Teruel	144607
2011	50	Zaragoza	973325
2012	22	Huesca	227609
2012	44	Teruel	143728
2012	50	Zaragoza	978130
2013	22	Huesca	226329
2013	44	Teruel	142183
2013	50	Zaragoza	978638
2014	22	Huesca	224909
2014	44	Teruel	140365
2014	50	Zaragoza	960111
2015	22	Huesca	222909
2015	44	Teruel	138932
2015	50	Zaragoza	956006
2016	22	Huesca	221079
2016	44	Teruel	136977
2016	50	Zaragoza	950507
2017	22	Huesca	219702
2017	44	Teruel	135562
2017	50	Zaragoza	953486
2018	22	Huesca	219345
2018	44	Teruel	134572
2018	50	Zaragoza	954811
2019	22	Huesca	220461
2019	44	Teruel	134137
2019	50	Zaragoza	964693
2020	22	Huesca	222687
2020	44	Teruel	134176
2020	50	Zaragoza	972528
