Año	Residencia comarca código	Residencia comarca nombre	Edad (grandes grupos)	Sexo	Relación lugar de residencia y nacimiento	Personas
1998	01	La Jacetania	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	635
1998	01	La Jacetania	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	256
1998	01	La Jacetania	0 a 15	Hombres	3 - Misma CA y distinta provincia	136
1998	01	La Jacetania	0 a 15	Hombres	4 - Distinta CA	134
1998	01	La Jacetania	0 a 15	Hombres	5 - Nacidos en el extranjero	13
1998	01	La Jacetania	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	547
1998	01	La Jacetania	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	229
1998	01	La Jacetania	0 a 15	Mujeres	3 - Misma CA y distinta provincia	98
1998	01	La Jacetania	0 a 15	Mujeres	4 - Distinta CA	127
1998	01	La Jacetania	0 a 15	Mujeres	5 - Nacidos en el extranjero	13
1998	01	La Jacetania	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	2606
1998	01	La Jacetania	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	950
1998	01	La Jacetania	16 a 64	Hombres	3 - Misma CA y distinta provincia	577
1998	01	La Jacetania	16 a 64	Hombres	4 - Distinta CA	1080
1998	01	La Jacetania	16 a 64	Hombres	5 - Nacidos en el extranjero	89
1998	01	La Jacetania	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	2157
1998	01	La Jacetania	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	1079
1998	01	La Jacetania	16 a 64	Mujeres	3 - Misma CA y distinta provincia	545
1998	01	La Jacetania	16 a 64	Mujeres	4 - Distinta CA	967
1998	01	La Jacetania	16 a 64	Mujeres	5 - Nacidos en el extranjero	126
1998	01	La Jacetania	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	983
1998	01	La Jacetania	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	354
1998	01	La Jacetania	65 y más	Hombres	3 - Misma CA y distinta provincia	131
1998	01	La Jacetania	65 y más	Hombres	4 - Distinta CA	174
1998	01	La Jacetania	65 y más	Hombres	5 - Nacidos en el extranjero	17
1998	01	La Jacetania	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	1020
1998	01	La Jacetania	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	650
1998	01	La Jacetania	65 y más	Mujeres	3 - Misma CA y distinta provincia	148
1998	01	La Jacetania	65 y más	Mujeres	4 - Distinta CA	202
1998	01	La Jacetania	65 y más	Mujeres	5 - Nacidos en el extranjero	23
1998	02	Alto Gállego	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	155
1998	02	Alto Gállego	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	550
1998	02	Alto Gállego	0 a 15	Hombres	3 - Misma CA y distinta provincia	81
