Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2020	22	Huesca	Hombres	90	Leves	1
2020	44	Teruel	Hombres	42	Leves	1
2020	50	Zaragoza	Hombres	553	Leves	1
2020	22	Huesca	Mujeres	94	Leves	1
2020	44	Teruel	Mujeres	51	Leves	1
2020	50	Zaragoza	Mujeres	767	Leves	1
2020	22	Huesca	Hombres	2	Graves o muy graves	2
2020	50	Zaragoza	Hombres	15	Graves o muy graves	2
2020	22	Huesca	Mujeres	2	Graves o muy graves	2
2020	44	Teruel	Mujeres	1	Graves o muy graves	2
2020	50	Zaragoza	Mujeres	1	Graves o muy graves	2
2020	22	Huesca	Hombres	1	Mortales	3
2020	50	Zaragoza	Hombres	4	Mortales	3
2020	22	Huesca	Mujeres	1	Mortales	3
2020	50	Zaragoza	Mujeres	1	Mortales	3
