Comarca codigo	Comarca nombre	Edad	Jefe explotación	Sexo	Personas
01	La Jacetania	a) <35 años	1	Hombres	42
01	La Jacetania	a) <35 años	1	Mujeres	1
01	La Jacetania	b) >=35 a <55 años	1	Hombres	276
01	La Jacetania	b) >=35 a <55 años	1	Mujeres	30
01	La Jacetania	c) >=55 años	1	Hombres	316
01	La Jacetania	c) >=55 años	1	Mujeres	34
02	Alto Gállego	a) <35 años	1	Hombres	30
02	Alto Gállego	b) >=35 a <55 años	1	Hombres	178
02	Alto Gállego	b) >=35 a <55 años	1	Mujeres	33
02	Alto Gállego	c) >=55 años	1	Hombres	166
02	Alto Gállego	c) >=55 años	1	Mujeres	28
03	Sobrarbe	a) <35 años	1	Hombres	55
03	Sobrarbe	a) <35 años	1	Mujeres	8
03	Sobrarbe	b) >=35 a <55 años	1	Hombres	333
03	Sobrarbe	b) >=35 a <55 años	1	Mujeres	42
03	Sobrarbe	c) >=55 años	1	Hombres	323
03	Sobrarbe	c) >=55 años	1	Mujeres	51
04	La Ribagorza	a) <35 años	1	Hombres	113
04	La Ribagorza	a) <35 años	1	Mujeres	15
04	La Ribagorza	b) >=35 a <55 años	1	Hombres	619
04	La Ribagorza	b) >=35 a <55 años	1	Mujeres	90
04	La Ribagorza	c) >=55 años	1	Hombres	617
04	La Ribagorza	c) >=55 años	1	Mujeres	132
05	Cinco Villas	a) <35 años	1	Hombres	226
05	Cinco Villas	a) <35 años	1	Mujeres	22
05	Cinco Villas	b) >=35 a <55 años	1	Hombres	1411
05	Cinco Villas	b) >=35 a <55 años	1	Mujeres	147
05	Cinco Villas	c) >=55 años	1	Hombres	1449
05	Cinco Villas	c) >=55 años	1	Mujeres	236
06	Hoya de Huesca / Plana de Uesca	a) <35 años	1	Hombres	170
06	Hoya de Huesca / Plana de Uesca	a) <35 años	1	Mujeres	15
06	Hoya de Huesca / Plana de Uesca	b) >=35 a <55 años	1	Hombres	875
06	Hoya de Huesca / Plana de Uesca	b) >=35 a <55 años	1	Mujeres	74
06	Hoya de Huesca / Plana de Uesca	c) >=55 años	1	Hombres	1244
06	Hoya de Huesca / Plana de Uesca	c) >=55 años	1	Mujeres	169
07	Somontano de Barbastro	a) <35 años	1	Hombres	123
07	Somontano de Barbastro	a) <35 años	1	Mujeres	17
07	Somontano de Barbastro	b) >=35 a <55 años	1	Hombres	677
07	Somontano de Barbastro	b) >=35 a <55 años	1	Mujeres	129
07	Somontano de Barbastro	c) >=55 años	1	Hombres	931
07	Somontano de Barbastro	c) >=55 años	1	Mujeres	210
08	Cinca Medio	a) <35 años	1	Hombres	130
08	Cinca Medio	a) <35 años	1	Mujeres	16
08	Cinca Medio	b) >=35 a <55 años	1	Hombres	592
08	Cinca Medio	b) >=35 a <55 años	1	Mujeres	99
08	Cinca Medio	c) >=55 años	1	Hombres	636
08	Cinca Medio	c) >=55 años	1	Mujeres	111
09	La Litera / La Llitera	a) <35 años	1	Hombres	129
09	La Litera / La Llitera	a) <35 años	1	Mujeres	11
09	La Litera / La Llitera	b) >=35 a <55 años	1	Hombres	717
09	La Litera / La Llitera	b) >=35 a <55 años	1	Mujeres	88
09	La Litera / La Llitera	c) >=55 años	1	Hombres	1025
09	La Litera / La Llitera	c) >=55 años	1	Mujeres	142
10	Los Monegros	a) <35 años	1	Hombres	243
10	Los Monegros	a) <35 años	1	Mujeres	20
10	Los Monegros	b) >=35 a <55 años	1	Hombres	1307
10	Los Monegros	b) >=35 a <55 años	1	Mujeres	205
10	Los Monegros	c) >=55 años	1	Hombres	1290
10	Los Monegros	c) >=55 años	1	Mujeres	234
11	Bajo Cinca / Baix Cinca	a) <35 años	1	Hombres	187
11	Bajo Cinca / Baix Cinca	a) <35 años	1	Mujeres	16
11	Bajo Cinca / Baix Cinca	b) >=35 a <55 años	1	Hombres	1046
11	Bajo Cinca / Baix Cinca	b) >=35 a <55 años	1	Mujeres	131
11	Bajo Cinca / Baix Cinca	c) >=55 años	1	Hombres	865
11	Bajo Cinca / Baix Cinca	c) >=55 años	1	Mujeres	160
12	Tarazona y el Moncayo	a) <35 años	1	Hombres	19
12	Tarazona y el Moncayo	a) <35 años	1	Mujeres	4
12	Tarazona y el Moncayo	b) >=35 a <55 años	1	Hombres	221
12	Tarazona y el Moncayo	b) >=35 a <55 años	1	Mujeres	23
12	Tarazona y el Moncayo	c) >=55 años	1	Hombres	505
12	Tarazona y el Moncayo	c) >=55 años	1	Mujeres	50
13	Campo de Borja	a) <35 años	1	Hombres	106
13	Campo de Borja	a) <35 años	1	Mujeres	16
13	Campo de Borja	b) >=35 a <55 años	1	Hombres	615
