Comarca código	Comarca nombre	Tipo variación	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Variaciones
01	La Jacetania	Externa	Hombres	1	Europa	2017	268
01	La Jacetania	Externa	Hombres	2	África	2017	5
01	La Jacetania	Externa	Hombres	3	América	2017	16
01	La Jacetania	Externa	Hombres	4	Asia	2017	2
01	La Jacetania	Externa	Mujeres	1	Europa	2017	218
01	La Jacetania	Externa	Mujeres	2	África	2017	3
01	La Jacetania	Externa	Mujeres	3	América	2017	21
01	La Jacetania	Externa	Mujeres	4	Asia	2017	3
01	La Jacetania	Interna	Hombres	1	Europa	2017	170
01	La Jacetania	Interna	Hombres	2	África	2017	2
01	La Jacetania	Interna	Hombres	3	América	2017	9
01	La Jacetania	Interna	Mujeres	1	Europa	2017	154
01	La Jacetania	Interna	Mujeres	2	África	2017	3
01	La Jacetania	Interna	Mujeres	3	América	2017	14
01	La Jacetania	Interna	Mujeres	4	Asia	2017	1
02	Alto Gállego	Externa	Hombres	1	Europa	2017	192
02	Alto Gállego	Externa	Hombres	2	África	2017	17
02	Alto Gállego	Externa	Hombres	3	América	2017	6
02	Alto Gállego	Externa	Mujeres	1	Europa	2017	133
02	Alto Gállego	Externa	Mujeres	2	África	2017	14
02	Alto Gállego	Externa	Mujeres	3	América	2017	7
02	Alto Gállego	Interna	Hombres	1	Europa	2017	109
02	Alto Gállego	Interna	Hombres	2	África	2017	7
02	Alto Gállego	Interna	Hombres	3	América	2017	7
02	Alto Gállego	Interna	Hombres	4	Asia	2017	1
02	Alto Gállego	Interna	Mujeres	1	Europa	2017	120
02	Alto Gállego	Interna	Mujeres	2	África	2017	7
02	Alto Gállego	Interna	Mujeres	3	América	2017	9
03	Sobrarbe	Externa	Hombres	1	Europa	2017	96
03	Sobrarbe	Externa	Hombres	2	África	2017	4
03	Sobrarbe	Externa	Hombres	3	América	2017	1
03	Sobrarbe	Externa	Mujeres	1	Europa	2017	63
03	Sobrarbe	Externa	Mujeres	3	América	2017	7
03	Sobrarbe	Interna	Hombres	1	Europa	2017	105
03	Sobrarbe	Interna	Hombres	2	África	2017	1
03	Sobrarbe	Interna	Hombres	3	América	2017	7
03	Sobrarbe	Interna	Mujeres	1	Europa	2017	106
03	Sobrarbe	Interna	Mujeres	2	África	2017	2
03	Sobrarbe	Interna	Mujeres	3	América	2017	3
03	Sobrarbe	Interna	Mujeres	4	Asia	2017	1
04	La Ribagorza	Externa	Hombres	1	Europa	2017	170
04	La Ribagorza	Externa	Hombres	3	América	2017	16
04	La Ribagorza	Externa	Hombres	5	Otros continentes	2017	1
04	La Ribagorza	Externa	Mujeres	1	Europa	2017	138
04	La Ribagorza	Externa	Mujeres	3	América	2017	17
04	La Ribagorza	Interna	Hombres	1	Europa	2017	133
04	La Ribagorza	Interna	Hombres	2	África	2017	3
04	La Ribagorza	Interna	Hombres	3	América	2017	3
04	La Ribagorza	Interna	Hombres	4	Asia	2017	1
04	La Ribagorza	Interna	Mujeres	1	Europa	2017	139
04	La Ribagorza	Interna	Mujeres	2	África	2017	1
04	La Ribagorza	Interna	Mujeres	3	América	2017	15
05	Cinco Villas	Externa	Hombres	1	Europa	2017	145
05	Cinco Villas	Externa	Hombres	2	África	2017	48
05	Cinco Villas	Externa	Hombres	3	América	2017	14
05	Cinco Villas	Externa	Hombres	4	Asia	2017	16
05	Cinco Villas	Externa	Mujeres	1	Europa	2017	166
05	Cinco Villas	Externa	Mujeres	2	África	2017	20
05	Cinco Villas	Externa	Mujeres	3	América	2017	19
05	Cinco Villas	Externa	Mujeres	4	Asia	2017	2
05	Cinco Villas	Interna	Hombres	1	Europa	2017	211
05	Cinco Villas	Interna	Hombres	2	África	2017	26
05	Cinco Villas	Interna	Hombres	3	América	2017	7
05	Cinco Villas	Interna	Hombres	4	Asia	2017	1
05	Cinco Villas	Interna	Mujeres	1	Europa	2017	244
05	Cinco Villas	Interna	Mujeres	2	África	2017	13
05	Cinco Villas	Interna	Mujeres	3	América	2017	14
06	Hoya de Huesca / Plana de Uesca	Externa	Hombres	1	Europa	2017	452
06	Hoya de Huesca / Plana de Uesca	Externa	Hombres	2	África	2017	77
06	Hoya de Huesca / Plana de Uesca	Externa	Hombres	3	América	2017	60
06	Hoya de Huesca / Plana de Uesca	Externa	Hombres	4	Asia	2017	16
06	Hoya de Huesca / Plana de Uesca	Externa	Mujeres	1	Europa	2017	460
06	Hoya de Huesca / Plana de Uesca	Externa	Mujeres	2	África	2017	45
06	Hoya de Huesca / Plana de Uesca	Externa	Mujeres	3	América	2017	79
06	Hoya de Huesca / Plana de Uesca	Externa	Mujeres	4	Asia	2017	16
06	Hoya de Huesca / Plana de Uesca	Externa	Mujeres	5	Otros continentes	2017	1
06	Hoya de Huesca / Plana de Uesca	Interna	Hombres	1	Europa	2017	633
06	Hoya de Huesca / Plana de Uesca	Interna	Hombres	2	África	2017	32
06	Hoya de Huesca / Plana de Uesca	Interna	Hombres	3	América	2017	20
06	Hoya de Huesca / Plana de Uesca	Interna	Hombres	4	Asia	2017	7
06	Hoya de Huesca / Plana de Uesca	Interna	Mujeres	1	Europa	2017	649
06	Hoya de Huesca / Plana de Uesca	Interna	Mujeres	2	África	2017	18
06	Hoya de Huesca / Plana de Uesca	Interna	Mujeres	3	América	2017	62
06	Hoya de Huesca / Plana de Uesca	Interna	Mujeres	4	Asia	2017	3
07	Somontano de Barbastro	Externa	Hombres	1	Europa	2017	159
07	Somontano de Barbastro	Externa	Hombres	2	África	2017	22
07	Somontano de Barbastro	Externa	Hombres	3	América	2017	25
07	Somontano de Barbastro	Externa	Hombres	4	Asia	2017	11
07	Somontano de Barbastro	Externa	Mujeres	1	Europa	2017	179
07	Somontano de Barbastro	Externa	Mujeres	2	África	2017	12
07	Somontano de Barbastro	Externa	Mujeres	3	América	2017	25
07	Somontano de Barbastro	Externa	Mujeres	4	Asia	2017	6
07	Somontano de Barbastro	Interna	Hombres	1	Europa	2017	167
07	Somontano de Barbastro	Interna	Hombres	2	África	2017	10
07	Somontano de Barbastro	Interna	Hombres	3	América	2017	8
07	Somontano de Barbastro	Interna	Mujeres	1	Europa	2017	212
07	Somontano de Barbastro	Interna	Mujeres	2	África	2017	4
07	Somontano de Barbastro	Interna	Mujeres	3	América	2017	21
07	Somontano de Barbastro	Interna	Mujeres	4	Asia	2017	2
08	Cinca Medio	Externa	Hombres	1	Europa	2017	184
08	Cinca Medio	Externa	Hombres	2	África	2017	64
08	Cinca Medio	Externa	Hombres	3	América	2017	10
08	Cinca Medio	Externa	Hombres	4	Asia	2017	2
08	Cinca Medio	Externa	Mujeres	1	Europa	2017	185
08	Cinca Medio	Externa	Mujeres	2	África	2017	25
08	Cinca Medio	Externa	Mujeres	3	América	2017	15
08	Cinca Medio	Externa	Mujeres	4	Asia	2017	4
08	Cinca Medio	Interna	Hombres	1	Europa	2017	176
08	Cinca Medio	Interna	Hombres	2	África	2017	24
08	Cinca Medio	Interna	Hombres	3	América	2017	2
08	Cinca Medio	Interna	Hombres	4	Asia	2017	3
08	Cinca Medio	Interna	Hombres	5	Otros continentes	2017	1
08	Cinca Medio	Interna	Mujeres	1	Europa	2017	159
08	Cinca Medio	Interna	Mujeres	2	África	2017	18
08	Cinca Medio	Interna	Mujeres	3	América	2017	10
08	Cinca Medio	Interna	Mujeres	5	Otros continentes	2017	1
09	La Litera / La Llitera	Externa	Hombres	1	Europa	2017	162
09	La Litera / La Llitera	Externa	Hombres	2	África	2017	73
09	La Litera / La Llitera	Externa	Hombres	3	América	2017	13
09	La Litera / La Llitera	Externa	Hombres	4	Asia	2017	4
09	La Litera / La Llitera	Externa	Mujeres	1	Europa	2017	141
09	La Litera / La Llitera	Externa	Mujeres	2	África	2017	17
09	La Litera / La Llitera	Externa	Mujeres	3	América	2017	15
09	La Litera / La Llitera	Externa	Mujeres	4	Asia	2017	3
09	La Litera / La Llitera	Externa	Mujeres	5	Otros continentes	2017	1
09	La Litera / La Llitera	Interna	Hombres	1	Europa	2017	116
09	La Litera / La Llitera	Interna	Hombres	2	África	2017	21
09	La Litera / La Llitera	Interna	Hombres	3	América	2017	6
09	La Litera / La Llitera	Interna	Hombres	4	Asia	2017	1
09	La Litera / La Llitera	Interna	Mujeres	1	Europa	2017	104
09	La Litera / La Llitera	Interna	Mujeres	2	África	2017	13
09	La Litera / La Llitera	Interna	Mujeres	3	América	2017	5
10	Los Monegros	Externa	Hombres	1	Europa	2017	115
10	Los Monegros	Externa	Hombres	2	África	2017	24
10	Los Monegros	Externa	Mujeres	1	Europa	2017	104
10	Los Monegros	Externa	Mujeres	2	África	2017	10
10	Los Monegros	Externa	Mujeres	3	América	2017	6
10	Los Monegros	Externa	Mujeres	5	Otros continentes	2017	1
10	Los Monegros	Interna	Hombres	1	Europa	2017	190
10	Los Monegros	Interna	Hombres	2	África	2017	22
10	Los Monegros	Interna	Hombres	3	América	2017	7
10	Los Monegros	Interna	Mujeres	1	Europa	2017	236
10	Los Monegros	Interna	Mujeres	2	África	2017	17
10	Los Monegros	Interna	Mujeres	3	América	2017	15
11	Bajo Cinca / Baix Cinca	Externa	Hombres	1	Europa	2017	356
11	Bajo Cinca / Baix Cinca	Externa	Hombres	2	África	2017	129
11	Bajo Cinca / Baix Cinca	Externa	Hombres	3	América	2017	5
11	Bajo Cinca / Baix Cinca	Externa	Hombres	4	Asia	2017	3
11	Bajo Cinca / Baix Cinca	Externa	Mujeres	1	Europa	2017	314
11	Bajo Cinca / Baix Cinca	Externa	Mujeres	2	África	2017	29
11	Bajo Cinca / Baix Cinca	Externa	Mujeres	3	América	2017	16
11	Bajo Cinca / Baix Cinca	Externa	Mujeres	4	Asia	2017	1
11	Bajo Cinca / Baix Cinca	Interna	Hombres	1	Europa	2017	88
11	Bajo Cinca / Baix Cinca	Interna	Hombres	2	África	2017	51
11	Bajo Cinca / Baix Cinca	Interna	Hombres	3	América	2017	1
11	Bajo Cinca / Baix Cinca	Interna	Hombres	4	Asia	2017	4
11	Bajo Cinca / Baix Cinca	Interna	Mujeres	1	Europa	2017	102
11	Bajo Cinca / Baix Cinca	Interna	Mujeres	2	África	2017	18
11	Bajo Cinca / Baix Cinca	Interna	Mujeres	3	América	2017	1
12	Tarazona y el Moncayo	Externa	Hombres	1	Europa	2017	93
12	Tarazona y el Moncayo	Externa	Hombres	2	África	2017	22
12	Tarazona y el Moncayo	Externa	Hombres	3	América	2017	11
12	Tarazona y el Moncayo	Externa	Hombres	4	Asia	2017	5
12	Tarazona y el Moncayo	Externa	Mujeres	1	Europa	2017	131
12	Tarazona y el Moncayo	Externa	Mujeres	2	África	2017	6
12	Tarazona y el Moncayo	Externa	Mujeres	3	América	2017	17
12	Tarazona y el Moncayo	Externa	Mujeres	4	Asia	2017	4
12	Tarazona y el Moncayo	Interna	Hombres	1	Europa	2017	96
12	Tarazona y el Moncayo	Interna	Hombres	2	África	2017	9
12	Tarazona y el Moncayo	Interna	Hombres	3	América	2017	2
12	Tarazona y el Moncayo	Interna	Hombres	4	Asia	2017	1
12	Tarazona y el Moncayo	Interna	Mujeres	1	Europa	2017	100
12	Tarazona y el Moncayo	Interna	Mujeres	2	África	2017	6
12	Tarazona y el Moncayo	Interna	Mujeres	3	América	2017	4
12	Tarazona y el Moncayo	Interna	Mujeres	4	Asia	2017	2
13	Campo de Borja	Externa	Hombres	1	Europa	2017	70
13	Campo de Borja	Externa	Hombres	2	África	2017	22
13	Campo de Borja	Externa	Hombres	3	América	2017	10
13	Campo de Borja	Externa	Hombres	4	Asia	2017	2
13	Campo de Borja	Externa	Mujeres	1	Europa	2017	68
13	Campo de Borja	Externa	Mujeres	2	África	2017	16
13	Campo de Borja	Externa	Mujeres	3	América	2017	4
13	Campo de Borja	Interna	Hombres	1	Europa	2017	133
13	Campo de Borja	Interna	Hombres	2	África	2017	15
13	Campo de Borja	Interna	Hombres	3	América	2017	2
13	Campo de Borja	Interna	Hombres	4	Asia	2017	2
13	Campo de Borja	Interna	Mujeres	1	Europa	2017	137
13	Campo de Borja	Interna	Mujeres	2	África	2017	3
13	Campo de Borja	Interna	Mujeres	3	América	2017	4
14	Aranda	Externa	Hombres	1	Europa	2017	37
14	Aranda	Externa	Hombres	2	África	2017	7
14	Aranda	Externa	Hombres	3	América	2017	2
14	Aranda	Externa	Mujeres	1	Europa	2017	28
14	Aranda	Externa	Mujeres	2	África	2017	2
14	Aranda	Externa	Mujeres	3	América	2017	3
14	Aranda	Interna	Hombres	1	Europa	2017	85
14	Aranda	Interna	Hombres	2	África	2017	5
14	Aranda	Interna	Mujeres	1	Europa	2017	87
14	Aranda	Interna	Mujeres	2	África	2017	2
14	Aranda	Interna	Mujeres	3	América	2017	2
15	Ribera Alta del Ebro	Externa	Hombres	1	Europa	2017	167
15	Ribera Alta del Ebro	Externa	Hombres	2	África	2017	12
15	Ribera Alta del Ebro	Externa	Hombres	3	América	2017	12
15	Ribera Alta del Ebro	Externa	Hombres	4	Asia	2017	5
15	Ribera Alta del Ebro	Externa	Mujeres	1	Europa	2017	158
15	Ribera Alta del Ebro	Externa	Mujeres	2	África	2017	17
15	Ribera Alta del Ebro	Externa	Mujeres	3	América	2017	15
15	Ribera Alta del Ebro	Externa	Mujeres	4	Asia	2017	4
15	Ribera Alta del Ebro	Interna	Hombres	1	Europa	2017	361
15	Ribera Alta del Ebro	Interna	Hombres	2	África	2017	17
15	Ribera Alta del Ebro	Interna	Hombres	3	América	2017	20
15	Ribera Alta del Ebro	Interna	Hombres	4	Asia	2017	2
15	Ribera Alta del Ebro	Interna	Mujeres	1	Europa	2017	356
15	Ribera Alta del Ebro	Interna	Mujeres	2	África	2017	14
15	Ribera Alta del Ebro	Interna	Mujeres	3	América	2017	27
16	Valdejalón	Externa	Hombres	1	Europa	2017	247
16	Valdejalón	Externa	Hombres	2	África	2017	86
16	Valdejalón	Externa	Hombres	3	América	2017	14
16	Valdejalón	Externa	Hombres	4	Asia	2017	9
16	Valdejalón	Externa	Hombres	5	Otros continentes	2017	1
16	Valdejalón	Externa	Mujeres	1	Europa	2017	235
16	Valdejalón	Externa	Mujeres	2	África	2017	31
16	Valdejalón	Externa	Mujeres	3	América	2017	12
16	Valdejalón	Externa	Mujeres	4	Asia	2017	4
16	Valdejalón	Interna	Hombres	1	Europa	2017	347
16	Valdejalón	Interna	Hombres	2	África	2017	36
16	Valdejalón	Interna	Hombres	3	América	2017	10
16	Valdejalón	Interna	Hombres	4	Asia	2017	4
16	Valdejalón	Interna	Hombres	5	Otros continentes	2017	1
16	Valdejalón	Interna	Mujeres	1	Europa	2017	351
16	Valdejalón	Interna	Mujeres	2	África	2017	20
16	Valdejalón	Interna	Mujeres	3	América	2017	22
16	Valdejalón	Interna	Mujeres	4	Asia	2017	4
17	D.C. Zaragoza	Externa	Hombres	1	Europa	2017	4064
17	D.C. Zaragoza	Externa	Hombres	2	África	2017	1777
17	D.C. Zaragoza	Externa	Hombres	3	América	2017	1438
17	D.C. Zaragoza	Externa	Hombres	4	Asia	2017	852
17	D.C. Zaragoza	Externa	Hombres	5	Otros continentes	2017	11
17	D.C. Zaragoza	Externa	Mujeres	1	Europa	2017	3935
17	D.C. Zaragoza	Externa	Mujeres	2	África	2017	738
17	D.C. Zaragoza	Externa	Mujeres	3	América	2017	2037
17	D.C. Zaragoza	Externa	Mujeres	4	Asia	2017	479
17	D.C. Zaragoza	Externa	Mujeres	5	Otros continentes	2017	3
17	D.C. Zaragoza	Interna	Hombres	1	Europa	2017	3597
17	D.C. Zaragoza	Interna	Hombres	2	África	2017	181
17	D.C. Zaragoza	Interna	Hombres	3	América	2017	107
17	D.C. Zaragoza	Interna	Hombres	4	Asia	2017	51
17	D.C. Zaragoza	Interna	Hombres	5	Otros continentes	2017	1
17	D.C. Zaragoza	Interna	Mujeres	1	Europa	2017	3680
17	D.C. Zaragoza	Interna	Mujeres	2	África	2017	87
17	D.C. Zaragoza	Interna	Mujeres	3	América	2017	284
17	D.C. Zaragoza	Interna	Mujeres	4	Asia	2017	20
18	Ribera Baja del Ebro	Externa	Hombres	1	Europa	2017	27
18	Ribera Baja del Ebro	Externa	Hombres	2	África	2017	5
18	Ribera Baja del Ebro	Externa	Hombres	3	América	2017	2
18	Ribera Baja del Ebro	Externa	Hombres	4	Asia	2017	4
18	Ribera Baja del Ebro	Externa	Mujeres	1	Europa	2017	22
18	Ribera Baja del Ebro	Externa	Mujeres	2	África	2017	1
18	Ribera Baja del Ebro	Externa	Mujeres	3	América	2017	9
18	Ribera Baja del Ebro	Externa	Mujeres	4	Asia	2017	2
18	Ribera Baja del Ebro	Interna	Hombres	1	Europa	2017	114
18	Ribera Baja del Ebro	Interna	Hombres	2	África	2017	8
18	Ribera Baja del Ebro	Interna	Hombres	3	América	2017	5
18	Ribera Baja del Ebro	Interna	Hombres	4	Asia	2017	2
18	Ribera Baja del Ebro	Interna	Mujeres	1	Europa	2017	141
18	Ribera Baja del Ebro	Interna	Mujeres	2	África	2017	1
18	Ribera Baja del Ebro	Interna	Mujeres	3	América	2017	9
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Hombres	1	Europa	2017	118
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Hombres	2	África	2017	92
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Hombres	3	América	2017	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Hombres	4	Asia	2017	77
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Mujeres	1	Europa	2017	104
