Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2020	Hombres	01	La Jacetania	2	Leves	1
2020	Hombres	02	Alto Gállego	2	Leves	1
2020	Hombres	03	Sobrarbe	3	Leves	1
2020	Hombres	04	La Ribagorza	5	Leves	1
2020	Hombres	05	Cinco Villas	14	Leves	1
2020	Hombres	06	Hoya de Huesca / Plana de Uesca	26	Leves	1
2020	Hombres	07	Somontano de Barbastro	11	Leves	1
2020	Hombres	08	Cinca Medio	17	Leves	1
2020	Hombres	09	La Litera / La Llitera	11	Leves	1
2020	Hombres	10	Los Monegros	8	Leves	1
2020	Hombres	11	Bajo Cinca / Baix Cinca	13	Leves	1
2020	Hombres	12	Tarazona y el Moncayo	9	Leves	1
2020	Hombres	13	Campo de Borja	5	Leves	1
2020	Hombres	15	Ribera Alta del Ebro	34	Leves	1
2020	Hombres	16	Valdejalón	26	Leves	1
2020	Hombres	17	Central	433	Leves	1
2020	Hombres	18	Ribera Baja del Ebro	2	Leves	1
2020	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Leves	1
2020	Hombres	20	Comunidad de Calatayud	7	Leves	1
2020	Hombres	21	Campo de Cariñena	3	Leves	1
2020	Hombres	23	Bajo Martín	3	Leves	1
2020	Hombres	24	Campo de Daroca	3	Leves	1
2020	Hombres	25	Jiloca	3	Leves	1
2020	Hombres	26	Cuencas Mineras	3	Leves	1
2020	Hombres	27	Andorra-Sierra de Arcos	5	Leves	1
2020	Hombres	28	Bajo Aragón	7	Leves	1
2020	Hombres	29	Comunidad de Teruel	15	Leves	1
2020	Hombres	31	Sierra de Albarracín	1	Leves	1
2020	Hombres	32	Gúdar-Javalambre	3	Leves	1
2020	Hombres	33	Matarraña / Matarranya	3	Leves	1
2020	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	7	Leves	1
2020	Mujeres	01	La Jacetania	5	Leves	1
2020	Mujeres	02	Alto Gállego	7	Leves	1
2020	Mujeres	04	La Ribagorza	6	Leves	1
2020	Mujeres	05	Cinco Villas	9	Leves	1
2020	Mujeres	06	Hoya de Huesca / Plana de Uesca	44	Leves	1
2020	Mujeres	07	Somontano de Barbastro	11	Leves	1
2020	Mujeres	08	Cinca Medio	4	Leves	1
2020	Mujeres	09	La Litera / La Llitera	5	Leves	1
2020	Mujeres	10	Los Monegros	2	Leves	1
2020	Mujeres	11	Bajo Cinca / Baix Cinca	11	Leves	1
2020	Mujeres	12	Tarazona y el Moncayo	7	Leves	1
2020	Mujeres	13	Campo de Borja	6	Leves	1
2020	Mujeres	15	Ribera Alta del Ebro	22	Leves	1
2020	Mujeres	16	Valdejalón	19	Leves	1
2020	Mujeres	17	Central	670	Leves	1
2020	Mujeres	18	Ribera Baja del Ebro	8	Leves	1
2020	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Leves	1
2020	Mujeres	20	Comunidad de Calatayud	12	Leves	1
2020	Mujeres	21	Campo de Cariñena	5	Leves	1
2020	Mujeres	22	Campo de Belchite	1	Leves	1
2020	Mujeres	24	Campo de Daroca	1	Leves	1
2020	Mujeres	25	Jiloca	2	Leves	1
2020	Mujeres	26	Cuencas Mineras	2	Leves	1
2020	Mujeres	27	Andorra-Sierra de Arcos	1	Leves	1
2020	Mujeres	28	Bajo Aragón	9	Leves	1
2020	Mujeres	29	Comunidad de Teruel	28	Leves	1
2020	Mujeres	31	Sierra de Albarracín	2	Leves	1
2020	Mujeres	32	Gúdar-Javalambre	3	Leves	1
2020	Mujeres	33	Matarraña / Matarranya	4	Leves	1
2020	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	1	Leves	1
2019	Hombres	01	La Jacetania	2	Leves	1
2019	Hombres	02	Alto Gállego	5	Leves	1
2019	Hombres	04	La Ribagorza	4	Leves	1
2019	Hombres	05	Cinco Villas	15	Leves	1
2019	Hombres	06	Hoya de Huesca / Plana de Uesca	46	Leves	1
2019	Hombres	07	Somontano de Barbastro	6	Leves	1
2019	Hombres	08	Cinca Medio	18	Leves	1
2019	Hombres	09	La Litera / La Llitera	17	Leves	1
2019	Hombres	10	Los Monegros	9	Leves	1
2019	Hombres	11	Bajo Cinca / Baix Cinca	8	Leves	1
2019	Hombres	12	Tarazona y el Moncayo	6	Leves	1
2019	Hombres	13	Campo de Borja	5	Leves	1
2019	Hombres	14	Aranda	1	Leves	1
2019	Hombres	15	Ribera Alta del Ebro	69	Leves	1
2019	Hombres	16	Valdejalón	24	Leves	1
2019	Hombres	17	Central	568	Leves	1
2019	Hombres	18	Ribera Baja del Ebro	4	Leves	1
2019	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7	Leves	1
2019	Hombres	20	Comunidad de Calatayud	16	Leves	1
2019	Hombres	21	Campo de Cariñena	4	Leves	1
2019	Hombres	22	Campo de Belchite	1	Leves	1
2019	Hombres	23	Bajo Martín	5	Leves	1
2019	Hombres	24	Campo de Daroca	1	Leves	1
2019	Hombres	25	Jiloca	2	Leves	1
2019	Hombres	26	Cuencas Mineras	1	Leves	1
2019	Hombres	27	Andorra-Sierra de Arcos	3	Leves	1
2019	Hombres	28	Bajo Aragón	8	Leves	1
2019	Hombres	29	Comunidad de Teruel	19	Leves	1
2019	Hombres	30	Maestrazgo	1	Leves	1
2019	Hombres	31	Sierra de Albarracín	1	Leves	1
2019	Hombres	33	Matarraña / Matarranya	2	Leves	1
2019	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	16	Leves	1
2019	Mujeres	01	La Jacetania	4	Leves	1
2019	Mujeres	02	Alto Gállego	7	Leves	1
2019	Mujeres	03	Sobrarbe	3	Leves	1
2019	Mujeres	04	La Ribagorza	1	Leves	1
2019	Mujeres	05	Cinco Villas	23	Leves	1
2019	Mujeres	06	Hoya de Huesca / Plana de Uesca	66	Leves	1
2019	Mujeres	07	Somontano de Barbastro	19	Leves	1
2019	Mujeres	08	Cinca Medio	8	Leves	1
2019	Mujeres	09	La Litera / La Llitera	10	Leves	1
2019	Mujeres	10	Los Monegros	8	Leves	1
2019	Mujeres	11	Bajo Cinca / Baix Cinca	20	Leves	1
2019	Mujeres	12	Tarazona y el Moncayo	6	Leves	1
2019	Mujeres	13	Campo de Borja	6	Leves	1
2019	Mujeres	14	Aranda	1	Leves	1
2019	Mujeres	15	Ribera Alta del Ebro	35	Leves	1
2019	Mujeres	16	Valdejalón	32	Leves	1
2019	Mujeres	17	Central	930	Leves	1
2019	Mujeres	18	Ribera Baja del Ebro	9	Leves	1
2019	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Leves	1
2019	Mujeres	20	Comunidad de Calatayud	19	Leves	1
2019	Mujeres	21	Campo de Cariñena	1	Leves	1
2019	Mujeres	23	Bajo Martín	3	Leves	1
2019	Mujeres	24	Campo de Daroca	1	Leves	1
2019	Mujeres	25	Jiloca	5	Leves	1
2019	Mujeres	26	Cuencas Mineras	3	Leves	1
2019	Mujeres	27	Andorra-Sierra de Arcos	2	Leves	1
2019	Mujeres	28	Bajo Aragón	10	Leves	1
2019	Mujeres	29	Comunidad de Teruel	25	Leves	1
2019	Mujeres	30	Maestrazgo	1	Leves	1
2019	Mujeres	32	Gúdar-Javalambre	1	Leves	1
2019	Mujeres	33	Matarraña / Matarranya	1	Leves	1
2019	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	3	Leves	1
2018	Hombres	01	La Jacetania	5	Leves	1
2018	Hombres	02	Alto Gállego	5	Leves	1
2018	Hombres	03	Sobrarbe	2	Leves	1
2018	Hombres	04	La Ribagorza	1	Leves	1
2018	Hombres	05	Cinco Villas	10	Leves	1
2018	Hombres	06	Hoya de Huesca / Plana de Uesca	29	Leves	1
2018	Hombres	07	Somontano de Barbastro	9	Leves	1
2018	Hombres	08	Cinca Medio	19	Leves	1
2018	Hombres	09	La Litera / La Llitera	9	Leves	1
2018	Hombres	10	Los Monegros	4	Leves	1
2018	Hombres	11	Bajo Cinca / Baix Cinca	24	Leves	1
2018	Hombres	12	Tarazona y el Moncayo	6	Leves	1
2018	Hombres	13	Campo de Borja	7	Leves	1
2018	Hombres	14	Aranda	4	Leves	1
2018	Hombres	15	Ribera Alta del Ebro	55	Leves	1
2018	Hombres	16	Valdejalón	27	Leves	1
2018	Hombres	17	Central	567	Leves	1
2018	Hombres	18	Ribera Baja del Ebro	2	Leves	1
2018	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Leves	1
2018	Hombres	20	Comunidad de Calatayud	4	Leves	1
2018	Hombres	21	Campo de Cariñena	9	Leves	1
2018	Hombres	22	Campo de Belchite	1	Leves	1
2018	Hombres	24	Campo de Daroca	1	Leves	1
2018	Hombres	25	Jiloca	4	Leves	1
2018	Hombres	27	Andorra-Sierra de Arcos	2	Leves	1
2018	Hombres	28	Bajo Aragón	12	Leves	1
2018	Hombres	29	Comunidad de Teruel	22	Leves	1
2018	Hombres	31	Sierra de Albarracín	2	Leves	1
2018	Hombres	33	Matarraña / Matarranya	5	Leves	1
2018	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	7	Leves	1
2018	Mujeres	01	La Jacetania	13	Leves	1
2018	Mujeres	02	Alto Gállego	4	Leves	1
2018	Mujeres	03	Sobrarbe	1	Leves	1
2018	Mujeres	04	La Ribagorza	7	Leves	1
2018	Mujeres	05	Cinco Villas	8	Leves	1
2018	Mujeres	06	Hoya de Huesca / Plana de Uesca	44	Leves	1
2018	Mujeres	07	Somontano de Barbastro	12	Leves	1
2018	Mujeres	08	Cinca Medio	6	Leves	1
2018	Mujeres	09	La Litera / La Llitera	5	Leves	1
2018	Mujeres	10	Los Monegros	7	Leves	1
2018	Mujeres	11	Bajo Cinca / Baix Cinca	17	Leves	1
2018	Mujeres	12	Tarazona y el Moncayo	7	Leves	1
2018	Mujeres	13	Campo de Borja	4	Leves	1
2018	Mujeres	14	Aranda	2	Leves	1
2018	Mujeres	15	Ribera Alta del Ebro	34	Leves	1
2018	Mujeres	16	Valdejalón	23	Leves	1
2018	Mujeres	17	Central	930	Leves	1
2018	Mujeres	18	Ribera Baja del Ebro	6	Leves	1
2018	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Leves	1
2018	Mujeres	20	Comunidad de Calatayud	18	Leves	1
2018	Mujeres	21	Campo de Cariñena	7	Leves	1
2018	Mujeres	22	Campo de Belchite	1	Leves	1
2018	Mujeres	23	Bajo Martín	1	Leves	1
2018	Mujeres	25	Jiloca	3	Leves	1
2018	Mujeres	27	Andorra-Sierra de Arcos	2	Leves	1
2018	Mujeres	28	Bajo Aragón	10	Leves	1
2018	Mujeres	29	Comunidad de Teruel	37	Leves	1
2018	Mujeres	31	Sierra de Albarracín	3	Leves	1
2018	Mujeres	32	Gúdar-Javalambre	1	Leves	1
2018	Mujeres	33	Matarraña / Matarranya	1	Leves	1
2018	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	4	Leves	1
2017	Hombres	01	La Jacetania	4	Leves	1
2017	Hombres	02	Alto Gállego	5	Leves	1
2017	Hombres	03	Sobrarbe	2	Leves	1
2017	Hombres	04	La Ribagorza	5	Leves	1
2017	Hombres	05	Cinco Villas	8	Leves	1
2017	Hombres	06	Hoya de Huesca / Plana de Uesca	27	Leves	1
2017	Hombres	07	Somontano de Barbastro	10	Leves	1
2017	Hombres	08	Cinca Medio	19	Leves	1
2017	Hombres	09	La Litera / La Llitera	4	Leves	1
2017	Hombres	10	Los Monegros	3	Leves	1
2017	Hombres	11	Bajo Cinca / Baix Cinca	19	Leves	1
2017	Hombres	12	Tarazona y el Moncayo	2	Leves	1
2017	Hombres	13	Campo de Borja	5	Leves	1
2017	Hombres	14	Aranda	2	Leves	1
2017	Hombres	15	Ribera Alta del Ebro	55	Leves	1
2017	Hombres	16	Valdejalón	24	Leves	1
2017	Hombres	17	Central	523	Leves	1
2017	Hombres	18	Ribera Baja del Ebro	3	Leves	1
2017	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8	Leves	1
2017	Hombres	20	Comunidad de Calatayud	4	Leves	1
2017	Hombres	21	Campo de Cariñena	6	Leves	1
2017	Hombres	22	Campo de Belchite	1	Leves	1
2017	Hombres	23	Bajo Martín	2	Leves	1
2017	Hombres	24	Campo de Daroca	1	Leves	1
2017	Hombres	26	Cuencas Mineras	2	Leves	1
2017	Hombres	27	Andorra-Sierra de Arcos	2	Leves	1
2017	Hombres	28	Bajo Aragón	7	Leves	1
2017	Hombres	29	Comunidad de Teruel	19	Leves	1
2017	Hombres	32	Gúdar-Javalambre	1	Leves	1
2017	Hombres	33	Matarraña / Matarranya	1	Leves	1
2017	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	4	Leves	1
