Mes y año	Provincia código	Provincia nombre	Nivel formativo grupo IAEST código	Nivel formativo grupo IAEST descripción	Sexo	Nº parados
Febrero 2021	22	Huesca	10	Educación Primaria o inferior	Hombres	1572
Febrero 2021	22	Huesca	10	Educación Primaria o inferior	Mujeres	2091
Febrero 2021	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2363
Febrero 2021	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2717
Febrero 2021	22	Huesca	31	Bachillerato	Hombres	418
Febrero 2021	22	Huesca	31	Bachillerato	Mujeres	589
Febrero 2021	22	Huesca	32	Enseñanza media de formación profesional	Hombres	325
Febrero 2021	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	531
Febrero 2021	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	278
Febrero 2021	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	480
Febrero 2021	22	Huesca	42	Enseñanza superior universitaria	Hombres	348
Febrero 2021	22	Huesca	42	Enseñanza superior universitaria	Mujeres	800
Febrero 2021	44	Teruel	10	Educación Primaria o inferior	Hombres	926
Febrero 2021	44	Teruel	10	Educación Primaria o inferior	Mujeres	1426
Febrero 2021	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1593
Febrero 2021	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1793
Febrero 2021	44	Teruel	31	Bachillerato	Hombres	154
Febrero 2021	44	Teruel	31	Bachillerato	Mujeres	266
Febrero 2021	44	Teruel	32	Enseñanza media de formación profesional	Hombres	199
Febrero 2021	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	390
Febrero 2021	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	167
Febrero 2021	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	266
Febrero 2021	44	Teruel	42	Enseñanza superior universitaria	Hombres	215
Febrero 2021	44	Teruel	42	Enseñanza superior universitaria	Mujeres	441
Febrero 2021	50	Zaragoza	10	Educación Primaria o inferior	Hombres	5618
Febrero 2021	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	7917
Febrero 2021	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	14059
Febrero 2021	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	18531
Febrero 2021	50	Zaragoza	31	Bachillerato	Hombres	2147
Febrero 2021	50	Zaragoza	31	Bachillerato	Mujeres	3198
Febrero 2021	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1773
Febrero 2021	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	3111
Febrero 2021	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1612
Febrero 2021	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2455
Febrero 2021	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1990
Febrero 2021	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4399
Enero 2021	22	Huesca	10	Educación Primaria o inferior	Hombres	1588
Enero 2021	22	Huesca	10	Educación Primaria o inferior	Mujeres	2092
Enero 2021	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2357
Enero 2021	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2636
Enero 2021	22	Huesca	31	Bachillerato	Hombres	370
Enero 2021	22	Huesca	31	Bachillerato	Mujeres	547
Enero 2021	22	Huesca	32	Enseñanza media de formación profesional	Hombres	303
Enero 2021	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	485
Enero 2021	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	252
Enero 2021	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	463
Enero 2021	22	Huesca	42	Enseñanza superior universitaria	Hombres	336
Enero 2021	22	Huesca	42	Enseñanza superior universitaria	Mujeres	783
Enero 2021	44	Teruel	10	Educación Primaria o inferior	Hombres	938
Enero 2021	44	Teruel	10	Educación Primaria o inferior	Mujeres	1375
Enero 2021	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1573
Enero 2021	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1697
Enero 2021	44	Teruel	31	Bachillerato	Hombres	156
Enero 2021	44	Teruel	31	Bachillerato	Mujeres	258
Enero 2021	44	Teruel	32	Enseñanza media de formación profesional	Hombres	198
Enero 2021	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	357
Enero 2021	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	170
Enero 2021	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	257
Enero 2021	44	Teruel	42	Enseñanza superior universitaria	Hombres	223
Enero 2021	44	Teruel	42	Enseñanza superior universitaria	Mujeres	430
Enero 2021	50	Zaragoza	10	Educación Primaria o inferior	Hombres	5555
Enero 2021	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	7655
Enero 2021	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	13869
Enero 2021	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	17999
Enero 2021	50	Zaragoza	31	Bachillerato	Hombres	2090
Enero 2021	50	Zaragoza	31	Bachillerato	Mujeres	3108
Enero 2021	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1741
Enero 2021	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2991
Enero 2021	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1606
Enero 2021	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2398
Enero 2021	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1961
Enero 2021	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4341
Diciembre 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1537
Diciembre 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	2012
Diciembre 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2286
Diciembre 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2547
Diciembre 2020	22	Huesca	31	Bachillerato	Hombres	357
Diciembre 2020	22	Huesca	31	Bachillerato	Mujeres	519
Diciembre 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	296
Diciembre 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	455
Diciembre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	234
Diciembre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	437
Diciembre 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	332
Diciembre 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	743
Diciembre 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	930
Diciembre 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1336
Diciembre 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1576
Diciembre 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1635
Diciembre 2020	44	Teruel	31	Bachillerato	Hombres	159
Diciembre 2020	44	Teruel	31	Bachillerato	Mujeres	241
Diciembre 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	193
Diciembre 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	319
Diciembre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	160
Diciembre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	227
Diciembre 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	217
Diciembre 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	410
Diciembre 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	5438
Diciembre 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	7371
Diciembre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	13674
Diciembre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	17436
Diciembre 2020	50	Zaragoza	31	Bachillerato	Hombres	2046
Diciembre 2020	50	Zaragoza	31	Bachillerato	Mujeres	2974
Diciembre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1675
Diciembre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2780
Diciembre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1561
Diciembre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2216
Diciembre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1893
Diciembre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4143
Noviembre 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1457
Noviembre 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1952
Noviembre 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2214
Noviembre 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2524
Noviembre 2020	22	Huesca	31	Bachillerato	Hombres	359
Noviembre 2020	22	Huesca	31	Bachillerato	Mujeres	518
Noviembre 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	283
Noviembre 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	448
Noviembre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	231
Noviembre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	429
Noviembre 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	342
Noviembre 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	723
Noviembre 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	879
Noviembre 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1309
Noviembre 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1443
Noviembre 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1619
Noviembre 2020	44	Teruel	31	Bachillerato	Hombres	149
Noviembre 2020	44	Teruel	31	Bachillerato	Mujeres	230
Noviembre 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	169
Noviembre 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	335
Noviembre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	149
Noviembre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	214
Noviembre 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	195
Noviembre 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	391
Noviembre 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	5265
Noviembre 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	7177
Noviembre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	13100
Noviembre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	17239
Noviembre 2020	50	Zaragoza	31	Bachillerato	Hombres	1984
Noviembre 2020	50	Zaragoza	31	Bachillerato	Mujeres	2900
Noviembre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1566
Noviembre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2737
Noviembre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1495
Noviembre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2205
Noviembre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1843
Noviembre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4083
Octubre 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1463
Octubre 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1817
Octubre 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2108
Octubre 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2423
Octubre 2020	22	Huesca	31	Bachillerato	Hombres	343
Octubre 2020	22	Huesca	31	Bachillerato	Mujeres	490
Octubre 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	264
Octubre 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	429
Octubre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	222
Octubre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	417
Octubre 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	348
Octubre 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	725
Octubre 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	794
Octubre 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1172
Octubre 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1350
Octubre 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1520
Octubre 2020	44	Teruel	31	Bachillerato	Hombres	150
Octubre 2020	44	Teruel	31	Bachillerato	Mujeres	209
Octubre 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	163
Octubre 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	319
Octubre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	138
Octubre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	220
Octubre 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	190
