Mes y año	Mes (código)	Comarca código	Comarca nombre	Sector código	Sector descripción	Sexo	Número de contratos
Mayo 2019	201905	01	La Jacetania	1	Agricultura, ganadería y pesca	Hombres	9
Mayo 2019	201905	01	La Jacetania	1	Agricultura, ganadería y pesca	Mujeres	2
Mayo 2019	201905	01	La Jacetania	2	Industria y energía	Hombres	6
Mayo 2019	201905	01	La Jacetania	2	Industria y energía	Mujeres	5
Mayo 2019	201905	01	La Jacetania	3	Construcción	Hombres	50
Mayo 2019	201905	01	La Jacetania	3	Construcción	Mujeres	2
Mayo 2019	201905	01	La Jacetania	4	Servicios	Hombres	201
Mayo 2019	201905	01	La Jacetania	4	Servicios	Mujeres	277
Mayo 2019	201905	02	Alto Gállego	1	Agricultura, ganadería y pesca	Hombres	2
Mayo 2019	201905	02	Alto Gállego	2	Industria y energía	Hombres	9
Mayo 2019	201905	02	Alto Gállego	2	Industria y energía	Mujeres	10
Mayo 2019	201905	02	Alto Gállego	3	Construcción	Hombres	41
Mayo 2019	201905	02	Alto Gállego	3	Construcción	Mujeres	1
Mayo 2019	201905	02	Alto Gállego	4	Servicios	Hombres	193
Mayo 2019	201905	02	Alto Gállego	4	Servicios	Mujeres	186
Mayo 2019	201905	03	Sobrarbe	1	Agricultura, ganadería y pesca	Hombres	6
Mayo 2019	201905	03	Sobrarbe	1	Agricultura, ganadería y pesca	Mujeres	1
Mayo 2019	201905	03	Sobrarbe	2	Industria y energía	Hombres	3
Mayo 2019	201905	03	Sobrarbe	2	Industria y energía	Mujeres	2
Mayo 2019	201905	03	Sobrarbe	3	Construcción	Hombres	12
Mayo 2019	201905	03	Sobrarbe	4	Servicios	Hombres	157
Mayo 2019	201905	03	Sobrarbe	4	Servicios	Mujeres	158
Mayo 2019	201905	04	La Ribagorza	1	Agricultura, ganadería y pesca	Hombres	21
Mayo 2019	201905	04	La Ribagorza	1	Agricultura, ganadería y pesca	Mujeres	2
Mayo 2019	201905	04	La Ribagorza	2	Industria y energía	Hombres	11
Mayo 2019	201905	04	La Ribagorza	2	Industria y energía	Mujeres	2
Mayo 2019	201905	04	La Ribagorza	3	Construcción	Hombres	28
Mayo 2019	201905	04	La Ribagorza	3	Construcción	Mujeres	2
Mayo 2019	201905	04	La Ribagorza	4	Servicios	Hombres	96
Mayo 2019	201905	04	La Ribagorza	4	Servicios	Mujeres	107
Mayo 2019	201905	05	Cinco Villas	1	Agricultura, ganadería y pesca	Hombres	92
Mayo 2019	201905	05	Cinco Villas	1	Agricultura, ganadería y pesca	Mujeres	18
Mayo 2019	201905	05	Cinco Villas	2	Industria y energía	Hombres	157
Mayo 2019	201905	05	Cinco Villas	2	Industria y energía	Mujeres	44
Mayo 2019	201905	05	Cinco Villas	3	Construcción	Hombres	43
Mayo 2019	201905	05	Cinco Villas	3	Construcción	Mujeres	2
Mayo 2019	201905	05	Cinco Villas	4	Servicios	Hombres	205
Mayo 2019	201905	05	Cinco Villas	4	Servicios	Mujeres	267
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	1	Agricultura, ganadería y pesca	Hombres	107
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	1	Agricultura, ganadería y pesca	Mujeres	14
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	Hombres	67
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	Mujeres	15
