CCAA código	CCAA nombre	Año	Siglas	Votos
02	Aragón	2015	PP	186855
02	Aragón	2015	PSOE	177214
02	Aragón	2015	ZGZ	81601
02	Aragón	2015	PAR	59449
02	Aragón	2015	C's	52904
02	Aragón	2015	CHA	42119
02	Aragón	2015	CAMBIAR	8732
02	Aragón	2015	G:IU-LV	6865
02	Aragón	2015	ARAGONSIPUEDE	6026
02	Aragón	2015	EB	5427
02	Aragón	2015	UPyD	5158
02	Aragón	2015	COMPROMISO CON ARAGON	4665
02	Aragón	2015	PACMA	3840
02	Aragón	2015	IU-ZGZ	2992
02	Aragón	2015	LV-GV	1818
02	Aragón	2015	EPC-ZGZ	1207
02	Aragón	2015	FIA	1186
02	Aragón	2015	P.C.P.E.	899
02	Aragón	2015	M.S.R.	629
02	Aragón	2015	SZ - ZGZ	595
02	Aragón	2015	BAR	552
02	Aragón	2015	POR MALLEN	551
02	Aragón	2015	SOMOS EPILA	482
02	Aragón	2015	CCA-ZGZ	479
02	Aragón	2015	E.A.	454
02	Aragón	2015	CXF	446
02	Aragón	2015	FIA-PILL	442
02	Aragón	2015	UNIÓN UTEBO	350
02	Aragón	2015	C.P.Btro	327
02	Aragón	2015	Asamblea Abierta	303
02	Aragón	2015	CALATAYUD PLURAL - ZGZ	276
02	Aragón	2015	GLM-ZGZ	214
02	Aragón	2015	G.B.A.	200
02	Aragón	2015	A.V.P.	184
02	Aragón	2015	GA-ZGZ	172
02	Aragón	2015	IP ATECA - ZGZ	156
02	Aragón	2015	A.E.G.	148
02	Aragón	2015	C.S.I.E	148
02	Aragón	2015	I.P.H.	133
02	Aragón	2015	A.I.E.V.I.	129
02	Aragón	2015	IU	97
02	Aragón	2015	AeF	91
02	Aragón	2015	AGRUPACION DE ELECTORES TODOS CERVERA	68
02	Aragón	2015	AE MURILLO DE GALLEGO	63
02	Aragón	2015	UxA	60
02	Aragón	2015	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	53
02	Aragón	2015	AE EL FRAGO	50
02	Aragón	2015	A.E.L.H.A.	42
02	Aragón	2015	UCIN	26
02	Aragón	2015	JUNTOS POR ALADRÉN	23
02	Aragón	2015	GANAR-ZRZ	22
02	Aragón	2015	YA	19
02	Aragón	2015	COMIENZOS NUEVOS	15
02	Aragón	2015	PNP	14
02	Aragón	2011	PP	251188
02	Aragón	2011	PSOE	213913
02	Aragón	2011	PAR	77593
02	Aragón	2011	CHA	53149
02	Aragón	2011	IU	39440
02	Aragón	2011	UPyD	13109
02	Aragón	2011	COMPROMISO CON ARAGON	4036
02	Aragón	2011	FIA	2634
02	Aragón	2011	ECOLO	2599
02	Aragón	2011	LV-GV	1505
02	Aragón	2011	PACMA	1107
02	Aragón	2011	CDL	1030
02	Aragón	2011	CPC	862
02	Aragón	2011	PUM+J	587
02	Aragón	2011	TA	500
02	Aragón	2011	pCUA	465
02	Aragón	2011	AES	418
02	Aragón	2011	PCPE	384
02	Aragón	2011	PFyV	301
02	Aragón	2011	CDF	281
02	Aragón	2011	PH	271
02	Aragón	2011	L'VIA	227
02	Aragón	2011	ACC	221
02	Aragón	2011	A E I POLEÑINO	94
02	Aragón	2011	AISOS	73
02	Aragón	2011	ESQUERRA-AM	66
02	Aragón	2011	CAVA	65
02	Aragón	2011	AELEF	63
02	Aragón	2011	ECOLO VERDES	53
02	Aragón	2011	PIRUM	47
02	Aragón	2011	INDEPENDIENTE CALCENA	43
02	Aragón	2011	UCL	43
02	Aragón	2011	CCD	40
02	Aragón	2011	UCE	31
02	Aragón	2011	A E I SABIÑAN	29
02	Aragón	2011	PYLN	29
02	Aragón	2011	A E NAVAL-MIPANAS	15
02	Aragón	2011	DN	11
02	Aragón	2011	LVE	3
02	Aragón	2007	PSOE	260667
02	Aragón	2007	PP	204120
02	Aragón	2007	PAR	94079
02	Aragón	2007	CHA	58463
02	Aragón	2007	IU	28947
02	Aragón	2007	LV-FIA	2364
02	Aragón	2007	CPC	1640
02	Aragón	2007	pCUA	1565
02	Aragón	2007	CDL	1220
02	Aragón	2007	IU-A	943
02	Aragón	2007	PACMA	916
02	Aragón	2007	CIPV	888
02	Aragón	2007	LV-GV	803
02	Aragón	2007	CC-IU	563
02	Aragón	2007	PUM+J	521
02	Aragón	2007	PFyV	500
02	Aragón	2007	PH	241
02	Aragón	2007	P.S.	236
02	Aragón	2007	ALCIVI	233
02	Aragón	2007	AEI-CP	184
02	Aragón	2007	GIC	154
02	Aragón	2007	IA	128
02	Aragón	2007	CAVA	108
02	Aragón	2007	PSD	104
02	Aragón	2007	A.E.S.	100
02	Aragón	2007	AI	91
02	Aragón	2007	I.E.I.	79
02	Aragón	2007	LV	74
02	Aragón	2007	L'ENTESA	69
02	Aragón	2007	IPN	64
02	Aragón	2007	UCL	55
02	Aragón	2007	AE	51
02	Aragón	2007	A AL	50
02	Aragón	2007	AESCSB	48
02	Aragón	2007	AIL	42
02	Aragón	2007	FIA	41
02	Aragón	2007	CDIG	31
02	Aragón	2007	FAMILIA Y V	30
02	Aragón	2007	IND	27
02	Aragón	2007	PAVIP	26
02	Aragón	2007	FV	15
02	Aragón	2007	AE NAVAL-MI	11
02	Aragón	2007	AIEADO	9
