Municipio código	Municipio nombre	Corine Land Cover 2000 nivel 3 descripción	Superficie (has)
22001	Abiego	Aeropuertos	0
22001	Abiego	Arrozales	0
22001	Abiego	Bosque mixto	64,741627
22001	Abiego	Bosques de coníferas	549,14789
22001	Abiego	Bosques de frondosas	202,548677
22001	Abiego	Cursos de agua	0
22001	Abiego	Escombreras y vertederos	0
22001	Abiego	Espacios con vegetación escasa	0
22001	Abiego	Frutales	0
22001	Abiego	Glaciares y nieves permanentes	0
22001	Abiego	Humedales y zonas pantanosas	0
22001	Abiego	Instalaciones deportivas y recreativas	0
22001	Abiego	Landas y matorrales mesófilos	0
22001	Abiego	Láminas de agua	0
22001	Abiego	Matorral boscoso de transición	1262,844784
22001	Abiego	Mosaico de cultivos	941,422907
22001	Abiego	Olivares	103,035135
22001	Abiego	Pastizales naturales	0
22001	Abiego	Playas, dunas y arenales	0
22001	Abiego	Prados y praderas	0
22001	Abiego	Redes viarias, ferroviarias y terrenos asociados	0
22001	Abiego	Roquedo	0
22001	Abiego	Tejido urbano continuo	9,636455
22001	Abiego	Tejido urbano discontinuo	5,260613
22001	Abiego	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	497,32101
22001	Abiego	Terrenos regados permanentemente	0
22001	Abiego	Tierras de labor en secano	3850,71713
22001	Abiego	Turberas y prados turbosos	0
22001	Abiego	Vegetación esclerófila	153,662293
22001	Abiego	Viñedos	2,320233
22001	Abiego	Zonas de extracción minera	0
22001	Abiego	Zonas en construcción	0
22001	Abiego	Zonas industriales, comerciales y de transporte	0
22001	Abiego	Zonas quemadas	0
22001	Abiego	Zonas verdes urbanas	0
22002	Abizanda	Aeropuertos	0
22002	Abizanda	Arrozales	0
22002	Abizanda	Bosque mixto	492,083442
22002	Abizanda	Bosques de coníferas	3750,705914
22002	Abizanda	Bosques de frondosas	270,328694
22002	Abizanda	Cursos de agua	0
22002	Abizanda	Escombreras y vertederos	0
22002	Abizanda	Espacios con vegetación escasa	22,050868
22002	Abizanda	Frutales	66,823213
22002	Abizanda	Glaciares y nieves permanentes	0
22002	Abizanda	Humedales y zonas pantanosas	0
22002	Abizanda	Instalaciones deportivas y recreativas	0
22002	Abizanda	Landas y matorrales mesófilos	0
22002	Abizanda	Láminas de agua	473,817791
22002	Abizanda	Matorral boscoso de transición	1394,326228
22002	Abizanda	Mosaico de cultivos	924,224665
22002	Abizanda	Olivares	66,841212
22002	Abizanda	Pastizales naturales	0
22002	Abizanda	Playas, dunas y arenales	65,150633
22002	Abizanda	Prados y praderas	0
22002	Abizanda	Redes viarias, ferroviarias y terrenos asociados	0
22002	Abizanda	Roquedo	0
22002	Abizanda	Tejido urbano continuo	2,503693
22002	Abizanda	Tejido urbano discontinuo	7,525954
22002	Abizanda	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	100,957819
22002	Abizanda	Terrenos regados permanentemente	0
22002	Abizanda	Tierras de labor en secano	603,625045
22002	Abizanda	Turberas y prados turbosos	0
22002	Abizanda	Vegetación esclerófila	726,357052
22002	Abizanda	Viñedos	0
22002	Abizanda	Zonas de extracción minera	0
22002	Abizanda	Zonas en construcción	0
22002	Abizanda	Zonas industriales, comerciales y de transporte	0
22002	Abizanda	Zonas quemadas	0
22002	Abizanda	Zonas verdes urbanas	0
22003	Adahuesca	Aeropuertos	0
22003	Adahuesca	Arrozales	0
22003	Adahuesca	Bosque mixto	148,32674
22003	Adahuesca	Bosques de coníferas	398,409303
22003	Adahuesca	Bosques de frondosas	3438,97959
22003	Adahuesca	Cursos de agua	0
22003	Adahuesca	Escombreras y vertederos	0
22003	Adahuesca	Espacios con vegetación escasa	238,923645
22003	Adahuesca	Frutales	0
22003	Adahuesca	Glaciares y nieves permanentes	0
22003	Adahuesca	Humedales y zonas pantanosas	0
22003	Adahuesca	Instalaciones deportivas y recreativas	0
22003	Adahuesca	Landas y matorrales mesófilos	0
22003	Adahuesca	Láminas de agua	0
22003	Adahuesca	Matorral boscoso de transición	1453,47036
22003	Adahuesca	Mosaico de cultivos	832,389082
22003	Adahuesca	Olivares	92,235575
22003	Adahuesca	Pastizales naturales	241,654324
22003	Adahuesca	Playas, dunas y arenales	0
22003	Adahuesca	Prados y praderas	0
22003	Adahuesca	Redes viarias, ferroviarias y terrenos asociados	0
22003	Adahuesca	Roquedo	0
22003	Adahuesca	Tejido urbano continuo	6,416994
22003	Adahuesca	Tejido urbano discontinuo	0
