Año	Código de la comarca	Comarca	Personas que son mano de obra familiar	Personas que son mano de obra familiar hombres	Personas que son mano de obra familiar mujeres	Personas que son mano de obra familiar <35 años	Personas que son mano de obra familiar de 35 a 45 años	Personas que son mano de obra familiar de 55 a 64 años	Personas que son mano de obra familiar de más de 65 años
1989	01	La Jacetania	1598	1283	315	216	520	490	372
1989	02	Alto Gállego	1054	804	250	145	309	303	297
1989	03	Sobrarbe	1871	1483	388	263	607	544	457
1989	04	La Ribagorza	3086	2316	770	480	1064	797	745
1989	05	Cinco Villas	10043	8260	1783	1667	3309	2484	2583
1989	06	Hoya de Huesca / Plana de Uesca	4239	3776	463	588	1507	1194	950
1989	07	Somontano de Barbastro	3947	3241	706	587	1314	1040	1006
1989	08	Cinca Medio	3244	2652	592	607	1162	845	630
1989	09	La Litera / La Llitera	4563	3310	1253	911	1705	1161	786
1989	10	Los Monegros	5104	4509	595	1047	1980	1326	751
1989	11	Bajo Cinca / Baix Cinca	5211	3721	1490	1292	2086	1179	654
1989	12	Tarazona y el Moncayo	2900	2435	465	355	1001	826	718
1989	13	Campo de Borja	4475	3629	846	864	1697	1132	782
1989	14	Aranda	2507	1914	593	454	895	648	510
1989	15	Ribera Alta del Ebro	4407	3677	730	680	1656	1251	820
1989	16	Valdejalón	7949	6335	1614	1588	3049	1916	1396
1989	17	D.C. Zaragoza	7566	6619	947	943	2874	2297	1452
1989	18	Ribera Baja del Ebro	2386	1936	450	340	844	709	493
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3707	2774	933	625	1389	975	718
1989	20	Comunidad de Calatayud	12632	9722	2910	1910	4371	3572	2779
1989	21	Campo de Cariñena	5227	3914	1313	1025	1847	1321	1034
1989	22	Campo de Belchite	1898	1594	304	223	674	610	391
1989	23	Bajo Martín	1773	1435	338	210	630	593	340
1989	24	Campo de Daroca	2274	1801	473	265	803	688	518
1989	25	Jiloca	4964	3587	1377	583	1771	1692	918
1989	26	Cuencas Mineras	1982	1550	432	210	560	621	591
1989	27	Andorra-Sierra de Arcos	2355	1619	736	284	706	672	693
1989	28	Bajo Aragón	5353	3739	1614	820	1858	1635	1040
1989	29	Comunidad de Teruel	6583	4582	2001	877	2368	1975	1363
1989	30	Maestrazgo	2006	1376	630	273	661	554	518
1989	31	Sierra de Albarracín	1250	948	302	185	392	402	271
1989	32	Gúdar-Javalambre	4171	2950	1221	302	1213	1151	1505
1989	33	Matarraña / Matarranya	4662	3103	1559	713	1692	1306	951
1999	01	La Jacetania	1266	1050	216	202	439	255	370
1999	02	Alto Gállego	657	550	107	105	217	117	218
1999	03	Sobrarbe	1235	949	286	176	522	242	295
1999	04	La Ribagorza	2397	1771	626	301	902	497	697
1999	05	Cinco Villas	5739	4734	1005	929	2319	1116	1375
1999	06	Hoya de Huesca / Plana de Uesca	4309	3617	692	573	1531	891	1314
1999	07	Somontano de Barbastro	3723	2796	927	462	1357	717	1187
1999	08	Cinca Medio	2736	2118	618	448	1080	624	584
1999	09	La Litera / La Llitera	3728	2733	995	559	1326	782	1061
1999	10	Los Monegros	5083	4181	902	897	2102	1038	1046
1999	11	Bajo Cinca / Baix Cinca	5301	3623	1678	1261	2100	1042	898
1999	12	Tarazona y el Moncayo	2705	2139	566	331	878	629	867
1999	13	Campo de Borja	4938	3697	1241	919	2001	1004	1014
1999	14	Aranda	1998	1528	470	274	686	478	560
1999	15	Ribera Alta del Ebro	2992	2419	573	338	1132	712	810
1999	16	Valdejalón	7868	5760	2108	1669	2969	1497	1733
1999	17	D.C. Zaragoza	5262	4365	897	621	1858	1273	1510
1999	18	Ribera Baja del Ebro	1920	1487	433	267	705	447	501
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3514	2441	1073	571	1276	763	904
1999	20	Comunidad de Calatayud	9344	7107	2237	1531	3039	2087	2687
1999	21	Campo de Cariñena	4791	3469	1322	889	1887	937	1078
1999	22	Campo de Belchite	2085	1602	483	280	721	500	584
1999	23	Bajo Martín	1969	1475	494	199	636	467	667
1999	24	Campo de Daroca	2375	1828	547	260	818	555	742
1999	25	Jiloca	3789	2690	1099	426	1280	974	1109
1999	26	Cuencas Mineras	1184	874	310	163	397	281	343
1999	27	Andorra-Sierra de Arcos	2183	1446	737	226	790	474	693
1999	28	Bajo Aragón	5241	3612	1629	746	1965	1021	1509
1999	29	Comunidad de Teruel	3859	2866	993	456	1419	1011	973
1999	30	Maestrazgo	1248	836	412	148	491	306	303
1999	31	Sierra de Albarracín	739	522	217	92	307	193	147
1999	32	Gúdar-Javalambre	1588	1153	435	176	568	425	419
1999	33	Matarraña / Matarranya	3595	2505	1090	487	1577	748	783
