Comarca código	Comarca nombre	Situación preferente	Lugar trabajo o estudio	Tiempo desplazamiento	Personas residentes viviendas familiares
01	La Jacetania	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	25
01	La Jacetania	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	177
01	La Jacetania	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	134
01	La Jacetania	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	26
01	La Jacetania	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	5
01	La Jacetania	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	5
01	La Jacetania	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	5
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	 No aplicable	503
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	0-10 minutos	9
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	10-20 minutos	67
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	20-30 minutos	63
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	30-45 minutos	27
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	45-60 minutos	6
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	60-90 minutos	5
01	La Jacetania	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	7
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	 No aplicable	74
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	0-10 minutos	2973
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	10-20 minutos	1238
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	20-30 minutos	248
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	30-45 minutos	95
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	45-60 minutos	21
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	60-90 minutos	15
01	La Jacetania	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	9
01	La Jacetania	Trabajadores	En otro municipio	 No aplicable	744
01	La Jacetania	Trabajadores	En otro municipio	0-10 minutos	61
01	La Jacetania	Trabajadores	En otro municipio	10-20 minutos	353
01	La Jacetania	Trabajadores	En otro municipio	20-30 minutos	307
01	La Jacetania	Trabajadores	En otro municipio	30-45 minutos	101
01	La Jacetania	Trabajadores	En otro municipio	45-60 minutos	55
01	La Jacetania	Trabajadores	En otro municipio	60-90 minutos	36
01	La Jacetania	Trabajadores	En otro municipio	90 ó más minutos	29
02	Alto Gállego	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	4
02	Alto Gállego	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	173
02	Alto Gállego	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	71
02	Alto Gállego	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	8
02	Alto Gállego	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	2
02	Alto Gállego	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
02	Alto Gállego	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	 No aplicable	409
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	0-10 minutos	6
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	10-20 minutos	60
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	20-30 minutos	45
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	30-45 minutos	20
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	45-60 minutos	10
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	60-90 minutos	6
02	Alto Gállego	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	3
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	 No aplicable	49
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	0-10 minutos	2357
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	10-20 minutos	841
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	20-30 minutos	119
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	30-45 minutos	32
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	45-60 minutos	11
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	60-90 minutos	6
02	Alto Gállego	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	6
02	Alto Gállego	Trabajadores	En otro municipio	 No aplicable	511
02	Alto Gállego	Trabajadores	En otro municipio	0-10 minutos	39
02	Alto Gállego	Trabajadores	En otro municipio	10-20 minutos	290
02	Alto Gállego	Trabajadores	En otro municipio	20-30 minutos	166
02	Alto Gállego	Trabajadores	En otro municipio	30-45 minutos	100
02	Alto Gállego	Trabajadores	En otro municipio	45-60 minutos	37
02	Alto Gállego	Trabajadores	En otro municipio	60-90 minutos	13
02	Alto Gállego	Trabajadores	En otro municipio	90 ó más minutos	5
03	Sobrarbe	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	8
03	Sobrarbe	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	23
03	Sobrarbe	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	10
03	Sobrarbe	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	2
03	Sobrarbe	Estudiantes que no trabajan	En otro municipio	 No aplicable	232
03	Sobrarbe	Estudiantes que no trabajan	En otro municipio	0-10 minutos	13
03	Sobrarbe	Estudiantes que no trabajan	En otro municipio	10-20 minutos	14
03	Sobrarbe	Estudiantes que no trabajan	En otro municipio	20-30 minutos	12
