Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22001	Abiego	2008	292	249	199	50	0	3	196	79,9196787148594
22001	Abiego	2011	281	242	177	65	4	2	171	73,1404958677686
22001	Abiego	2015	267	226	166	60	0	0	166	73,4513274336283
22001	Abiego	2016	253	225	151	74	0	1	150	67,1111111111111
22001	Abiego	2019	237	214	162	52	0	0	162	75,7009345794393
22002	Abizanda	2008	133	111	97	14	0	1	96	87,3873873873874
22002	Abizanda	2011	132	107	85	22	1	3	81	79,4392523364486
22002	Abizanda	2015	140	109	94	15	1	0	93	86,2385321100917
22002	Abizanda	2016	142	107	95	12	0	0	95	88,785046728972
22002	Abizanda	2019	151	106	95	11	1	0	94	89,622641509434
22003	Adahuesca	2008	169	139	115	24	1	1	113	82,7338129496403
22003	Adahuesca	2011	166	148	117	31	1	2	114	79,0540540540541
22003	Adahuesca	2015	172	143	120	23	0	1	119	83,9160839160839
22003	Adahuesca	2016	173	137	110	27	3	1	106	80,2919708029197
22003	Adahuesca	2019	172	132	114	18	0	0	114	86,3636363636364
22004	Agüero	2008	161	152	114	38	3	0	111	75
22004	Agüero	2011	164	146	97	49	0	2	95	66,4383561643836
22004	Agüero	2015	150	136	79	57	0	0	79	58,0882352941176
22004	Agüero	2016	145	135	81	54	1	0	80	60
22004	Agüero	2019	130	124	90	34	2	1	87	72,5806451612903
22006	Aísa	2008	408	339	222	117	4	3	215	65,4867256637168
22006	Aísa	2011	362	319	203	116	6	5	192	63,6363636363636
22006	Aísa	2015	363	298	217	81	2	1	214	72,8187919463087
22006	Aísa	2016	358	298	204	94	0	5	199	68,4563758389262
22006	Aísa	2019	321	272	206	66	5	2	199	75,7352941176471
22007	Albalate de Cinca	2008	1131	874	692	182	1	5	686	79,1762013729977
22007	Albalate de Cinca	2011	1237	863	636	227	15	8	613	73,6964078794902
22007	Albalate de Cinca	2015	1201	797	607	190	4	13	590	76,1606022584693
22007	Albalate de Cinca	2016	1151	792	581	211	0	8	573	73,3585858585859
22007	Albalate de Cinca	2019	1102	756	576	180	5	5	566	76,1904761904762
22008	Albalatillo	2008	265	207	172	35	0	6	166	83,0917874396135
22008	Albalatillo	2011	243	194	168	26	1	11	156	86,5979381443299
22008	Albalatillo	2015	207	173	138	35	0	3	135	79,7687861271676
22008	Albalatillo	2016	205	173	137	36	4	3	130	79,1907514450867
22008	Albalatillo	2019	181	155	127	28	2	0	125	81,9354838709677
22009	Albelda	2008	875	751	544	207	2	11	531	72,4367509986684
