Municipio código	Municipio nombre	Vehículos en el hogar	Número hogares
22001	Abiego	0	27
22001	Abiego	1	57
22001	Abiego	2	17
22001	Abiego	3 o más	3
22002	Abizanda	0	6
22002	Abizanda	1	25
22002	Abizanda	2	10
22002	Abizanda	3 o más	5
22003	Adahuesca	0	23
22003	Adahuesca	1	33
22003	Adahuesca	2	11
22004	Agüero	0	32
22004	Agüero	1	24
22004	Agüero	2	15
22004	Agüero	3 o más	1
22006	Aísa	0	25
22006	Aísa	1	80
22006	Aísa	2	35
22006	Aísa	3 o más	9
22007	Albalate de Cinca	0	102
22007	Albalate de Cinca	1	185
22007	Albalate de Cinca	2	97
22007	Albalate de Cinca	3 o más	14
22008	Albalatillo	0	31
22008	Albalatillo	1	33
22008	Albalatillo	2	17
22008	Albalatillo	3 o más	20
22009	Albelda	0	78
22009	Albelda	1	121
22009	Albelda	2	102
22009	Albelda	3 o más	26
22011	Albero Alto	0	2
22011	Albero Alto	1	20
22011	Albero Alto	2	10
22011	Albero Alto	3 o más	5
22012	Albero Bajo	0	11
22012	Albero Bajo	1	15
22012	Albero Bajo	2	12
22012	Albero Bajo	3 o más	2
22013	Alberuela de Tubo	0	21
22013	Alberuela de Tubo	1	44
22013	Alberuela de Tubo	2	32
22013	Alberuela de Tubo	3 o más	16
22014	Alcalá de Gurrea	0	39
22014	Alcalá de Gurrea	1	55
22014	Alcalá de Gurrea	2	31
22014	Alcalá de Gurrea	3 o más	7
22015	Alcalá del Obispo	0	35
22015	Alcalá del Obispo	1	61
22015	Alcalá del Obispo	2	36
22015	Alcalá del Obispo	3 o más	13
22016	Alcampell	0	109
22016	Alcampell	1	117
22016	Alcampell	2	74
22016	Alcampell	3 o más	30
22017	Alcolea de Cinca	0	102
22017	Alcolea de Cinca	1	130
22017	Alcolea de Cinca	2	125
22017	Alcolea de Cinca	3 o más	56
22018	Alcubierre	0	47
22018	Alcubierre	1	63
22018	Alcubierre	2	51
22018	Alcubierre	3 o más	13
22019	Alerre	0	6
22019	Alerre	1	28
22019	Alerre	2	20
22019	Alerre	3 o más	12
22020	Alfántega	0	15
22020	Alfántega	1	14
22020	Alfántega	2	9
22020	Alfántega	3 o más	3
22021	Almudévar	0	227
22021	Almudévar	1	344
22021	Almudévar	2	209
22021	Almudévar	3 o más	40
22022	Almunia de San Juan	0	59
22022	Almunia de San Juan	1	108
22022	Almunia de San Juan	2	53
22022	Almunia de San Juan	3 o más	17
22023	Almuniente	0	41
22023	Almuniente	1	76
22023	Almuniente	2	46
22023	Almuniente	3 o más	41
22024	Alquézar	0	30
22024	Alquézar	1	63
22024	Alquézar	2	19
22024	Alquézar	3 o más	6
22025	Altorricón	0	129
22025	Altorricón	1	175
22025	Altorricón	2	122
22025	Altorricón	3 o más	72
22027	Angüés	0	59
22027	Angüés	1	82
22027	Angüés	2	26
22027	Angüés	3 o más	5
