Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Febrero 2020	202002	Febrero	2020	22	Huesca	Hombres	Temporal	0	1460	0	0
Febrero 2020	202002	Febrero	2020	22	Huesca	Hombres	Temporal	1	2327	144773	62,2144391920928
Febrero 2020	202002	Febrero	2020	22	Huesca	Mujeres	Temporal	0	896	0	0
Febrero 2020	202002	Febrero	2020	22	Huesca	Mujeres	Temporal	1	2013	120791	60,0054644808743
Febrero 2020	202002	Febrero	2020	44	Teruel	Hombres	Temporal	0	542	0	0
Febrero 2020	202002	Febrero	2020	44	Teruel	Hombres	Temporal	1	1687	61837	36,6550088915234
Febrero 2020	202002	Febrero	2020	44	Teruel	Mujeres	Temporal	0	323	0	0
Febrero 2020	202002	Febrero	2020	44	Teruel	Mujeres	Temporal	1	1391	66883	48,0826743350108
Febrero 2020	202002	Febrero	2020	50	Zaragoza	Hombres	Temporal	0	5196	0	0
Febrero 2020	202002	Febrero	2020	50	Zaragoza	Hombres	Temporal	1	10295	520282	50,5373482272948
Febrero 2020	202002	Febrero	2020	50	Zaragoza	Mujeres	Temporal	0	4026	0	0
Febrero 2020	202002	Febrero	2020	50	Zaragoza	Mujeres	Temporal	1	10055	475604	47,3002486325211
Enero 2020	202001	Enero	2020	22	Huesca	Hombres	Temporal	0	1452	0	0
Enero 2020	202001	Enero	2020	22	Huesca	Hombres	Temporal	1	2366	131243	55,4704142011834
Enero 2020	202001	Enero	2020	22	Huesca	Mujeres	Temporal	0	973	0	0
Enero 2020	202001	Enero	2020	22	Huesca	Mujeres	Temporal	1	2015	88224	43,7836228287841
Enero 2020	202001	Enero	2020	44	Teruel	Hombres	Temporal	0	421	0	0
Enero 2020	202001	Enero	2020	44	Teruel	Hombres	Temporal	1	1281	50371	39,3216237314598
Enero 2020	202001	Enero	2020	44	Teruel	Mujeres	Temporal	0	366	0	0
Enero 2020	202001	Enero	2020	44	Teruel	Mujeres	Temporal	1	920	46460	50,5
Enero 2020	202001	Enero	2020	50	Zaragoza	Hombres	Temporal	0	5604	0	0
Enero 2020	202001	Enero	2020	50	Zaragoza	Hombres	Temporal	1	11218	525469	46,8415938669995
Enero 2020	202001	Enero	2020	50	Zaragoza	Mujeres	Temporal	0	4596	0	0
Enero 2020	202001	Enero	2020	50	Zaragoza	Mujeres	Temporal	1	10584	463599	43,8018707482993
Diciembre 2019	201912	Diciembre	2019	22	Huesca	Hombres	Temporal	0	1302	0	0
Diciembre 2019	201912	Diciembre	2019	22	Huesca	Hombres	Temporal	1	2238	120114	53,6702412868633
Diciembre 2019	201912	Diciembre	2019	22	Huesca	Mujeres	Temporal	0	990	0	0
Diciembre 2019	201912	Diciembre	2019	22	Huesca	Mujeres	Temporal	1	2405	96146	39,9775467775468
Diciembre 2019	201912	Diciembre	2019	44	Teruel	Hombres	Temporal	0	373	0	0
Diciembre 2019	201912	Diciembre	2019	44	Teruel	Hombres	Temporal	1	1329	29125	21,9149736644093
Diciembre 2019	201912	Diciembre	2019	44	Teruel	Mujeres	Temporal	0	285	0	0
Diciembre 2019	201912	Diciembre	2019	44	Teruel	Mujeres	Temporal	1	1111	26569	23,9144914491449
