Año	CCAA código	CCAA nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2002	02	Aragón	3746	1824	117	797	1005	13846	4351	9473	22	1233
2003	02	Aragón	4066	2036	126	900	1000	14897	4165	10659	73	1127
2004	02	Aragón	4349	2198	130	947	1071	15513	4069	11432	12	1282
2005	02	Aragón	4664	2359	162	983	1150	16463	4166	12273	24	1188
2006	02	Aragón	4879	2502	131	1054	1187	23781	3022	20758	1	1075
2007	02	Aragón	4692	2331	166	1302	893	21001	1617	19384	0	999
2008	02	Aragón	3755	1563	143	1260	787	7099	1202	5897	0	923
2009	02	Aragón	3326	1114	111	1346	752	4082	744	3336	2	921
2010	02	Aragón	3292	1091	129	1312	758	5185	695	4489	1	978
2011	02	Aragón	2775	876	88	1117	691	2832	597	2235	0	855
2012	02	Aragón	2278	575	80	861	760	1662	377	1284	1	742
2013	02	Aragón	2022	469	59	788	706	1396	305	1091	0	552
2014	02	Aragón	2146	434	62	908	742	1199	251	948	0	652
2015	02	Aragón	2379	437	67	1118	757	1963	238	1725	0	797
2016	02	Aragón	2410	556	64	1136	654	1932	341	1591	0	887
2017	02	Aragón	2670	582	71	1262	755	2567	392	2174	1	890
2018	02	Aragón	2670	570	77	1175	848	2769	446	2323	0	886
2019	02	Aragón	2708	514	73	1100	1021	2228	319	1909	0	790
