Comarca código	Comarca nombre	Tipo local	Actividad del local	Número de locales
01	La Jacetania	No aplicable	Inactivo	266
01	La Jacetania	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	36
01	La Jacetania	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	33
01	La Jacetania	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	53
01	La Jacetania	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	37
01	La Jacetania	Local comercial	Activo	654
01	La Jacetania	Oficinas(incluye también el resto de servicios)	Activo	340
01	La Jacetania	Local industrial	Activo	86
01	La Jacetania	Local agrario	Activo	18
02	Alto Gállego	No aplicable	Inactivo	754
02	Alto Gállego	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	23
02	Alto Gállego	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	41
02	Alto Gállego	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	79
02	Alto Gállego	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	57
02	Alto Gállego	Local comercial	Activo	499
02	Alto Gállego	Oficinas(incluye también el resto de servicios)	Activo	134
02	Alto Gállego	Local industrial	Activo	212
02	Alto Gállego	Local agrario	Activo	48
03	Sobrarbe	No aplicable	Inactivo	36
03	Sobrarbe	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	17
03	Sobrarbe	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	21
03	Sobrarbe	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	102
03	Sobrarbe	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	25
03	Sobrarbe	Local comercial	Activo	415
03	Sobrarbe	Oficinas(incluye también el resto de servicios)	Activo	105
03	Sobrarbe	Local industrial	Activo	30
03	Sobrarbe	Local agrario	Activo	7
04	La Ribagorza	No aplicable	Inactivo	143
04	La Ribagorza	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	30
04	La Ribagorza	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	44
04	La Ribagorza	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	94
04	La Ribagorza	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	52
04	La Ribagorza	Local comercial	Activo	479
04	La Ribagorza	Oficinas(incluye también el resto de servicios)	Activo	147
04	La Ribagorza	Local industrial	Activo	57
04	La Ribagorza	Local agrario	Activo	2
05	Cinco Villas	No aplicable	Inactivo	302
05	Cinco Villas	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	71
05	Cinco Villas	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	83
05	Cinco Villas	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	52
05	Cinco Villas	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	98
05	Cinco Villas	Local comercial	Activo	736
05	Cinco Villas	Oficinas(incluye también el resto de servicios)	Activo	532
05	Cinco Villas	Local industrial	Activo	346
05	Cinco Villas	Local agrario	Activo	15
06	Hoya de Huesca / Plana de Uesca	No aplicable	Inactivo	922
06	Hoya de Huesca / Plana de Uesca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	156
06	Hoya de Huesca / Plana de Uesca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	92
06	Hoya de Huesca / Plana de Uesca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	93
06	Hoya de Huesca / Plana de Uesca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	95
06	Hoya de Huesca / Plana de Uesca	Local comercial	Activo	1725
06	Hoya de Huesca / Plana de Uesca	Oficinas(incluye también el resto de servicios)	Activo	1071
06	Hoya de Huesca / Plana de Uesca	Local industrial	Activo	268
06	Hoya de Huesca / Plana de Uesca	Local agrario	Activo	51
07	Somontano de Barbastro	No aplicable	Inactivo	244
07	Somontano de Barbastro	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	58
07	Somontano de Barbastro	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	42
07	Somontano de Barbastro	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	80
07	Somontano de Barbastro	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	51
07	Somontano de Barbastro	Local comercial	Activo	696
07	Somontano de Barbastro	Oficinas(incluye también el resto de servicios)	Activo	265
07	Somontano de Barbastro	Local industrial	Activo	157
07	Somontano de Barbastro	Local agrario	Activo	5
08	Cinca Medio	No aplicable	Inactivo	237
08	Cinca Medio	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	32
08	Cinca Medio	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	43
08	Cinca Medio	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	36
08	Cinca Medio	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	70
08	Cinca Medio	Local comercial	Activo	593
08	Cinca Medio	Oficinas(incluye también el resto de servicios)	Activo	339
08	Cinca Medio	Local industrial	Activo	140
08	Cinca Medio	Local agrario	Activo	3
09	La Litera / La Llitera	No aplicable	Inactivo	299
09	La Litera / La Llitera	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	28
09	La Litera / La Llitera	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	25
09	La Litera / La Llitera	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	26
09	La Litera / La Llitera	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	50
09	La Litera / La Llitera	Local comercial	Activo	491
09	La Litera / La Llitera	Oficinas(incluye también el resto de servicios)	Activo	158
09	La Litera / La Llitera	Local industrial	Activo	134
09	La Litera / La Llitera	Local agrario	Activo	30
10	Los Monegros	No aplicable	Inactivo	182
10	Los Monegros	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	33
10	Los Monegros	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	49
10	Los Monegros	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	43
10	Los Monegros	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	62
10	Los Monegros	Local comercial	Activo	381
10	Los Monegros	Oficinas(incluye también el resto de servicios)	Activo	387
10	Los Monegros	Local industrial	Activo	62
10	Los Monegros	Local agrario	Activo	9
11	Bajo Cinca / Baix Cinca	No aplicable	Inactivo	202
11	Bajo Cinca / Baix Cinca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	19
11	Bajo Cinca / Baix Cinca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	27
11	Bajo Cinca / Baix Cinca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	25
11	Bajo Cinca / Baix Cinca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	44
11	Bajo Cinca / Baix Cinca	Local comercial	Activo	556
11	Bajo Cinca / Baix Cinca	Oficinas(incluye también el resto de servicios)	Activo	418
11	Bajo Cinca / Baix Cinca	Local industrial	Activo	70
11	Bajo Cinca / Baix Cinca	Local agrario	Activo	12
12	Tarazona y el Moncayo	No aplicable	Inactivo	192
12	Tarazona y el Moncayo	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	20
12	Tarazona y el Moncayo	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	19
12	Tarazona y el Moncayo	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	23
