Mes y año	'Aragón'	Nivel formativo grupo IAEST código	Nivel formativo grupo IAEST descripción	Sexo	Nº parados
Marzo 2020	Aragón	10	Educación Primaria o inferior	Hombres	6579
Marzo 2020	Aragón	10	Educación Primaria o inferior	Mujeres	8774
Marzo 2020	Aragón	20	Primera etapa de educación secundaria	Hombres	15641
Marzo 2020	Aragón	20	Primera etapa de educación secundaria	Mujeres	19302
Marzo 2020	Aragón	31	Bachillerato	Hombres	2231
Marzo 2020	Aragón	31	Bachillerato	Mujeres	3187
Marzo 2020	Aragón	32	Enseñanza media de formación profesional	Hombres	1926
Marzo 2020	Aragón	32	Enseñanza media de formación profesional	Mujeres	3578
Marzo 2020	Aragón	41	Enseñanza superior de formación profesional	Hombres	1666
Marzo 2020	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2679
Marzo 2020	Aragón	42	Enseñanza superior universitaria	Hombres	2104
Marzo 2020	Aragón	42	Enseñanza superior universitaria	Mujeres	4814
Febrero 2020	Aragón	10	Educación Primaria o inferior	Hombres	5898
Febrero 2020	Aragón	10	Educación Primaria o inferior	Mujeres	8311
Febrero 2020	Aragón	20	Primera etapa de educación secundaria	Hombres	13935
Febrero 2020	Aragón	20	Primera etapa de educación secundaria	Mujeres	18249
Febrero 2020	Aragón	31	Bachillerato	Hombres	1999
Febrero 2020	Aragón	31	Bachillerato	Mujeres	2940
Febrero 2020	Aragón	32	Enseñanza media de formación profesional	Hombres	1680
Febrero 2020	Aragón	32	Enseñanza media de formación profesional	Mujeres	3514
Febrero 2020	Aragón	41	Enseñanza superior de formación profesional	Hombres	1452
Febrero 2020	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2479
Febrero 2020	Aragón	42	Enseñanza superior universitaria	Hombres	1932
Febrero 2020	Aragón	42	Enseñanza superior universitaria	Mujeres	4583
Enero 2020	Aragón	10	Educación Primaria o inferior	Hombres	6021
Enero 2020	Aragón	10	Educación Primaria o inferior	Mujeres	8320
Enero 2020	Aragón	20	Primera etapa de educación secundaria	Hombres	14073
Enero 2020	Aragón	20	Primera etapa de educación secundaria	Mujeres	18235
Enero 2020	Aragón	31	Bachillerato	Hombres	1991
Enero 2020	Aragón	31	Bachillerato	Mujeres	3002
Enero 2020	Aragón	32	Enseñanza media de formación profesional	Hombres	1770
Enero 2020	Aragón	32	Enseñanza media de formación profesional	Mujeres	3519
Enero 2020	Aragón	41	Enseñanza superior de formación profesional	Hombres	1497
Enero 2020	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2559
Enero 2020	Aragón	42	Enseñanza superior universitaria	Hombres	2005
Enero 2020	Aragón	42	Enseñanza superior universitaria	Mujeres	4643
Diciembre 2019	Aragón	10	Educación Primaria o inferior	Hombres	5886
Diciembre 2019	Aragón	10	Educación Primaria o inferior	Mujeres	7988
Diciembre 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	13828
Diciembre 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	17576
