Provincia código	Provincia nombre	Tipo local	Actividad del local	Número de locales
22	Huesca	No aplicable	Inactivo	3188
22	Huesca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	425
22	Huesca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	405
22	Huesca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	622
22	Huesca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	528
22	Huesca	Local comercial	Activo	6321
22	Huesca	Oficinas(incluye también el resto de servicios)	Activo	3301
22	Huesca	Local industrial	Activo	1195
22	Huesca	Local agrario	Activo	183
44	Teruel	No aplicable	Inactivo	1283
44	Teruel	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	311
44	Teruel	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	312
44	Teruel	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	215
44	Teruel	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	373
44	Teruel	Local comercial	Activo	2988
44	Teruel	Oficinas(incluye también el resto de servicios)	Activo	2469
44	Teruel	Local industrial	Activo	501
44	Teruel	Local agrario	Activo	91
50	Zaragoza	No aplicable	Inactivo	10719
50	Zaragoza	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1063
50	Zaragoza	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	934
50	Zaragoza	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	732
50	Zaragoza	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	858
50	Zaragoza	Local comercial	Activo	20314
50	Zaragoza	Oficinas(incluye también el resto de servicios)	Activo	11438
50	Zaragoza	Local industrial	Activo	5789
50	Zaragoza	Local agrario	Activo	369
