Año	Residencia	Residencia provincia código	Residencia provincia nombre	Sexo	Edad	Personas
1998	02	22	Huesca	Mujeres	00	645
1998	02	22	Huesca	Mujeres	01	739
1998	02	22	Huesca	Mujeres	02	733
1998	02	22	Huesca	Mujeres	03	783
1998	02	22	Huesca	Mujeres	04	722
1998	02	22	Huesca	Mujeres	05	864
1998	02	22	Huesca	Mujeres	06	815
1998	02	22	Huesca	Mujeres	07	799
1998	02	22	Huesca	Mujeres	08	809
1998	02	22	Huesca	Mujeres	09	831
1998	02	22	Huesca	Mujeres	10	927
1998	02	22	Huesca	Mujeres	11	952
1998	02	22	Huesca	Mujeres	12	896
1998	02	22	Huesca	Mujeres	13	990
1998	02	22	Huesca	Mujeres	14	999
1998	02	22	Huesca	Mujeres	15	1103
1998	02	22	Huesca	Mujeres	16	1182
1998	02	22	Huesca	Mujeres	17	1217
1998	02	22	Huesca	Mujeres	18	1217
1998	02	22	Huesca	Mujeres	19	1293
1998	02	22	Huesca	Mujeres	20	1281
1998	02	22	Huesca	Mujeres	21	1389
1998	02	22	Huesca	Mujeres	22	1325
1998	02	22	Huesca	Mujeres	23	1305
1998	02	22	Huesca	Mujeres	24	1362
1998	02	22	Huesca	Mujeres	25	1388
1998	02	22	Huesca	Mujeres	26	1314
1998	02	22	Huesca	Mujeres	27	1336
1998	02	22	Huesca	Mujeres	28	1395
1998	02	22	Huesca	Mujeres	29	1434
1998	02	22	Huesca	Mujeres	30	1438
1998	02	22	Huesca	Mujeres	31	1418
1998	02	22	Huesca	Mujeres	32	1502
1998	02	22	Huesca	Mujeres	33	1470
1998	02	22	Huesca	Mujeres	34	1551
1998	02	22	Huesca	Mujeres	35	1479
1998	02	22	Huesca	Mujeres	36	1417
1998	02	22	Huesca	Mujeres	37	1535
1998	02	22	Huesca	Mujeres	38	1459
1998	02	22	Huesca	Mujeres	39	1400
1998	02	22	Huesca	Mujeres	40	1443
1998	02	22	Huesca	Mujeres	41	1329
1998	02	22	Huesca	Mujeres	42	1281
1998	02	22	Huesca	Mujeres	43	1258
1998	02	22	Huesca	Mujeres	44	1221
1998	02	22	Huesca	Mujeres	45	1230
1998	02	22	Huesca	Mujeres	46	1135
1998	02	22	Huesca	Mujeres	47	1037
1998	02	22	Huesca	Mujeres	48	1176
1998	02	22	Huesca	Mujeres	49	1259
1998	02	22	Huesca	Mujeres	50	1049
1998	02	22	Huesca	Mujeres	51	1106
1998	02	22	Huesca	Mujeres	52	1180
1998	02	22	Huesca	Mujeres	53	1161
1998	02	22	Huesca	Mujeres	54	1129
1998	02	22	Huesca	Mujeres	55	1014
1998	02	22	Huesca	Mujeres	56	911
1998	02	22	Huesca	Mujeres	57	1019
1998	02	22	Huesca	Mujeres	58	749
1998	02	22	Huesca	Mujeres	59	873
1998	02	22	Huesca	Mujeres	60	1092
1998	02	22	Huesca	Mujeres	61	1303
1998	02	22	Huesca	Mujeres	62	1222
1998	02	22	Huesca	Mujeres	63	1266
1998	02	22	Huesca	Mujeres	64	1368
1998	02	22	Huesca	Mujeres	65	1413
1998	02	22	Huesca	Mujeres	66	1298
1998	02	22	Huesca	Mujeres	67	1423
1998	02	22	Huesca	Mujeres	68	1373
1998	02	22	Huesca	Mujeres	69	1409
1998	02	22	Huesca	Mujeres	70	1312
1998	02	22	Huesca	Mujeres	71	1302
1998	02	22	Huesca	Mujeres	72	1296
1998	02	22	Huesca	Mujeres	73	1288
1998	02	22	Huesca	Mujeres	74	1256
1998	02	22	Huesca	Mujeres	75	1261
1998	02	22	Huesca	Mujeres	76	1138
1998	02	22	Huesca	Mujeres	77	1138
1998	02	22	Huesca	Mujeres	78	917
1998	02	22	Huesca	Mujeres	79	908
1998	02	22	Huesca	Mujeres	80	849
1998	02	22	Huesca	Mujeres	81	756
1998	02	22	Huesca	Mujeres	82	789
1998	02	22	Huesca	Mujeres	83	773
1998	02	22	Huesca	Mujeres	84	679
1998	02	22	Huesca	Mujeres	85	621
1998	02	22	Huesca	Mujeres	86	502
1998	02	22	Huesca	Mujeres	87	478
1998	02	22	Huesca	Mujeres	88	375
