Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Grupo de tipo de jornada	CCAA nombre
Agosto 2019	201908	Agosto	2019	Hombres	21483	1 - Jornada Completa	Aragón
Agosto 2019	201908	Agosto	2019	Mujeres	12256	1 - Jornada Completa	Aragón
Agosto 2019	201908	Agosto	2019	Hombres	4936	2 - Jornada Parcial	Aragón
Agosto 2019	201908	Agosto	2019	Mujeres	7940	2 - Jornada Parcial	Aragón
Agosto 2019	201908	Agosto	2019	Hombres	137	3 - Fijos Discontinuos	Aragón
Agosto 2019	201908	Agosto	2019	Mujeres	113	3 - Fijos Discontinuos	Aragón
Julio 2019	201907	Julio	2019	Hombres	28426	1 - Jornada Completa	Aragón
Julio 2019	201907	Julio	2019	Mujeres	16588	1 - Jornada Completa	Aragón
Julio 2019	201907	Julio	2019	Hombres	7395	2 - Jornada Parcial	Aragón
Julio 2019	201907	Julio	2019	Mujeres	12026	2 - Jornada Parcial	Aragón
Julio 2019	201907	Julio	2019	Hombres	333	3 - Fijos Discontinuos	Aragón
Julio 2019	201907	Julio	2019	Mujeres	197	3 - Fijos Discontinuos	Aragón
Junio 2019	201906	Junio	2019	Hombres	28089	1 - Jornada Completa	Aragón
Junio 2019	201906	Junio	2019	Mujeres	15971	1 - Jornada Completa	Aragón
Junio 2019	201906	Junio	2019	Hombres	6752	2 - Jornada Parcial	Aragón
Junio 2019	201906	Junio	2019	Mujeres	11282	2 - Jornada Parcial	Aragón
Junio 2019	201906	Junio	2019	Hombres	578	3 - Fijos Discontinuos	Aragón
Junio 2019	201906	Junio	2019	Mujeres	339	3 - Fijos Discontinuos	Aragón
Mayo 2019	201905	Mayo	2019	Hombres	30263	1 - Jornada Completa	Aragón
Mayo 2019	201905	Mayo	2019	Mujeres	16287	1 - Jornada Completa	Aragón
Mayo 2019	201905	Mayo	2019	Hombres	6677	2 - Jornada Parcial	Aragón
Mayo 2019	201905	Mayo	2019	Mujeres	11407	2 - Jornada Parcial	Aragón
Mayo 2019	201905	Mayo	2019	Hombres	859	3 - Fijos Discontinuos	Aragón
Mayo 2019	201905	Mayo	2019	Mujeres	440	3 - Fijos Discontinuos	Aragón
Abril 2019	201904	Abril	2019	Hombres	19639	1 - Jornada Completa	Aragón
Abril 2019	201904	Abril	2019	Mujeres	11600	1 - Jornada Completa	Aragón
Abril 2019	201904	Abril	2019	Hombres	5590	2 - Jornada Parcial	Aragón
Abril 2019	201904	Abril	2019	Mujeres	9285	2 - Jornada Parcial	Aragón
Abril 2019	201904	Abril	2019	Hombres	332	3 - Fijos Discontinuos	Aragón
Abril 2019	201904	Abril	2019	Mujeres	122	3 - Fijos Discontinuos	Aragón
Marzo 2019	201903	Marzo	2019	Hombres	18810	1 - Jornada Completa	Aragón
Marzo 2019	201903	Marzo	2019	Mujeres	11295	1 - Jornada Completa	Aragón
Marzo 2019	201903	Marzo	2019	Hombres	5280	2 - Jornada Parcial	Aragón
Marzo 2019	201903	Marzo	2019	Mujeres	9370	2 - Jornada Parcial	Aragón
Marzo 2019	201903	Marzo	2019	Hombres	285	3 - Fijos Discontinuos	Aragón
