Comarca código	Comarca nombre	Sexo	Horas trabajadas	Personas residentes viviendas familiares
01	La Jacetania	Hombres	01-10	50
01	La Jacetania	Hombres	11-20	64
01	La Jacetania	Hombres	21-30	95
01	La Jacetania	Hombres	31-40	3064
01	La Jacetania	Hombres	41-50	701
01	La Jacetania	Hombres	Más de 50	423
01	La Jacetania	Mujeres	01-10	82
01	La Jacetania	Mujeres	11-20	244
01	La Jacetania	Mujeres	21-30	242
01	La Jacetania	Mujeres	31-40	1631
01	La Jacetania	Mujeres	41-50	269
01	La Jacetania	Mujeres	Más de 50	137
02	Alto Gállego	Hombres	01-10	55
02	Alto Gállego	Hombres	11-20	33
02	Alto Gállego	Hombres	21-30	59
02	Alto Gállego	Hombres	31-40	2334
02	Alto Gállego	Hombres	41-50	482
02	Alto Gállego	Hombres	Más de 50	243
02	Alto Gállego	Mujeres	01-10	57
02	Alto Gállego	Mujeres	11-20	150
02	Alto Gállego	Mujeres	21-30	186
02	Alto Gállego	Mujeres	31-40	1144
02	Alto Gállego	Mujeres	41-50	196
02	Alto Gállego	Mujeres	Más de 50	93
03	Sobrarbe	Hombres	01-10	2
03	Sobrarbe	Hombres	11-20	17
03	Sobrarbe	Hombres	21-30	41
03	Sobrarbe	Hombres	31-40	1300
03	Sobrarbe	Hombres	41-50	266
03	Sobrarbe	Hombres	Más de 50	255
03	Sobrarbe	Mujeres	01-10	19
03	Sobrarbe	Mujeres	11-20	67
03	Sobrarbe	Mujeres	21-30	73
03	Sobrarbe	Mujeres	31-40	602
03	Sobrarbe	Mujeres	41-50	72
03	Sobrarbe	Mujeres	Más de 50	72
04	La Ribagorza	Hombres	01-10	42
04	La Ribagorza	Hombres	11-20	40
04	La Ribagorza	Hombres	21-30	67
04	La Ribagorza	Hombres	31-40	1839
04	La Ribagorza	Hombres	41-50	625
04	La Ribagorza	Hombres	Más de 50	449
04	La Ribagorza	Mujeres	01-10	67
04	La Ribagorza	Mujeres	11-20	122
04	La Ribagorza	Mujeres	21-30	170
04	La Ribagorza	Mujeres	31-40	990
04	La Ribagorza	Mujeres	41-50	220
04	La Ribagorza	Mujeres	Más de 50	106
05	Cinco Villas	Hombres	01-10	115
05	Cinco Villas	Hombres	11-20	73
05	Cinco Villas	Hombres	21-30	131
05	Cinco Villas	Hombres	31-40	6341
05	Cinco Villas	Hombres	41-50	1446
05	Cinco Villas	Hombres	Más de 50	866
05	Cinco Villas	Mujeres	01-10	118
05	Cinco Villas	Mujeres	11-20	455
05	Cinco Villas	Mujeres	21-30	393
05	Cinco Villas	Mujeres	31-40	2923
05	Cinco Villas	Mujeres	41-50	305
05	Cinco Villas	Mujeres	Más de 50	127
06	Hoya de Huesca / Plana de Uesca	Hombres	01-10	172
06	Hoya de Huesca / Plana de Uesca	Hombres	11-20	197
06	Hoya de Huesca / Plana de Uesca	Hombres	21-30	353
06	Hoya de Huesca / Plana de Uesca	Hombres	31-40	11292
06	Hoya de Huesca / Plana de Uesca	Hombres	41-50	2302
06	Hoya de Huesca / Plana de Uesca	Hombres	Más de 50	1126
06	Hoya de Huesca / Plana de Uesca	Mujeres	01-10	233
06	Hoya de Huesca / Plana de Uesca	Mujeres	11-20	782
06	Hoya de Huesca / Plana de Uesca	Mujeres	21-30	1052
06	Hoya de Huesca / Plana de Uesca	Mujeres	31-40	7057
06	Hoya de Huesca / Plana de Uesca	Mujeres	41-50	737
06	Hoya de Huesca / Plana de Uesca	Mujeres	Más de 50	242
07	Somontano de Barbastro	Hombres	01-10	86
07	Somontano de Barbastro	Hombres	11-20	53
07	Somontano de Barbastro	Hombres	21-30	90
07	Somontano de Barbastro	Hombres	31-40	4281
07	Somontano de Barbastro	Hombres	41-50	819
07	Somontano de Barbastro	Hombres	Más de 50	350
07	Somontano de Barbastro	Mujeres	01-10	97
07	Somontano de Barbastro	Mujeres	11-20	277
07	Somontano de Barbastro	Mujeres	21-30	331
07	Somontano de Barbastro	Mujeres	31-40	2205
07	Somontano de Barbastro	Mujeres	41-50	242
07	Somontano de Barbastro	Mujeres	Más de 50	99
08	Cinca Medio	Hombres	01-10	33
08	Cinca Medio	Hombres	11-20	47
08	Cinca Medio	Hombres	21-30	63
08	Cinca Medio	Hombres	31-40	4602
08	Cinca Medio	Hombres	41-50	802
08	Cinca Medio	Hombres	Más de 50	373
08	Cinca Medio	Mujeres	01-10	77
08	Cinca Medio	Mujeres	11-20	250
08	Cinca Medio	Mujeres	21-30	273
08	Cinca Medio	Mujeres	31-40	2064
08	Cinca Medio	Mujeres	41-50	208
08	Cinca Medio	Mujeres	Más de 50	78
09	La Litera / La Llitera	Hombres	01-10	49
09	La Litera / La Llitera	Hombres	11-20	31
09	La Litera / La Llitera	Hombres	21-30	60
09	La Litera / La Llitera	Hombres	31-40	3437
09	La Litera / La Llitera	Hombres	41-50	988
09	La Litera / La Llitera	Hombres	Más de 50	425
09	La Litera / La Llitera	Mujeres	01-10	80
09	La Litera / La Llitera	Mujeres	11-20	260
09	La Litera / La Llitera	Mujeres	21-30	204
09	La Litera / La Llitera	Mujeres	31-40	1664
09	La Litera / La Llitera	Mujeres	41-50	194
09	La Litera / La Llitera	Mujeres	Más de 50	71
10	Los Monegros	Hombres	01-10	38
10	Los Monegros	Hombres	11-20	51
10	Los Monegros	Hombres	21-30	75
10	Los Monegros	Hombres	31-40	3409
10	Los Monegros	Hombres	41-50	1279
10	Los Monegros	Hombres	Más de 50	723
10	Los Monegros	Mujeres	01-10	93
10	Los Monegros	Mujeres	11-20	201
10	Los Monegros	Mujeres	21-30	220
10	Los Monegros	Mujeres	31-40	1441
10	Los Monegros	Mujeres	41-50	213
10	Los Monegros	Mujeres	Más de 50	99
