Provincia código	Provincia nombre	Lugar trabajo o estudio	Número de viajes diarios	Personas residentes viviendas familiares	Situación preferente
22	Huesca	En el mismo municipio de residencia	0 viajes	138	Estudiantes que no trabajan
22	Huesca	En el mismo municipio de residencia	0 viajes	462	Trabajadores
22	Huesca	En el mismo municipio de residencia	1 viaje	3462	Estudiantes que no trabajan
22	Huesca	En el mismo municipio de residencia	1 viaje	19425	Trabajadores
22	Huesca	En el mismo municipio de residencia	2 ó más viajes	1045	Estudiantes que no trabajan
22	Huesca	En el mismo municipio de residencia	2 ó más viajes	34876	Trabajadores
22	Huesca	En otro municipio	0 viajes	5406	Estudiantes que no trabajan
22	Huesca	En otro municipio	0 viajes	7133	Trabajadores
22	Huesca	En otro municipio	1 viaje	2195	Estudiantes que no trabajan
22	Huesca	En otro municipio	1 viaje	9523	Trabajadores
22	Huesca	En otro municipio	2 ó más viajes	311	Estudiantes que no trabajan
22	Huesca	En otro municipio	2 ó más viajes	4321	Trabajadores
44	Teruel	En el mismo municipio de residencia	0 viajes	83	Estudiantes que no trabajan
44	Teruel	En el mismo municipio de residencia	0 viajes	285	Trabajadores
44	Teruel	En el mismo municipio de residencia	1 viaje	2402	Estudiantes que no trabajan
44	Teruel	En el mismo municipio de residencia	1 viaje	14282	Trabajadores
44	Teruel	En el mismo municipio de residencia	2 ó más viajes	515	Estudiantes que no trabajan
44	Teruel	En el mismo municipio de residencia	2 ó más viajes	19765	Trabajadores
44	Teruel	En otro municipio	0 viajes	3526	Estudiantes que no trabajan
44	Teruel	En otro municipio	0 viajes	4257	Trabajadores
44	Teruel	En otro municipio	1 viaje	1224	Estudiantes que no trabajan
44	Teruel	En otro municipio	1 viaje	5078	Trabajadores
44	Teruel	En otro municipio	2 ó más viajes	107	Estudiantes que no trabajan
44	Teruel	En otro municipio	2 ó más viajes	1548	Trabajadores
50	Zaragoza	En el mismo municipio de residencia	0 viajes	414	Estudiantes que no trabajan
50	Zaragoza	En el mismo municipio de residencia	0 viajes	1769	Trabajadores
50	Zaragoza	En el mismo municipio de residencia	1 viaje	28923	Estudiantes que no trabajan
50	Zaragoza	En el mismo municipio de residencia	1 viaje	128760	Trabajadores
50	Zaragoza	En el mismo municipio de residencia	2 ó más viajes	15869	Estudiantes que no trabajan
50	Zaragoza	En el mismo municipio de residencia	2 ó más viajes	140975	Trabajadores
50	Zaragoza	En otro municipio	0 viajes	6003	Estudiantes que no trabajan
50	Zaragoza	En otro municipio	0 viajes	12665	Trabajadores
50	Zaragoza	En otro municipio	1 viaje	5330	Estudiantes que no trabajan
50	Zaragoza	En otro municipio	1 viaje	38624	Trabajadores
50	Zaragoza	En otro municipio	2 ó más viajes	1341	Estudiantes que no trabajan
50	Zaragoza	En otro municipio	2 ó más viajes	14536	Trabajadores
