Municipio código	Municipio nombre	Situación profesional código	Situación profesional	Sexo	Personas residentes viviendas familiares
22001	Abiego	1	Empresario o profesional que emplea personal	Hombres	1
22001	Abiego	1	Empresario o profesional que emplea personal	Mujeres	1
22001	Abiego	2	Empresario o profesional que no emplea personal	Hombres	43
22001	Abiego	2	Empresario o profesional que no emplea personal	Mujeres	4
22001	Abiego	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	24
22001	Abiego	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	19
22001	Abiego	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	4
22001	Abiego	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	1
22001	Abiego	5	Otra situación (Ayuda familiar)	Hombres	3
22001	Abiego	5	Otra situación (Ayuda familiar)	Mujeres	1
22002	Abizanda	2	Empresario o profesional que no emplea personal	Hombres	16
22002	Abizanda	2	Empresario o profesional que no emplea personal	Mujeres	2
22002	Abizanda	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	19
22002	Abizanda	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	11
22002	Abizanda	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	4
22002	Abizanda	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	3
22003	Adahuesca	1	Empresario o profesional que emplea personal	Hombres	2
22003	Adahuesca	1	Empresario o profesional que emplea personal	Mujeres	1
22003	Adahuesca	2	Empresario o profesional que no emplea personal	Hombres	14
22003	Adahuesca	2	Empresario o profesional que no emplea personal	Mujeres	5
22003	Adahuesca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	20
22003	Adahuesca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	7
22003	Adahuesca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1
22003	Adahuesca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	5
22003	Adahuesca	5	Otra situación (Ayuda familiar)	Hombres	1
22004	Agüero	1	Empresario o profesional que emplea personal	Hombres	4
22004	Agüero	1	Empresario o profesional que emplea personal	Mujeres	1
22004	Agüero	2	Empresario o profesional que no emplea personal	Hombres	9
22004	Agüero	2	Empresario o profesional que no emplea personal	Mujeres	2
22004	Agüero	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	14
22004	Agüero	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	13
22004	Agüero	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	8
22004	Agüero	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	2
22006	Aísa	1	Empresario o profesional que emplea personal	Hombres	18
22006	Aísa	1	Empresario o profesional que emplea personal	Mujeres	7
22006	Aísa	2	Empresario o profesional que no emplea personal	Hombres	22
22006	Aísa	2	Empresario o profesional que no emplea personal	Mujeres	4
22006	Aísa	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	59
22006	Aísa	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	36
22006	Aísa	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	16
22006	Aísa	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	14
22007	Albalate de Cinca	1	Empresario o profesional que emplea personal	Hombres	35
22007	Albalate de Cinca	1	Empresario o profesional que emplea personal	Mujeres	12
22007	Albalate de Cinca	2	Empresario o profesional que no emplea personal	Hombres	104
22007	Albalate de Cinca	2	Empresario o profesional que no emplea personal	Mujeres	17
22007	Albalate de Cinca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	109
22007	Albalate de Cinca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	60
22007	Albalate de Cinca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	119
22007	Albalate de Cinca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	37
22007	Albalate de Cinca	5	Otra situación (Ayuda familiar)	Hombres	2
22007	Albalate de Cinca	6	Otra situación (Miembro de cooperativas)	Hombres	1
22008	Albalatillo	1	Empresario o profesional que emplea personal	Hombres	6
22008	Albalatillo	1	Empresario o profesional que emplea personal	Mujeres	1
22008	Albalatillo	2	Empresario o profesional que no emplea personal	Hombres	21
22008	Albalatillo	2	Empresario o profesional que no emplea personal	Mujeres	11
22008	Albalatillo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	27
22008	Albalatillo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	4
22008	Albalatillo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	7
22008	Albalatillo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	8
22009	Albelda	1	Empresario o profesional que emplea personal	Hombres	17
22009	Albelda	1	Empresario o profesional que emplea personal	Mujeres	2
22009	Albelda	2	Empresario o profesional que no emplea personal	Hombres	100
22009	Albelda	2	Empresario o profesional que no emplea personal	Mujeres	24
22009	Albelda	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	68
22009	Albelda	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	38
22009	Albelda	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	24
