Provincia codigo	Provincia nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Personas
22	Huesca	1	Soltero	1	Hombre	36612,9160146869
22	Huesca	2	Casado	1	Hombre	53633,5161315471
22	Huesca	3	Viudo	1	Hombre	2944,1213708045
22	Huesca	4	Separado	1	Hombre	1469,849106204
22	Huesca	5	Divorciado	1	Hombre	2359,9219545129
44	Teruel	1	Soltero	1	Hombre	22394,2804720845
44	Teruel	2	Casado	1	Hombre	35722,8182358008
44	Teruel	3	Viudo	1	Hombre	2448,5708253303
44	Teruel	4	Separado	1	Hombre	649,3324471384
44	Teruel	5	Divorciado	1	Hombre	1235,447099126
50	Zaragoza	1	Soltero	1	Hombre	142246,414433687
50	Zaragoza	2	Casado	1	Hombre	230610,00453067
50	Zaragoza	3	Viudo	1	Hombre	11549,537926528
50	Zaragoza	4	Separado	1	Hombre	5921,2437100802
50	Zaragoza	5	Divorciado	1	Hombre	12209,1588230392
22	Huesca	1	Soltero	6	Mujer	23885,7502568882
22	Huesca	2	Casado	6	Mujer	52283,0086719546
22	Huesca	3	Viudo	6	Mujer	13508,9220550242
22	Huesca	4	Separado	6	Mujer	1234,9185572744
22	Huesca	5	Divorciado	6	Mujer	3162,339997292
44	Teruel	1	Soltero	6	Mujer	14287,2226401108
44	Teruel	2	Casado	6	Mujer	34702,2335020742
44	Teruel	3	Viudo	6	Mujer	8169,4346710407
44	Teruel	4	Separado	6	Mujer	550,0788460535
44	Teruel	5	Divorciado	6	Mujer	1288,0872983009
50	Zaragoza	1	Soltero	6	Mujer	115310,761914231
50	Zaragoza	2	Casado	6	Mujer	227868,263807148
50	Zaragoza	3	Viudo	6	Mujer	52249,7146511066
50	Zaragoza	4	Separado	6	Mujer	6571,3733857607
50	Zaragoza	5	Divorciado	6	Mujer	15042,7644085839
