Provincia codigo	Provincia nombre	Personalidad jurídica	Explotaciones
22	Huesca	Entidad pública	180
22	Huesca	Otras condiciones jurídicas	1123
22	Huesca	Persona física	14135
22	Huesca	Sociedad cooperativa	62
22	Huesca	Sociedad mercantil	780
44	Teruel	Entidad pública	163
44	Teruel	Otras condiciones jurídicas	302
44	Teruel	Persona física	11084
44	Teruel	Sociedad cooperativa	61
44	Teruel	Sociedad mercantil	211
50	Zaragoza	Entidad pública	90
50	Zaragoza	Otras condiciones jurídicas	1156
50	Zaragoza	Persona física	22718
50	Zaragoza	Sociedad cooperativa	157
50	Zaragoza	Sociedad mercantil	552
