Mes (código)	Mes y año	Comarca código	Comarca nombre	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
201709	Septiembre 2017	01	La Jacetania	Hombres	150	1	Hasta 3 meses
201709	Septiembre 2017	01	La Jacetania	Hombres	53	2	De 3 a 6 meses
201709	Septiembre 2017	01	La Jacetania	Hombres	38	3	De 6 a 12 meses
201709	Septiembre 2017	01	La Jacetania	Hombres	29	4	De 1 a 2 años
201709	Septiembre 2017	01	La Jacetania	Hombres	19	5	De 2 a 3 años
201709	Septiembre 2017	01	La Jacetania	Hombres	39	6	Más de 3 años
201709	Septiembre 2017	01	La Jacetania	Mujeres	209	1	Hasta 3 meses
201709	Septiembre 2017	01	La Jacetania	Mujeres	48	2	De 3 a 6 meses
201709	Septiembre 2017	01	La Jacetania	Mujeres	49	3	De 6 a 12 meses
201709	Septiembre 2017	01	La Jacetania	Mujeres	29	4	De 1 a 2 años
201709	Septiembre 2017	01	La Jacetania	Mujeres	10	5	De 2 a 3 años
201709	Septiembre 2017	01	La Jacetania	Mujeres	56	6	Más de 3 años
201709	Septiembre 2017	02	Alto Gállego	Hombres	166	1	Hasta 3 meses
201709	Septiembre 2017	02	Alto Gállego	Hombres	38	2	De 3 a 6 meses
201709	Septiembre 2017	02	Alto Gállego	Hombres	34	3	De 6 a 12 meses
201709	Septiembre 2017	02	Alto Gállego	Hombres	20	4	De 1 a 2 años
201709	Septiembre 2017	02	Alto Gállego	Hombres	9	5	De 2 a 3 años
201709	Septiembre 2017	02	Alto Gállego	Hombres	40	6	Más de 3 años
201709	Septiembre 2017	02	Alto Gállego	Mujeres	163	1	Hasta 3 meses
201709	Septiembre 2017	02	Alto Gállego	Mujeres	33	2	De 3 a 6 meses
201709	Septiembre 2017	02	Alto Gállego	Mujeres	37	3	De 6 a 12 meses
201709	Septiembre 2017	02	Alto Gállego	Mujeres	39	4	De 1 a 2 años
201709	Septiembre 2017	02	Alto Gállego	Mujeres	26	5	De 2 a 3 años
201709	Septiembre 2017	02	Alto Gállego	Mujeres	40	6	Más de 3 años
201709	Septiembre 2017	03	Sobrarbe	Hombres	43	1	Hasta 3 meses
201709	Septiembre 2017	03	Sobrarbe	Hombres	10	2	De 3 a 6 meses
201709	Septiembre 2017	03	Sobrarbe	Hombres	6	3	De 6 a 12 meses
201709	Septiembre 2017	03	Sobrarbe	Hombres	14	4	De 1 a 2 años
201709	Septiembre 2017	03	Sobrarbe	Hombres	3	5	De 2 a 3 años
201709	Septiembre 2017	03	Sobrarbe	Hombres	14	6	Más de 3 años
201709	Septiembre 2017	03	Sobrarbe	Mujeres	46	1	Hasta 3 meses
201709	Septiembre 2017	03	Sobrarbe	Mujeres	8	2	De 3 a 6 meses
201709	Septiembre 2017	03	Sobrarbe	Mujeres	15	3	De 6 a 12 meses
201709	Septiembre 2017	03	Sobrarbe	Mujeres	10	4	De 1 a 2 años
201709	Septiembre 2017	03	Sobrarbe	Mujeres	4	5	De 2 a 3 años
201709	Septiembre 2017	03	Sobrarbe	Mujeres	13	6	Más de 3 años
201709	Septiembre 2017	04	La Ribagorza	Hombres	86	1	Hasta 3 meses
201709	Septiembre 2017	04	La Ribagorza	Hombres	28	2	De 3 a 6 meses
201709	Septiembre 2017	04	La Ribagorza	Hombres	15	3	De 6 a 12 meses
201709	Septiembre 2017	04	La Ribagorza	Hombres	21	4	De 1 a 2 años
201709	Septiembre 2017	04	La Ribagorza	Hombres	8	5	De 2 a 3 años
201709	Septiembre 2017	04	La Ribagorza	Hombres	20	6	Más de 3 años
201709	Septiembre 2017	04	La Ribagorza	Mujeres	95	1	Hasta 3 meses
201709	Septiembre 2017	04	La Ribagorza	Mujeres	30	2	De 3 a 6 meses
201709	Septiembre 2017	04	La Ribagorza	Mujeres	26	3	De 6 a 12 meses
201709	Septiembre 2017	04	La Ribagorza	Mujeres	16	4	De 1 a 2 años
201709	Septiembre 2017	04	La Ribagorza	Mujeres	10	5	De 2 a 3 años
201709	Septiembre 2017	04	La Ribagorza	Mujeres	28	6	Más de 3 años
201709	Septiembre 2017	05	Cinco Villas	Hombres	230	1	Hasta 3 meses
201709	Septiembre 2017	05	Cinco Villas	Hombres	63	2	De 3 a 6 meses
201709	Septiembre 2017	05	Cinco Villas	Hombres	77	3	De 6 a 12 meses
201709	Septiembre 2017	05	Cinco Villas	Hombres	82	4	De 1 a 2 años
201709	Septiembre 2017	05	Cinco Villas	Hombres	35	5	De 2 a 3 años
201709	Septiembre 2017	05	Cinco Villas	Hombres	80	6	Más de 3 años
201709	Septiembre 2017	05	Cinco Villas	Mujeres	299	1	Hasta 3 meses
201709	Septiembre 2017	05	Cinco Villas	Mujeres	83	2	De 3 a 6 meses
201709	Septiembre 2017	05	Cinco Villas	Mujeres	133	3	De 6 a 12 meses
201709	Septiembre 2017	05	Cinco Villas	Mujeres	129	4	De 1 a 2 años
201709	Septiembre 2017	05	Cinco Villas	Mujeres	67	5	De 2 a 3 años
201709	Septiembre 2017	05	Cinco Villas	Mujeres	190	6	Más de 3 años
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	660	1	Hasta 3 meses
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	163	2	De 3 a 6 meses
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	182	3	De 6 a 12 meses
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	171	4	De 1 a 2 años
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	65	5	De 2 a 3 años
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	167	6	Más de 3 años
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	743	1	Hasta 3 meses
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	201	2	De 3 a 6 meses
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	239	3	De 6 a 12 meses
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	227	4	De 1 a 2 años
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	104	5	De 2 a 3 años
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	270	6	Más de 3 años
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	190	1	Hasta 3 meses
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	60	2	De 3 a 6 meses
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	34	3	De 6 a 12 meses
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	44	4	De 1 a 2 años
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	27	5	De 2 a 3 años
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	88	6	Más de 3 años
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	213	1	Hasta 3 meses
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	67	2	De 3 a 6 meses
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	83	3	De 6 a 12 meses
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	89	4	De 1 a 2 años
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	33	5	De 2 a 3 años
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	170	6	Más de 3 años
201709	Septiembre 2017	08	Cinca Medio	Hombres	226	1	Hasta 3 meses
201709	Septiembre 2017	08	Cinca Medio	Hombres	29	2	De 3 a 6 meses
201709	Septiembre 2017	08	Cinca Medio	Hombres	48	3	De 6 a 12 meses
201709	Septiembre 2017	08	Cinca Medio	Hombres	45	4	De 1 a 2 años
201709	Septiembre 2017	08	Cinca Medio	Hombres	20	5	De 2 a 3 años
201709	Septiembre 2017	08	Cinca Medio	Hombres	74	6	Más de 3 años
201709	Septiembre 2017	08	Cinca Medio	Mujeres	252	1	Hasta 3 meses
201709	Septiembre 2017	08	Cinca Medio	Mujeres	52	2	De 3 a 6 meses
201709	Septiembre 2017	08	Cinca Medio	Mujeres	117	3	De 6 a 12 meses
201709	Septiembre 2017	08	Cinca Medio	Mujeres	82	4	De 1 a 2 años
201709	Septiembre 2017	08	Cinca Medio	Mujeres	46	5	De 2 a 3 años
201709	Septiembre 2017	08	Cinca Medio	Mujeres	117	6	Más de 3 años
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	140	1	Hasta 3 meses
