Año	Renta disponible bruta	Código	Provincia
2018	16595802155	50	Zaragoza
2018	1874877905	44	Teruel
2018	3454987949	22	Huesca
2017	16188216686	50	Zaragoza
2017	1826995133	44	Teruel
2017	3354580188	22	Huesca
2016	15711819077	50	Zaragoza
2016	1795312702	44	Teruel
2016	3221599224	22	Huesca
2015	15306536915	50	Zaragoza
2015	1735442436	44	Teruel
2015	3118588649	22	Huesca
2014	14894606284	50	Zaragoza
2014	1719720490	44	Teruel
2014	3058306230	22	Huesca
2013	15059732997	50	Zaragoza
2013	1747270225	44	Teruel
2013	3114397791	22	Huesca
2012	15059296350	50	Zaragoza
2012	1782922903	44	Teruel
2012	3170316753	22	Huesca
2011	15906155225	50	Zaragoza
2011	1911452509	44	Teruel
2011	3360889258	22	Huesca
2010	15678708219	50	Zaragoza
2010	1881558045	44	Teruel
2010	3324214739	22	Huesca
2009	15841254640	50	Zaragoza
2009	1865654117	44	Teruel
2009	3385579245	22	Huesca
2008	16054473009	50	Zaragoza
2008	1863192931	44	Teruel
2008	3373686082	22	Huesca
2007	15182766768	50	Zaragoza
2007	1754347152	44	Teruel
2007	3265490083	22	Huesca
2006	14435491973	50	Zaragoza
2006	1653575054	44	Teruel
2006	3082174988	22	Huesca
2005	13574080307	50	Zaragoza
2005	1558721223	44	Teruel
2005	2851330475	22	Huesca
2004	12717840887	50	Zaragoza
2004	1480894647	44	Teruel
2004	2694721474	22	Huesca
2003	12271646192	50	Zaragoza
2003	1384241845	44	Teruel
2003	2563069971	22	Huesca
2002	11440210402	50	Zaragoza
2002	1351476492	44	Teruel
2002	2434412105	22	Huesca
2001	10717256829	50	Zaragoza
2001	1247261032	44	Teruel
2001	2269832142	22	Huesca
2000	10091543999	50	Zaragoza
2000	1137133940	44	Teruel
2000	2053583063	22	Huesca
