Mes y año	'Aragón'	Edad (grupos quinquenales)	Sexo	Nº parados
Septiembre 2020	Aragón	16-19	Hombres	141
Septiembre 2020	Aragón	16-19	Mujeres	121
Septiembre 2020	Aragón	20-24	Hombres	302
Septiembre 2020	Aragón	20-24	Mujeres	431
Septiembre 2020	Aragón	25-29	Hombres	384
Septiembre 2020	Aragón	25-29	Mujeres	814
Septiembre 2020	Aragón	30-34	Hombres	499
Septiembre 2020	Aragón	30-34	Mujeres	1266
Septiembre 2020	Aragón	35-39	Hombres	553
Septiembre 2020	Aragón	35-39	Mujeres	1652
Septiembre 2020	Aragón	40-44	Hombres	773
Septiembre 2020	Aragón	40-44	Mujeres	1957
Septiembre 2020	Aragón	45-49	Hombres	1069
Septiembre 2020	Aragón	45-49	Mujeres	2109
Septiembre 2020	Aragón	50-54	Hombres	1457
Septiembre 2020	Aragón	50-54	Mujeres	2397
Septiembre 2020	Aragón	55-59	Hombres	1971
Septiembre 2020	Aragón	55-59	Mujeres	3286
Septiembre 2020	Aragón	60-64	Hombres	2243
Septiembre 2020	Aragón	60-64	Mujeres	4264
Agosto 2020	Aragón	16-19	Hombres	97
Agosto 2020	Aragón	16-19	Mujeres	100
Agosto 2020	Aragón	20-24	Hombres	245
Agosto 2020	Aragón	20-24	Mujeres	372
Agosto 2020	Aragón	25-29	Hombres	339
Agosto 2020	Aragón	25-29	Mujeres	763
Agosto 2020	Aragón	30-34	Hombres	461
Agosto 2020	Aragón	30-34	Mujeres	1191
Agosto 2020	Aragón	35-39	Hombres	526
Agosto 2020	Aragón	35-39	Mujeres	1552
Agosto 2020	Aragón	40-44	Hombres	735
Agosto 2020	Aragón	40-44	Mujeres	1817
Agosto 2020	Aragón	45-49	Hombres	1033
Agosto 2020	Aragón	45-49	Mujeres	2020
Agosto 2020	Aragón	50-54	Hombres	1402
Agosto 2020	Aragón	50-54	Mujeres	2286
Agosto 2020	Aragón	55-59	Hombres	1906
Agosto 2020	Aragón	55-59	Mujeres	3189
Agosto 2020	Aragón	60-64	Hombres	2196
Agosto 2020	Aragón	60-64	Mujeres	4112
Julio 2020	Aragón	16-19	Hombres	87
Julio 2020	Aragón	16-19	Mujeres	92
Julio 2020	Aragón	20-24	Hombres	208
Julio 2020	Aragón	20-24	Mujeres	339
Julio 2020	Aragón	25-29	Hombres	304
Julio 2020	Aragón	25-29	Mujeres	706
Julio 2020	Aragón	30-34	Hombres	424
Julio 2020	Aragón	30-34	Mujeres	1100
Julio 2020	Aragón	35-39	Hombres	498
Julio 2020	Aragón	35-39	Mujeres	1490
Julio 2020	Aragón	40-44	Hombres	688
Julio 2020	Aragón	40-44	Mujeres	1736
Julio 2020	Aragón	45-49	Hombres	992
Julio 2020	Aragón	45-49	Mujeres	1941
Julio 2020	Aragón	50-54	Hombres	1332
Julio 2020	Aragón	50-54	Mujeres	2224
Julio 2020	Aragón	55-59	Hombres	1846
Julio 2020	Aragón	55-59	Mujeres	3111
Julio 2020	Aragón	60-64	Hombres	2167
Julio 2020	Aragón	60-64	Mujeres	4026
Junio 2020	Aragón	16-19	Hombres	82
Junio 2020	Aragón	16-19	Mujeres	88
Junio 2020	Aragón	20-24	Hombres	177
Junio 2020	Aragón	20-24	Mujeres	302
Junio 2020	Aragón	25-29	Hombres	272
Junio 2020	Aragón	25-29	Mujeres	630
Junio 2020	Aragón	30-34	Hombres	392
Junio 2020	Aragón	30-34	Mujeres	1039
Junio 2020	Aragón	35-39	Hombres	462
Junio 2020	Aragón	35-39	Mujeres	1410
Junio 2020	Aragón	40-44	Hombres	658
Junio 2020	Aragón	40-44	Mujeres	1678
Junio 2020	Aragón	45-49	Hombres	936
Junio 2020	Aragón	45-49	Mujeres	1852
Junio 2020	Aragón	50-54	Hombres	1279
Junio 2020	Aragón	50-54	Mujeres	2158
Junio 2020	Aragón	55-59	Hombres	1774
Junio 2020	Aragón	55-59	Mujeres	3046
Junio 2020	Aragón	60-64	Hombres	2131
Junio 2020	Aragón	60-64	Mujeres	3954
Mayo 2020	Aragón	16-19	Hombres	80
Mayo 2020	Aragón	16-19	Mujeres	81
Mayo 2020	Aragón	20-24	Hombres	159
Mayo 2020	Aragón	20-24	Mujeres	276
Mayo 2020	Aragón	25-29	Hombres	262
Mayo 2020	Aragón	25-29	Mujeres	618
Mayo 2020	Aragón	30-34	Hombres	384
Mayo 2020	Aragón	30-34	Mujeres	998
Mayo 2020	Aragón	35-39	Hombres	437
Mayo 2020	Aragón	35-39	Mujeres	1355
Mayo 2020	Aragón	40-44	Hombres	644
Mayo 2020	Aragón	40-44	Mujeres	1624
Mayo 2020	Aragón	45-49	Hombres	905
Mayo 2020	Aragón	45-49	Mujeres	1787
Mayo 2020	Aragón	50-54	Hombres	1241
Mayo 2020	Aragón	50-54	Mujeres	2108
Mayo 2020	Aragón	55-59	Hombres	1765
Mayo 2020	Aragón	55-59	Mujeres	3004
Mayo 2020	Aragón	60-64	Hombres	2085
Mayo 2020	Aragón	60-64	Mujeres	3864
Abril 2020	Aragón	16-19	Hombres	75
Abril 2020	Aragón	16-19	Mujeres	77
Abril 2020	Aragón	20-24	Hombres	153
Abril 2020	Aragón	20-24	Mujeres	257
Abril 2020	Aragón	25-29	Hombres	234
Abril 2020	Aragón	25-29	Mujeres	576
Abril 2020	Aragón	30-34	Hombres	354
Abril 2020	Aragón	30-34	Mujeres	939
Abril 2020	Aragón	35-39	Hombres	406
Abril 2020	Aragón	35-39	Mujeres	1285
Abril 2020	Aragón	40-44	Hombres	613
Abril 2020	Aragón	40-44	Mujeres	1538
Abril 2020	Aragón	45-49	Hombres	856
Abril 2020	Aragón	45-49	Mujeres	1705
Abril 2020	Aragón	50-54	Hombres	1184
Abril 2020	Aragón	50-54	Mujeres	2016
Abril 2020	Aragón	55-59	Hombres	1741
Abril 2020	Aragón	55-59	Mujeres	2910
Abril 2020	Aragón	60-64	Hombres	1990
Abril 2020	Aragón	60-64	Mujeres	3743
Marzo 2020	Aragón	16-19	Hombres	71
Marzo 2020	Aragón	16-19	Mujeres	69
Marzo 2020	Aragón	20-24	Hombres	143
Marzo 2020	Aragón	20-24	Mujeres	235
Marzo 2020	Aragón	25-29	Hombres	208
Marzo 2020	Aragón	25-29	Mujeres	545
Marzo 2020	Aragón	30-34	Hombres	335
Marzo 2020	Aragón	30-34	Mujeres	892
Marzo 2020	Aragón	35-39	Hombres	381
Marzo 2020	Aragón	35-39	Mujeres	1233
Marzo 2020	Aragón	40-44	Hombres	565
Marzo 2020	Aragón	40-44	Mujeres	1475
Marzo 2020	Aragón	45-49	Hombres	801
Marzo 2020	Aragón	45-49	Mujeres	1630
Marzo 2020	Aragón	50-54	Hombres	1131
Marzo 2020	Aragón	50-54	Mujeres	1921
Marzo 2020	Aragón	55-59	Hombres	1709
Marzo 2020	Aragón	55-59	Mujeres	2829
Marzo 2020	Aragón	60-64	Hombres	1862
Marzo 2020	Aragón	60-64	Mujeres	3620
Febrero 2020	Aragón	16-19	Hombres	70
Febrero 2020	Aragón	16-19	Mujeres	66
Febrero 2020	Aragón	20-24	Hombres	138
Febrero 2020	Aragón	20-24	Mujeres	228
