Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2010	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	02	Alto Gállego
2010	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	04	La Ribagorza
2010	3	1	Dirección de las empresas y de las administraciones públicas	Hombres	06	Hoya de Huesca / Plana de Uesca
2010	3	1	Dirección de las empresas y de las administraciones públicas	Mujeres	06	Hoya de Huesca / Plana de Uesca
2010	4	1	Dirección de las empresas y de las administraciones públicas	Hombres	07	Somontano de Barbastro
2010	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	08	Cinca Medio
2010	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	11	Bajo Cinca / Baix Cinca
2010	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	13	Campo de Borja
2010	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	13	Campo de Borja
2010	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	16	Valdejalón
2010	25	1	Dirección de las empresas y de las administraciones públicas	Hombres	17	Central
2010	6	1	Dirección de las empresas y de las administraciones públicas	Mujeres	17	Central
2010	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	20	Comunidad de Calatayud
2010	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	21	Campo de Cariñena
2010	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	29	Comunidad de Teruel
2010	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	29	Comunidad de Teruel
2010	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2010	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	01	La Jacetania
2010	7	2	Técnicos y profesionales científicos e intelectuales	Hombres	02	Alto Gállego
2010	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	02	Alto Gállego
2010	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	03	Sobrarbe
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	03	Sobrarbe
2010	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	04	La Ribagorza
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	04	La Ribagorza
2010	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	05	Cinco Villas
2010	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	05	Cinco Villas
2010	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	06	Hoya de Huesca / Plana de Uesca
2010	13	2	Técnicos y profesionales científicos e intelectuales	Mujeres	06	Hoya de Huesca / Plana de Uesca
2010	5	2	Técnicos y profesionales científicos e intelectuales	Mujeres	07	Somontano de Barbastro
2010	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	08	Cinca Medio
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	11	Bajo Cinca / Baix Cinca
2010	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	12	Tarazona y el Moncayo
2010	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	13	Campo de Borja
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	13	Campo de Borja
2010	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	15	Ribera Alta del Ebro
2010	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	16	Valdejalón
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	16	Valdejalón
2010	51	2	Técnicos y profesionales científicos e intelectuales	Hombres	17	Central
2010	114	2	Técnicos y profesionales científicos e intelectuales	Mujeres	17	Central
2010	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	20	Comunidad de Calatayud
2010	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	21	Campo de Cariñena
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22	Campo de Belchite
2010	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	23	Bajo Martín
2010	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	24	Campo de Daroca
2010	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	25	Jiloca
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	25	Jiloca
2010	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	28	Bajo Aragón
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	28	Bajo Aragón
2010	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	29	Comunidad de Teruel
2010	12	2	Técnicos y profesionales científicos e intelectuales	Mujeres	29	Comunidad de Teruel
2010	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	31	Sierra de Albarracín
2010	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2010	6	3	Técnicos y profesionales de apoyo	Hombres	01	La Jacetania
2010	3	3	Técnicos y profesionales de apoyo	Mujeres	01	La Jacetania
2010	2	3	Técnicos y profesionales de apoyo	Hombres	02	Alto Gállego
2010	3	3	Técnicos y profesionales de apoyo	Mujeres	02	Alto Gállego
2010	1	3	Técnicos y profesionales de apoyo	Hombres	03	Sobrarbe
2010	2	3	Técnicos y profesionales de apoyo	Mujeres	03	Sobrarbe
2010	9	3	Técnicos y profesionales de apoyo	Hombres	04	La Ribagorza
2010	4	3	Técnicos y profesionales de apoyo	Hombres	05	Cinco Villas
2010	2	3	Técnicos y profesionales de apoyo	Mujeres	05	Cinco Villas
2010	15	3	Técnicos y profesionales de apoyo	Hombres	06	Hoya de Huesca / Plana de Uesca
2010	8	3	Técnicos y profesionales de apoyo	Mujeres	06	Hoya de Huesca / Plana de Uesca
2010	1	3	Técnicos y profesionales de apoyo	Hombres	07	Somontano de Barbastro
2010	3	3	Técnicos y profesionales de apoyo	Mujeres	07	Somontano de Barbastro
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	08	Cinca Medio
2010	1	3	Técnicos y profesionales de apoyo	Hombres	09	La Litera / La Llitera
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	10	Los Monegros
2010	1	3	Técnicos y profesionales de apoyo	Hombres	11	Bajo Cinca / Baix Cinca
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	11	Bajo Cinca / Baix Cinca
2010	1	3	Técnicos y profesionales de apoyo	Hombres	12	Tarazona y el Moncayo
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	12	Tarazona y el Moncayo
2010	1	3	Técnicos y profesionales de apoyo	Hombres	13	Campo de Borja
2010	3	3	Técnicos y profesionales de apoyo	Mujeres	13	Campo de Borja
2010	2	3	Técnicos y profesionales de apoyo	Hombres	15	Ribera Alta del Ebro
2010	6	3	Técnicos y profesionales de apoyo	Mujeres	15	Ribera Alta del Ebro
2010	6	3	Técnicos y profesionales de apoyo	Hombres	16	Valdejalón
2010	167	3	Técnicos y profesionales de apoyo	Hombres	17	Central
2010	142	3	Técnicos y profesionales de apoyo	Mujeres	17	Central
2010	1	3	Técnicos y profesionales de apoyo	Hombres	18	Ribera Baja del Ebro
2010	1	3	Técnicos y profesionales de apoyo	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	3	3	Técnicos y profesionales de apoyo	Hombres	20	Comunidad de Calatayud
2010	8	3	Técnicos y profesionales de apoyo	Mujeres	20	Comunidad de Calatayud
2010	2	3	Técnicos y profesionales de apoyo	Hombres	21	Campo de Cariñena
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	22	Campo de Belchite
2010	1	3	Técnicos y profesionales de apoyo	Hombres	23	Bajo Martín
2010	2	3	Técnicos y profesionales de apoyo	Hombres	24	Campo de Daroca
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	25	Jiloca
2010	3	3	Técnicos y profesionales de apoyo	Hombres	27	Andorra-Sierra de Arcos
2010	1	3	Técnicos y profesionales de apoyo	Mujeres	27	Andorra-Sierra de Arcos
2010	1	3	Técnicos y profesionales de apoyo	Hombres	28	Bajo Aragón
2010	3	3	Técnicos y profesionales de apoyo	Mujeres	28	Bajo Aragón
2010	11	3	Técnicos y profesionales de apoyo	Hombres	29	Comunidad de Teruel
2010	24	3	Técnicos y profesionales de apoyo	Mujeres	29	Comunidad de Teruel
2010	2	3	Técnicos y profesionales de apoyo	Mujeres	30	Maestrazgo
2010	2	3	Técnicos y profesionales de apoyo	Hombres	32	Gúdar-Javalambre
2010	2	3	Técnicos y profesionales de apoyo	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2010	3	3	Técnicos y profesionales de apoyo	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2010	2	4	Empleados de tipo administrativo	Hombres	01	La Jacetania
2010	4	4	Empleados de tipo administrativo	Mujeres	01	La Jacetania
2010	1	4	Empleados de tipo administrativo	Hombres	02	Alto Gállego
2010	2	4	Empleados de tipo administrativo	Mujeres	02	Alto Gállego
2010	1	4	Empleados de tipo administrativo	Mujeres	03	Sobrarbe
2010	2	4	Empleados de tipo administrativo	Hombres	04	La Ribagorza
2010	2	4	Empleados de tipo administrativo	Mujeres	04	La Ribagorza
2010	5	4	Empleados de tipo administrativo	Hombres	05	Cinco Villas
2010	3	4	Empleados de tipo administrativo	Mujeres	05	Cinco Villas
2010	4	4	Empleados de tipo administrativo	Hombres	06	Hoya de Huesca / Plana de Uesca
2010	26	4	Empleados de tipo administrativo	Mujeres	06	Hoya de Huesca / Plana de Uesca
2010	2	4	Empleados de tipo administrativo	Mujeres	07	Somontano de Barbastro
2010	2	4	Empleados de tipo administrativo	Hombres	08	Cinca Medio
2010	6	4	Empleados de tipo administrativo	Mujeres	08	Cinca Medio
2010	1	4	Empleados de tipo administrativo	Hombres	09	La Litera / La Llitera
2010	6	4	Empleados de tipo administrativo	Mujeres	09	La Litera / La Llitera
2010	1	4	Empleados de tipo administrativo	Mujeres	10	Los Monegros
2010	2	4	Empleados de tipo administrativo	Hombres	11	Bajo Cinca / Baix Cinca
2010	2	4	Empleados de tipo administrativo	Mujeres	11	Bajo Cinca / Baix Cinca
2010	1	4	Empleados de tipo administrativo	Mujeres	12	Tarazona y el Moncayo
2010	1	4	Empleados de tipo administrativo	Hombres	13	Campo de Borja
2010	2	4	Empleados de tipo administrativo	Mujeres	13	Campo de Borja
2010	1	4	Empleados de tipo administrativo	Mujeres	14	Aranda
2010	3	4	Empleados de tipo administrativo	Hombres	15	Ribera Alta del Ebro
2010	4	4	Empleados de tipo administrativo	Mujeres	15	Ribera Alta del Ebro
2010	3	4	Empleados de tipo administrativo	Hombres	16	Valdejalón
2010	3	4	Empleados de tipo administrativo	Mujeres	16	Valdejalón
2010	74	4	Empleados de tipo administrativo	Hombres	17	Central
2010	186	4	Empleados de tipo administrativo	Mujeres	17	Central
2010	2	4	Empleados de tipo administrativo	Mujeres	18	Ribera Baja del Ebro
2010	1	4	Empleados de tipo administrativo	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	3	4	Empleados de tipo administrativo	Hombres	20	Comunidad de Calatayud
2010	4	4	Empleados de tipo administrativo	Mujeres	20	Comunidad de Calatayud
2010	4	4	Empleados de tipo administrativo	Mujeres	21	Campo de Cariñena
2010	1	4	Empleados de tipo administrativo	Mujeres	22	Campo de Belchite
2010	2	4	Empleados de tipo administrativo	Hombres	28	Bajo Aragón
2010	3	4	Empleados de tipo administrativo	Mujeres	28	Bajo Aragón
2010	11	4	Empleados de tipo administrativo	Hombres	29	Comunidad de Teruel
2010	16	4	Empleados de tipo administrativo	Mujeres	29	Comunidad de Teruel
2010	1	4	Empleados de tipo administrativo	Mujeres	31	Sierra de Albarracín
2010	1	4	Empleados de tipo administrativo	Hombres	33	Matarraña / Matarranya
2010	1	4	Empleados de tipo administrativo	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2010	4	4	Empleados de tipo administrativo	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2010	11	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	01	La Jacetania
2010	28	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	01	La Jacetania
2010	14	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	02	Alto Gállego
2010	19	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	02	Alto Gállego
2010	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	03	Sobrarbe
2010	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	03	Sobrarbe
2010	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	04	La Ribagorza
2010	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	04	La Ribagorza
2010	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	05	Cinco Villas
2010	13	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	05	Cinco Villas
2010	36	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	06	Hoya de Huesca / Plana de Uesca
2010	98	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	06	Hoya de Huesca / Plana de Uesca
2010	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	07	Somontano de Barbastro
2010	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	07	Somontano de Barbastro
2010	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	08	Cinca Medio
2010	14	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	08	Cinca Medio
2010	15	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	09	La Litera / La Llitera
2010	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	10	Los Monegros
2010	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	10	Los Monegros
