Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2011	1	11231	PP-PAR
01	La Jacetania	2011	2	8561	PSOE
01	La Jacetania	2011	3	2510	CHA-IU
01	La Jacetania	2011	4	532	UPyD
01	La Jacetania	2011	5	388	EQUO
01	La Jacetania	2011	6	143	PACMA
01	La Jacetania	2011	7	1	Eb
01	La Jacetania	2011	8	60	PCPE
01	La Jacetania	2011	9	94	PUM+J
01	La Jacetania	2011	11	27	UCE
01	La Jacetania	2011	12	1	DeC
01	La Jacetania	2011	13	2	PH
01	La Jacetania	2011	14	2	P-LIB
01	La Jacetania	2011	15	0	SXT
02	Alto Gállego	2011	1	8592	PP-PAR
02	Alto Gállego	2011	2	6705	PSOE
02	Alto Gállego	2011	3	1656	CHA-IU
02	Alto Gállego	2011	4	292	UPyD
02	Alto Gállego	2011	5	261	EQUO
02	Alto Gállego	2011	6	81	PACMA
02	Alto Gállego	2011	7	0	Eb
02	Alto Gállego	2011	8	36	PCPE
02	Alto Gállego	2011	9	52	PUM+J
02	Alto Gállego	2011	11	19	UCE
02	Alto Gállego	2011	12	0	DeC
02	Alto Gállego	2011	13	0	PH
02	Alto Gállego	2011	14	0	P-LIB
02	Alto Gállego	2011	15	0	SXT
03	Sobrarbe	2011	1	5302	PP-PAR
03	Sobrarbe	2011	2	3822	PSOE
03	Sobrarbe	2011	3	1044	CHA-IU
03	Sobrarbe	2011	4	192	UPyD
03	Sobrarbe	2011	5	178	EQUO
03	Sobrarbe	2011	6	33	PACMA
03	Sobrarbe	2011	7	0	Eb
03	Sobrarbe	2011	8	18	PCPE
03	Sobrarbe	2011	9	28	PUM+J
03	Sobrarbe	2011	11	13	UCE
03	Sobrarbe	2011	12	0	DeC
03	Sobrarbe	2011	13	0	PH
03	Sobrarbe	2011	14	0	P-LIB
03	Sobrarbe	2011	15	0	SXT
04	La Ribagorza	2011	1	9103	PP-PAR
04	La Ribagorza	2011	2	6030	PSOE
04	La Ribagorza	2011	3	1234	CHA-IU
04	La Ribagorza	2011	4	335	UPyD
04	La Ribagorza	2011	5	360	EQUO
04	La Ribagorza	2011	6	89	PACMA
04	La Ribagorza	2011	7	0	Eb
04	La Ribagorza	2011	8	56	PCPE
04	La Ribagorza	2011	9	73	PUM+J
04	La Ribagorza	2011	11	24	UCE
04	La Ribagorza	2011	12	0	DeC
04	La Ribagorza	2011	13	0	PH
04	La Ribagorza	2011	14	0	P-LIB
04	La Ribagorza	2011	15	0	SXT
05	Cinco Villas	2011	1	22140	PP-PAR
05	Cinco Villas	2011	2	20654	PSOE
05	Cinco Villas	2011	3	3457	CHA-IU
05	Cinco Villas	2011	4	474	UPyD
05	Cinco Villas	2011	5	165	EQUO
05	Cinco Villas	2011	6	145	PACMA
05	Cinco Villas	2011	7	204	Eb
05	Cinco Villas	2011	8	43	PCPE
05	Cinco Villas	2011	9	39	PUM+J
05	Cinco Villas	2011	11	20	UCE
05	Cinco Villas	2011	12	28	DeC
05	Cinco Villas	2011	13	21	PH
05	Cinco Villas	2011	14	31	P-LIB
05	Cinco Villas	2011	15	0	SXT
06	Hoya de Huesca / Plana de Uesca	2011	1	46145	PP-PAR
06	Hoya de Huesca / Plana de Uesca	2011	2	30521	PSOE
06	Hoya de Huesca / Plana de Uesca	2011	3	8698	CHA-IU
06	Hoya de Huesca / Plana de Uesca	2011	4	2362	UPyD
06	Hoya de Huesca / Plana de Uesca	2011	5	2269	EQUO
06	Hoya de Huesca / Plana de Uesca	2011	6	474	PACMA
06	Hoya de Huesca / Plana de Uesca	2011	7	8	Eb
06	Hoya de Huesca / Plana de Uesca	2011	8	207	PCPE
06	Hoya de Huesca / Plana de Uesca	2011	9	396	PUM+J
06	Hoya de Huesca / Plana de Uesca	2011	11	130	UCE
06	Hoya de Huesca / Plana de Uesca	2011	12	0	DeC
06	Hoya de Huesca / Plana de Uesca	2011	13	0	PH
06	Hoya de Huesca / Plana de Uesca	2011	14	0	P-LIB
06	Hoya de Huesca / Plana de Uesca	2011	15	0	SXT
07	Somontano de Barbastro	2011	1	18619	PP-PAR
07	Somontano de Barbastro	2011	2	12726	PSOE
07	Somontano de Barbastro	2011	3	2199	CHA-IU
07	Somontano de Barbastro	2011	4	660	UPyD
07	Somontano de Barbastro	2011	5	457	EQUO
07	Somontano de Barbastro	2011	6	145	PACMA
07	Somontano de Barbastro	2011	7	0	Eb
07	Somontano de Barbastro	2011	8	70	PCPE
07	Somontano de Barbastro	2011	9	108	PUM+J
07	Somontano de Barbastro	2011	11	37	UCE
07	Somontano de Barbastro	2011	12	0	DeC
07	Somontano de Barbastro	2011	13	0	PH
07	Somontano de Barbastro	2011	14	0	P-LIB
07	Somontano de Barbastro	2011	15	0	SXT
08	Cinca Medio	2011	1	16660	PP-PAR
08	Cinca Medio	2011	2	12342	PSOE
08	Cinca Medio	2011	3	2566	CHA-IU
08	Cinca Medio	2011	4	465	UPyD
08	Cinca Medio	2011	5	204	EQUO
08	Cinca Medio	2011	6	121	PACMA
08	Cinca Medio	2011	7	0	Eb
08	Cinca Medio	2011	8	83	PCPE
08	Cinca Medio	2011	9	86	PUM+J
08	Cinca Medio	2011	11	24	UCE
08	Cinca Medio	2011	12	0	DeC
08	Cinca Medio	2011	13	0	PH
08	Cinca Medio	2011	14	0	P-LIB
08	Cinca Medio	2011	15	0	SXT
09	La Litera / La Llitera	2011	1	14354	PP-PAR
09	La Litera / La Llitera	2011	2	9857	PSOE
09	La Litera / La Llitera	2011	3	1457	CHA-IU
09	La Litera / La Llitera	2011	4	300	UPyD
09	La Litera / La Llitera	2011	5	202	EQUO
09	La Litera / La Llitera	2011	6	118	PACMA
09	La Litera / La Llitera	2011	7	0	Eb
09	La Litera / La Llitera	2011	8	70	PCPE
09	La Litera / La Llitera	2011	9	83	PUM+J
09	La Litera / La Llitera	2011	11	22	UCE
09	La Litera / La Llitera	2011	12	0	DeC
09	La Litera / La Llitera	2011	13	0	PH
09	La Litera / La Llitera	2011	14	0	P-LIB
09	La Litera / La Llitera	2011	15	0	SXT
10	Los Monegros	2011	1	17718	PP-PAR
10	Los Monegros	2011	2	12528	PSOE
10	Los Monegros	2011	3	1854	CHA-IU
10	Los Monegros	2011	4	389	UPyD
10	Los Monegros	2011	5	229	EQUO
10	Los Monegros	2011	6	62	PACMA
10	Los Monegros	2011	7	25	Eb
10	Los Monegros	2011	8	49	PCPE
10	Los Monegros	2011	9	62	PUM+J
10	Los Monegros	2011	11	21	UCE
10	Los Monegros	2011	12	8	DeC
10	Los Monegros	2011	13	1	PH
10	Los Monegros	2011	14	5	P-LIB
10	Los Monegros	2011	15	0	SXT
11	Bajo Cinca / Baix Cinca	2011	1	17914	PP-PAR
11	Bajo Cinca / Baix Cinca	2011	2	11735	PSOE
11	Bajo Cinca / Baix Cinca	2011	3	1284	CHA-IU
11	Bajo Cinca / Baix Cinca	2011	4	355	UPyD
11	Bajo Cinca / Baix Cinca	2011	5	177	EQUO
11	Bajo Cinca / Baix Cinca	2011	6	102	PACMA
11	Bajo Cinca / Baix Cinca	2011	7	25	Eb
11	Bajo Cinca / Baix Cinca	2011	8	66	PCPE
11	Bajo Cinca / Baix Cinca	2011	9	101	PUM+J
11	Bajo Cinca / Baix Cinca	2011	11	35	UCE
11	Bajo Cinca / Baix Cinca	2011	12	6	DeC
11	Bajo Cinca / Baix Cinca	2011	13	6	PH
11	Bajo Cinca / Baix Cinca	2011	14	4	P-LIB
11	Bajo Cinca / Baix Cinca	2011	15	0	SXT
12	Tarazona y el Moncayo	2011	1	11826	PP-PAR
12	Tarazona y el Moncayo	2011	2	7689	PSOE
12	Tarazona y el Moncayo	2011	3	1995	CHA-IU
12	Tarazona y el Moncayo	2011	4	226	UPyD
12	Tarazona y el Moncayo	2011	5	126	EQUO
12	Tarazona y el Moncayo	2011	6	85	PACMA
12	Tarazona y el Moncayo	2011	7	121	Eb
12	Tarazona y el Moncayo	2011	8	39	PCPE
12	Tarazona y el Moncayo	2011	9	25	PUM+J
12	Tarazona y el Moncayo	2011	11	19	UCE
12	Tarazona y el Moncayo	2011	12	20	DeC
12	Tarazona y el Moncayo	2011	13	13	PH
12	Tarazona y el Moncayo	2011	14	10	P-LIB
12	Tarazona y el Moncayo	2011	15	0	SXT
13	Campo de Borja	2011	1	11301	PP-PAR
13	Campo de Borja	2011	2	9596	PSOE
13	Campo de Borja	2011	3	1336	CHA-IU
13	Campo de Borja	2011	4	180	UPyD
13	Campo de Borja	2011	5	86	EQUO
13	Campo de Borja	2011	6	101	PACMA
13	Campo de Borja	2011	7	84	Eb
13	Campo de Borja	2011	8	17	PCPE
13	Campo de Borja	2011	9	29	PUM+J
13	Campo de Borja	2011	11	10	UCE
13	Campo de Borja	2011	12	25	DeC
13	Campo de Borja	2011	13	11	PH
13	Campo de Borja	2011	14	12	P-LIB
13	Campo de Borja	2011	15	0	SXT
14	Aranda	2011	1	7035	PP-PAR
14	Aranda	2011	2	3622	PSOE
14	Aranda	2011	3	607	CHA-IU
14	Aranda	2011	4	53	UPyD
14	Aranda	2011	5	22	EQUO
14	Aranda	2011	6	17	PACMA
14	Aranda	2011	7	36	Eb
14	Aranda	2011	8	10	PCPE
14	Aranda	2011	9	10	PUM+J
14	Aranda	2011	11	0	UCE
14	Aranda	2011	12	5	DeC
14	Aranda	2011	13	2	PH
14	Aranda	2011	14	6	P-LIB
14	Aranda	2011	15	0	SXT
15	Ribera Alta del Ebro	2011	1	17962	PP-PAR
15	Ribera Alta del Ebro	2011	2	16650	PSOE
15	Ribera Alta del Ebro	2011	3	3596	CHA-IU
15	Ribera Alta del Ebro	2011	4	500	UPyD
15	Ribera Alta del Ebro	2011	5	166	EQUO
15	Ribera Alta del Ebro	2011	6	224	PACMA
15	Ribera Alta del Ebro	2011	7	172	Eb
15	Ribera Alta del Ebro	2011	8	34	PCPE
15	Ribera Alta del Ebro	2011	9	46	PUM+J
15	Ribera Alta del Ebro	2011	11	17	UCE
15	Ribera Alta del Ebro	2011	12	32	DeC
15	Ribera Alta del Ebro	2011	13	24	PH
15	Ribera Alta del Ebro	2011	14	24	P-LIB
15	Ribera Alta del Ebro	2011	15	0	SXT
16	Valdejalón	2011	1	20732	PP-PAR
16	Valdejalón	2011	2	12251	PSOE
16	Valdejalón	2011	3	2671	CHA-IU
16	Valdejalón	2011	4	525	UPyD
16	Valdejalón	2011	5	217	EQUO
16	Valdejalón	2011	6	182	PACMA
16	Valdejalón	2011	7	208	Eb
16	Valdejalón	2011	8	44	PCPE
16	Valdejalón	2011	9	53	PUM+J
16	Valdejalón	2011	11	15	UCE
16	Valdejalón	2011	12	37	DeC
16	Valdejalón	2011	13	18	PH
16	Valdejalón	2011	14	28	P-LIB
16	Valdejalón	2011	15	0	SXT
17	Central	2011	1	495348	PP-PAR
17	Central	2011	2	302381	PSOE
17	Central	2011	3	121856	CHA-IU
17	Central	2011	4	28462	UPyD
17	Central	2011	5	10336	EQUO
17	Central	2011	6	8777	PACMA
17	Central	2011	7	11385	Eb
