Año	Comarca código	Comarca nombre	Total	VC Residencial	VC Almacén, estacionamiento	VC Comercial	VC Ocio, hostelería	VC Industrial	VC Cultural	VC Deportivo	VC Oficinas	VC Edificios singulares	VC Religioso	VC Espectáculos	VC Sin definir	VC Suelo vacante	VC Sanidad, benefic
2003	01	La Jacetania	747846	512960											234886		
2003	02	Alto Gállego	448225	270202											178023		
2003	03	Sobrarbe	166704	62042											104662		
2003	04	La Ribagorza	387888	151696											236192		
2003	05	Cinco Villas	467129	284832											182297		
2003	06	Hoya de Huesca / Plana de Uesca	1605645	975952											629693		
2003	07	Somontano de Barbastro	478695	267802											210893		
2003	08	Cinca Medio	297161	191622											105539		
2003	09	La Litera / La Llitera	287893	189217											98676		
2003	10	Los Monegros	321171	176073											145098		
2003	11	Bajo Cinca / Baix Cinca	383961	193823											190138		
2003	12	Tarazona y el Moncayo	184884	122176											62708		
2003	13	Campo de Borja	180296	114886											65410		
2003	14	Aranda	90123	55133											34990		
2003	15	Ribera Alta del Ebro	594615	264093											330522		
2003	16	Valdejalón	348271	210085											138186		
2003	17	Central	19376311	11406955											7969356		
2003	18	Ribera Baja del Ebro	180146	91929											88217		
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	224038	133405											90633		
2003	20	Comunidad de Calatayud	650246	405269											244977		
2003	21	Campo de Cariñena	131525	82906											48619		
2003	22	Campo de Belchite	60872	48443											12429		
2003	23	Bajo Martín	90830	69286											21544		
2003	24	Campo de Daroca	118451	71479											46972		
2003	25	Jiloca	207509	149426											58083		
2003	26	Cuencas Mineras	92584	65941											26643		
2003	27	Andorra-Sierra de Arcos	178693	103879											74814		
2003	28	Bajo Aragón	362824	247650											115174		
2003	29	Comunidad de Teruel	940165	581815											358350		
2003	30	Maestrazgo	46056	32201											13855		
2003	31	Sierra de Albarracín	85795	62843											22952		
2003	32	Gúdar-Javalambre	147498	107757											39741		
2003	33	Matarraña / Matarranya	116823	91252											25571		
2004	01	La Jacetania	795391	548801											246590		
2004	02	Alto Gállego	475902	295295											180607		
2004	03	Sobrarbe	175337	67636											107701		
2004	04	La Ribagorza	408156	164987											243169		
2004	05	Cinco Villas	495810	305885											189925		
2004	06	Hoya de Huesca / Plana de Uesca	1685067	1033537											651530		
2004	07	Somontano de Barbastro	516659	292796											223863		
2004	08	Cinca Medio	314740	205996											108744		
2004	09	La Litera / La Llitera	299432	198274											101158		
2004	10	Los Monegros	346900	191765											155135		
2004	11	Bajo Cinca / Baix Cinca	396472	200636											195836		
2004	12	Tarazona y el Moncayo	200035	132274											67761		
2004	13	Campo de Borja	190859	120305											70554		
2004	14	Aranda	93056	57629											35427		
2004	15	Ribera Alta del Ebro	729735	309440											420295		
2004	16	Valdejalón	378585	220364											158221		
2004	17	Central	20036868	11868881											8167987		
2004	18	Ribera Baja del Ebro	182923	93768											89155		
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	231537	138353											93184		
2004	20	Comunidad de Calatayud	719391	460611											258780		
2004	21	Campo de Cariñena	146309	96600											49709		
2004	22	Campo de Belchite	62064	49511											12553		
2004	23	Bajo Martín	92422	70696											21726		
2004	24	Campo de Daroca	135757	88191											47566		
2004	25	Jiloca	220391	158894											61497		
2004	26	Cuencas Mineras	94798	67603											27195		
2004	27	Andorra-Sierra de Arcos	182907	106522											76385		
2004	28	Bajo Aragón	397530	265975											131555		
2004	29	Comunidad de Teruel	974729	605924											368805		
2004	30	Maestrazgo	47158	32999											14159		
2004	31	Sierra de Albarracín	90131	66114											24017		
2004	32	Gúdar-Javalambre	168793	120593											48200		
2004	33	Matarraña / Matarranya	126851	97222											29629		
2005	01	La Jacetania	842438	591064											251374		
2005	02	Alto Gállego	490760	307832											182928		
2005	03	Sobrarbe	183938	73553											110385		
2005	04	La Ribagorza	425209	174081											251128		
2005	05	Cinco Villas	819961	486571											333390		
2005	06	Hoya de Huesca / Plana de Uesca	1736344	1063734											672610		
2005	07	Somontano de Barbastro	537697	310526											227171		
2005	08	Cinca Medio	323933	213342											110591		
2005	09	La Litera / La Llitera	308061	205207											102854		
2005	10	Los Monegros	372906	205664											167242		
2005	11	Bajo Cinca / Baix Cinca	406511	207999											198512		
2005	12	Tarazona y el Moncayo	204295	135051											69244		
2005	13	Campo de Borja	191475	124705											66770		
2005	14	Aranda	95061	59069											35992		
2005	15	Ribera Alta del Ebro	725452	317522											407930		
2005	16	Valdejalón	513727	235009											278718		
2005	17	Central	20787072	12376972											8410100		
2005	18	Ribera Baja del Ebro	184580	94738											89842		
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	237112	141876											95236		
2005	20	Comunidad de Calatayud	743303	476892											266411		
2005	21	Campo de Cariñena	154093	99332											54761		
2005	22	Campo de Belchite	63335	50522											12813		
2005	23	Bajo Martín	109030	83192											25838		
2005	24	Campo de Daroca	139264	90644											48620		
2005	25	Jiloca	224579	162499											62080		
2005	26	Cuencas Mineras	98329	70302											28027		
2005	27	Andorra-Sierra de Arcos	186529	108565											77964		
2005	28	Bajo Aragón	421636	277299											144337		
2005	29	Comunidad de Teruel	999603	622434											377169		
2005	30	Maestrazgo	48489	33969											14520		
2005	31	Sierra de Albarracín	98775	71932											26843		
2005	32	Gúdar-Javalambre	192222	133886											58336		
2005	33	Matarraña / Matarranya	148353	110651											37702		
2006	01	La Jacetania	900972,38	645884,15	47655,94	42156,89	30743,53	41672,01	5461,89	7147,59	2543,62	2173,39	7163,29	0	255088,23	62896,4	5473,8
2006	02	Alto Gállego	507455,43	324475,71	29904,31	13355,66	25311,6	38313,81	4508,16	12305,47	1732,07	557,14	2229,82	0	182979,72	50604,72	4156,99
2006	03	Sobrarbe	146809,24	97543,57	3947,1	2830,43	15593,43	14656,05	390,96	1610,77	289,82	1380,97	1443,08	0	49265,67	7123,15	0
2006	04	La Ribagorza	407877,05	269787,49	18055,28	9861,1	23968,03	27660,89	5144,01	551,1	264,83	1375,51	5644,33	0	138089,56	45564,64	0
2006	05	Cinco Villas	832248,26	499385,17	32647,09	30633,85	4061,69	129465,01	19767,78	14824,17	5085,11	3864,89	13453,33	3639,41	332863,09	73922,68	1498,23
2006	06	Hoya de Huesca / Plana de Uesca	1701294,36	1081841,74	93511,11	112540,54	13197,26	142907,85	42166,77	37589,62	43909,84	1236,32	24849,47	0	619452,62	77176,17	30367,88
