Año	Votos	Siglas	Candidatura	Provincia código	Provincia nombre
2019	498899	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2019	324740	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	50	Zaragoza
2019	322041	PP	PARTIDO POPULAR	50	Zaragoza
2019	208860	PODEMOS-IU-EQUO	UNIDAS PODEMOS	50	Zaragoza
2019	167615	VOX	VOX	50	Zaragoza
2019	119900	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
2019	84999	PP	PARTIDO POPULAR	22	Huesca
2019	73300	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	44	Teruel
2019	67230	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	22	Huesca
2019	57416	PP	PARTIDO POPULAR	44	Teruel
2019	43583	PODEMOS-IU-EQUO-AAeC	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	22	Huesca
2019	42648	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	44	Teruel
2019	22945	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	50	Zaragoza
2019	21926	PODEMOS-IU-EQUO	UNIDAS PODEMOS	44	Teruel
2019	20138	VOX	VOX	44	Teruel
2019	16050	VOX	VOX	22	Huesca
2019	12688	EB	ESCAÑOS EN BLANCO	50	Zaragoza
2019	5370	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	22	Huesca
2019	5233	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	50	Zaragoza
2019	3473	FIA	FEDERACION DE LOS INDEPENDIENTES DE ARAGON	50	Zaragoza
2019	2948	EB	ESCAÑOS EN BLANCO	22	Huesca
2019	2038	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	44	Teruel
2019	1919	PUM+J	POR UN MUNDO MÁS JUSTO	50	Zaragoza
2019	1773	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	50	Zaragoza
2019	1573	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	50	Zaragoza
2019	1562	EB	ESCAÑOS EN BLANCO	44	Teruel
2019	1442	PYLN	PUYALON	50	Zaragoza
2019	836	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	22	Huesca
2019	729	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	22	Huesca
2019	718	FIA	FEDERACION DE LOS INDEPENDIENTES DE ARAGON	22	Huesca
2019	662	PUM+J	POR UN MUNDO MÁS JUSTO	22	Huesca
2019	574	PYLN	PUYALON	22	Huesca
2019	374	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	44	Teruel
2019	330	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	44	Teruel
2019	284	PYLN	PUYALON	44	Teruel
2019	260	PUM+J	POR UN MUNDO MÁS JUSTO	44	Teruel
2019	0	PODEMOS-IU-EQUO	UNIDAS PODEMOS	22	Huesca
2019	0	PODEMOS-IU-EQUO-AAeC	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	44	Teruel
2019	0	PODEMOS-IU-EQUO-AAeC	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	50	Zaragoza
2019	0	FIA	FEDERACION DE LOS INDEPENDIENTES DE ARAGON	44	Teruel
2019	0	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	22	Huesca
2019	0	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	44	Teruel
2016	522597	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	50	Zaragoza
2016	362470	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2016	273157	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN	50	Zaragoza
2016	196150	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	50	Zaragoza
2016	123655	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	22	Huesca
2016	89939	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
2016	89899	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	44	Teruel
2016	58446	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	44	Teruel
