Mes y año	Provincia código	Provincia nombre	Edad (Grupos Quinquenales 2010)	Sexo	Afiliaciones en alta
Diciembre 2020	22	Huesca	16-19	Hombres	33
Diciembre 2020	22	Huesca	16-19	Mujeres	13
Diciembre 2020	22	Huesca	20-24	Hombres	277
Diciembre 2020	22	Huesca	20-24	Mujeres	76
Diciembre 2020	22	Huesca	25-29	Hombres	593
Diciembre 2020	22	Huesca	25-29	Mujeres	255
Diciembre 2020	22	Huesca	30-34	Hombres	868
Diciembre 2020	22	Huesca	30-34	Mujeres	497
Diciembre 2020	22	Huesca	35-39	Hombres	1356
Diciembre 2020	22	Huesca	35-39	Mujeres	697
Diciembre 2020	22	Huesca	40-44	Hombres	1994
Diciembre 2020	22	Huesca	40-44	Mujeres	971
Diciembre 2020	22	Huesca	45-49	Hombres	2146
Diciembre 2020	22	Huesca	45-49	Mujeres	1110
Diciembre 2020	22	Huesca	50-54	Hombres	2220
Diciembre 2020	22	Huesca	50-54	Mujeres	1155
Diciembre 2020	22	Huesca	55-59	Hombres	2218
Diciembre 2020	22	Huesca	55-59	Mujeres	1145
Diciembre 2020	22	Huesca	60-64	Hombres	1800
Diciembre 2020	22	Huesca	60-64	Mujeres	913
Diciembre 2020	22	Huesca	65-69	Hombres	571
Diciembre 2020	22	Huesca	65-69	Mujeres	309
Diciembre 2020	22	Huesca	Más de 69	Hombres	317
Diciembre 2020	22	Huesca	Más de 69	Mujeres	113
Diciembre 2020	22	Huesca	Sin clasificar	Hombres	1
Diciembre 2020	44	Teruel	16-19	Hombres	22
Diciembre 2020	44	Teruel	16-19	Mujeres	7
Diciembre 2020	44	Teruel	20-24	Hombres	183
Diciembre 2020	44	Teruel	20-24	Mujeres	43
Diciembre 2020	44	Teruel	25-29	Hombres	383
Diciembre 2020	44	Teruel	25-29	Mujeres	191
Diciembre 2020	44	Teruel	30-34	Hombres	624
Diciembre 2020	44	Teruel	30-34	Mujeres	319
Diciembre 2020	44	Teruel	35-39	Hombres	828
Diciembre 2020	44	Teruel	35-39	Mujeres	453
Diciembre 2020	44	Teruel	40-44	Hombres	1068
Diciembre 2020	44	Teruel	40-44	Mujeres	507
Diciembre 2020	44	Teruel	45-49	Hombres	1284
Diciembre 2020	44	Teruel	45-49	Mujeres	635
Diciembre 2020	44	Teruel	50-54	Hombres	1376
Diciembre 2020	44	Teruel	50-54	Mujeres	717
Diciembre 2020	44	Teruel	55-59	Hombres	1455
Diciembre 2020	44	Teruel	55-59	Mujeres	809
