Año	Empleo	Código	Comarca
2018	6820	01	La Jacetania
2018	6208	02	Alto Gállego
2018	2700	03	Sobrarbe
2018	5692	04	La Ribagorza
2018	12532	05	Cinco Villas
2018	36905	06	Hoya de Huesca / Plana de Uesca
2018	10760	07	Somontano de Barbastro
2018	9621	08	Cinca Medio
2018	8438	09	La Litera / La Llitera
2018	6994	10	Los Monegros
2018	12186	11	Bajo Cinca / Baix Cinca
2018	4429	12	Tarazona y el Moncayo
2018	5369	13	Campo de Borja
2018	2124	14	Aranda
2018	20670	15	Ribera Alta del Ebro
2018	14539	16	Valdejalón
2018	351893	17	Central
2018	3747	18	Ribera Baja del Ebro
2018	5608	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	11358	20	Comunidad de Calatayud
2018	5080	21	Campo de Cariñena
2018	1320	22	Campo de Belchite
2018	2705	23	Bajo Martín
2018	2123	24	Campo de Daroca
2018	3895	25	Jiloca
2018	2476	26	Cuencas Mineras
2018	3064	27	Andorra-Sierra de Arcos
2018	11157	28	Bajo Aragón
2018	26500	29	Comunidad de Teruel
2018	1061	30	Maestrazgo
2018	1260	31	Sierra de Albarracín
2018	3181	32	Gúdar-Javalambre
2018	3379	33	Matarraña / Matarranya
2017	6737	01	La Jacetania
2017	6098	02	Alto Gállego
2017	2661	03	Sobrarbe
2017	5611	04	La Ribagorza
2017	12393	05	Cinco Villas
2017	36431	06	Hoya de Huesca / Plana de Uesca
2017	10743	07	Somontano de Barbastro
2017	9463	08	Cinca Medio
2017	8394	09	La Litera / La Llitera
2017	6945	10	Los Monegros
2017	12067	11	Bajo Cinca / Baix Cinca
2017	4457	12	Tarazona y el Moncayo
2017	5040	13	Campo de Borja
2017	1994	14	Aranda
2017	20618	15	Ribera Alta del Ebro
2017	14298	16	Valdejalón
2017	345423	17	Central
2017	3647	18	Ribera Baja del Ebro
2017	5593	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	11134	20	Comunidad de Calatayud
2017	5188	21	Campo de Cariñena
2017	1275	22	Campo de Belchite
2017	2686	23	Bajo Martín
2017	2052	24	Campo de Daroca
2017	3796	25	Jiloca
2017	2414	26	Cuencas Mineras
2017	2814	27	Andorra-Sierra de Arcos
2017	10885	28	Bajo Aragón
2017	26114	29	Comunidad de Teruel
2017	1010	30	Maestrazgo
2017	1214	31	Sierra de Albarracín
2017	3142	32	Gúdar-Javalambre
2017	3265	33	Matarraña / Matarranya
2016	6566	01	La Jacetania
2016	6106	02	Alto Gállego
2016	2590	03	Sobrarbe
2016	5578	04	La Ribagorza
2016	12143	05	Cinco Villas
2016	35113	06	Hoya de Huesca / Plana de Uesca
2016	10310	07	Somontano de Barbastro
2016	9367	08	Cinca Medio
2016	8108	09	La Litera / La Llitera
2016	6839	10	Los Monegros
2016	11990	11	Bajo Cinca / Baix Cinca
2016	4257	12	Tarazona y el Moncayo
2016	5367	13	Campo de Borja
2016	2064	14	Aranda
2016	19604	15	Ribera Alta del Ebro
2016	14246	16	Valdejalón
2016	336074	17	Central
2016	3577	18	Ribera Baja del Ebro
2016	5454	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	10993	20	Comunidad de Calatayud
2016	4988	21	Campo de Cariñena
2016	1277	22	Campo de Belchite
2016	2580	23	Bajo Martín
2016	2087	24	Campo de Daroca
2016	3671	25	Jiloca
2016	2292	26	Cuencas Mineras
2016	2885	27	Andorra-Sierra de Arcos
2016	10574	28	Bajo Aragón
2016	25130	29	Comunidad de Teruel
2016	1004	30	Maestrazgo
2016	1203	31	Sierra de Albarracín
2016	3033	32	Gúdar-Javalambre
2016	3231	33	Matarraña / Matarranya
2015	6274	01	La Jacetania
2015	5612	02	Alto Gállego
2015	2493	03	Sobrarbe
2015	5146	04	La Ribagorza
2015	11428	05	Cinco Villas
2015	34401	06	Hoya de Huesca / Plana de Uesca
2015	9843	07	Somontano de Barbastro
2015	8787	08	Cinca Medio
2015	7714	09	La Litera / La Llitera
2015	6287	10	Los Monegros
2015	10933	11	Bajo Cinca / Baix Cinca
2015	4006	12	Tarazona y el Moncayo
2015	5003	13	Campo de Borja
2015	2032	14	Aranda
2015	19101	15	Ribera Alta del Ebro
2015	13204	16	Valdejalón
2015	328569	17	Central
2015	3529	18	Ribera Baja del Ebro
2015	5055	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	10475	20	Comunidad de Calatayud
2015	4423	21	Campo de Cariñena
2015	1234	22	Campo de Belchite
2015	2496	23	Bajo Martín
2015	1953	24	Campo de Daroca
2015	3699	25	Jiloca
2015	2394	26	Cuencas Mineras
2015	3089	27	Andorra-Sierra de Arcos
2015	10540	28	Bajo Aragón
2015	24824	29	Comunidad de Teruel
2015	1026	30	Maestrazgo
2015	1197	31	Sierra de Albarracín
2015	2953	32	Gúdar-Javalambre
2015	3181	33	Matarraña / Matarranya
2014	6379	01	La Jacetania
