Año	Residencia comarca código	Residencia comarca nombre	Relación lugar de residencia y nacimiento	Sexo	Extranjeros
1998	01	La Jacetania	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	01	La Jacetania	2 - Misma CA, misma provincia y distinto municipio	Hombres	4
1998	01	La Jacetania	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1998	01	La Jacetania	3 - Misma CA y distinta provincia	Hombres	2
1998	01	La Jacetania	4 - Distinta CA	Hombres	3
1998	01	La Jacetania	4 - Distinta CA	Mujeres	2
1998	01	La Jacetania	5 - Nacidos en el extranjero	Hombres	37
1998	01	La Jacetania	5 - Nacidos en el extranjero	Mujeres	48
1998	02	Alto Gállego	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	02	Alto Gállego	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	02	Alto Gállego	5 - Nacidos en el extranjero	Hombres	23
1998	02	Alto Gállego	5 - Nacidos en el extranjero	Mujeres	33
1998	03	Sobrarbe	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	03	Sobrarbe	1 - Misma CA, misma provincia y mismo municipio	Mujeres	2
1998	03	Sobrarbe	2 - Misma CA, misma provincia y distinto municipio	Hombres	3
1998	03	Sobrarbe	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	03	Sobrarbe	5 - Nacidos en el extranjero	Hombres	42
1998	03	Sobrarbe	5 - Nacidos en el extranjero	Mujeres	35
1998	04	La Ribagorza	2 - Misma CA, misma provincia y distinto municipio	Hombres	2
1998	04	La Ribagorza	5 - Nacidos en el extranjero	Hombres	39
1998	04	La Ribagorza	5 - Nacidos en el extranjero	Mujeres	33
1998	05	Cinco Villas	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	05	Cinco Villas	5 - Nacidos en el extranjero	Hombres	42
1998	05	Cinco Villas	5 - Nacidos en el extranjero	Mujeres	28
1998	06	Hoya de Huesca / Plana de Uesca	1 - Misma CA, misma provincia y mismo municipio	Hombres	12
1998	06	Hoya de Huesca / Plana de Uesca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	5
1998	06	Hoya de Huesca / Plana de Uesca	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	4 - Distinta CA	Hombres	2
1998	06	Hoya de Huesca / Plana de Uesca	4 - Distinta CA	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	5 - Nacidos en el extranjero	Hombres	147
1998	06	Hoya de Huesca / Plana de Uesca	5 - Nacidos en el extranjero	Mujeres	140
1998	07	Somontano de Barbastro	1 - Misma CA, misma provincia y mismo municipio	Hombres	3
1998	07	Somontano de Barbastro	1 - Misma CA, misma provincia y mismo municipio	Mujeres	7
1998	07	Somontano de Barbastro	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	07	Somontano de Barbastro	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	07	Somontano de Barbastro	4 - Distinta CA	Hombres	3
1998	07	Somontano de Barbastro	4 - Distinta CA	Mujeres	3
1998	07	Somontano de Barbastro	5 - Nacidos en el extranjero	Hombres	82
1998	07	Somontano de Barbastro	5 - Nacidos en el extranjero	Mujeres	80
1998	08	Cinca Medio	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	08	Cinca Medio	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1998	08	Cinca Medio	4 - Distinta CA	Hombres	1
1998	08	Cinca Medio	4 - Distinta CA	Mujeres	3
1998	08	Cinca Medio	5 - Nacidos en el extranjero	Hombres	99
1998	08	Cinca Medio	5 - Nacidos en el extranjero	Mujeres	47
1998	09	La Litera / La Llitera	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	09	La Litera / La Llitera	2 - Misma CA, misma provincia y distinto municipio	Hombres	2
1998	09	La Litera / La Llitera	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	09	La Litera / La Llitera	4 - Distinta CA	Hombres	6
1998	09	La Litera / La Llitera	4 - Distinta CA	Mujeres	2
1998	09	La Litera / La Llitera	5 - Nacidos en el extranjero	Hombres	69
1998	09	La Litera / La Llitera	5 - Nacidos en el extranjero	Mujeres	52
1998	10	Los Monegros	1 - Misma CA, misma provincia y mismo municipio	Hombres	3
1998	10	Los Monegros	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	10	Los Monegros	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	10	Los Monegros	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1998	10	Los Monegros	5 - Nacidos en el extranjero	Hombres	56
1998	10	Los Monegros	5 - Nacidos en el extranjero	Mujeres	63
1998	11	Bajo Cinca / Baix Cinca	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	11	Bajo Cinca / Baix Cinca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	6
1998	11	Bajo Cinca / Baix Cinca	4 - Distinta CA	Hombres	1
1998	11	Bajo Cinca / Baix Cinca	5 - Nacidos en el extranjero	Hombres	52
1998	11	Bajo Cinca / Baix Cinca	5 - Nacidos en el extranjero	Mujeres	15
1998	12	Tarazona y el Moncayo	1 - Misma CA, misma provincia y mismo municipio	Hombres	2
1998	12	Tarazona y el Moncayo	1 - Misma CA, misma provincia y mismo municipio	Mujeres	2
1998	12	Tarazona y el Moncayo	5 - Nacidos en el extranjero	Hombres	21
1998	12	Tarazona y el Moncayo	5 - Nacidos en el extranjero	Mujeres	10
