Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2019	22	Huesca	253	Leves	1	01	General
2019	22	Huesca	5	Leves	1	05	Trabajadores Autónomos
2019	44	Teruel	95	Leves	1	01	General
2019	44	Teruel	3	Leves	1	05	Trabajadores Autónomos
2019	50	Zaragoza	1755	Leves	1	01	General
2019	50	Zaragoza	48	Leves	1	05	Trabajadores Autónomos
2018	22	Huesca	219	Leves	1	01	General
2018	22	Huesca	1	Leves	1	05	Trabajadores Autónomos
2018	44	Teruel	103	Leves	1	01	General
2018	44	Teruel	1	Leves	1	05	Trabajadores Autónomos
2018	50	Zaragoza	1750	Leves	1	01	General
2018	50	Zaragoza	6	Leves	1	05	Trabajadores Autónomos
2017	22	Huesca	207	Leves	1	01	General
2017	44	Teruel	102	Leves	1	01	General
2017	50	Zaragoza	1673	Leves	1	01	General
2016	22	Huesca	167	Leves	1	01	General
2016	44	Teruel	106	Leves	1	01	General
2016	50	Zaragoza	1489	Leves	1	01	General
2015	22	Huesca	176	Leves	1	01	General
2015	44	Teruel	63	Leves	1	01	General
2015	44	Teruel	1	Leves	1	05	Trabajadores Autónomos
2015	50	Zaragoza	1368	Leves	1	01	General
2015	50	Zaragoza	3	Leves	1	05	Trabajadores Autónomos
2014	22	Huesca	146	Leves	1	01	General
2014	44	Teruel	71	Leves	1	01	General
2014	50	Zaragoza	1315	Leves	1	01	General
2014	50	Zaragoza	5	Leves	1	05	Trabajadores Autónomos
2013	22	Huesca	166	Leves	1	01	General
2013	44	Teruel	90	Leves	1	01	General
2013	50	Zaragoza	1339	Leves	1	01	General
2013	50	Zaragoza	1	Leves	1	05	Trabajadores Autónomos
2012	22	Huesca	142	Leves	1	01	General
2012	22	Huesca	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012	44	Teruel	66	Leves	1	01	General
2012	50	Zaragoza	1149	Leves	1	01	General
2012	50	Zaragoza	1	Leves	1	05	Trabajadores Autónomos
2012	50	Zaragoza	3	Leves	1	06	Especial Agrario Cuenta Ajena
2011	22	Huesca	140	Leves	1	01	General
2011	22	Huesca	5	Leves	1	06	Especial Agrario Cuenta Ajena
2011	44	Teruel	67	Leves	1	01	General
2011	44	Teruel	1	Leves	1	06	Especial Agrario Cuenta Ajena
2011	50	Zaragoza	1392	Leves	1	01	General
2011	50	Zaragoza	2	Leves	1	05	Trabajadores Autónomos
2011	50	Zaragoza	6	Leves	1	06	Especial Agrario Cuenta Ajena
2010	22	Huesca	196	Leves	1	01	General
2010	22	Huesca	1	Leves	1	05	Trabajadores Autónomos
2010	22	Huesca	3	Leves	1	06	Especial Agrario Cuenta Ajena
2010	44	Teruel	121	Leves	1	01	General
2010	44	Teruel	1	Leves	1	05	Trabajadores Autónomos
2010	44	Teruel	1	Leves	1	06	Especial Agrario Cuenta Ajena
2010	44	Teruel	1	Leves	1	09	Especial Minería del Carbón
2010	50	Zaragoza	1559	Leves	1	01	General
2010	50	Zaragoza	7	Leves	1	06	Especial Agrario Cuenta Ajena
2009	22	Huesca	199	Leves	1	01	General
2009	22	Huesca	1	Leves	1	05	Trabajadores Autónomos
2009	22	Huesca	3	Leves	1	06	Especial Agrario Cuenta Ajena
2009	44	Teruel	97	Leves	1	01	General
2009	44	Teruel	1	Leves	1	05	Trabajadores Autónomos
2009	44	Teruel	4	Leves	1	06	Especial Agrario Cuenta Ajena
2009	44	Teruel	1	Leves	1	09	Especial Minería del Carbón
2009	50	Zaragoza	1487	Leves	1	01	General
2009	50	Zaragoza	2	Leves	1	05	Trabajadores Autónomos
2009	50	Zaragoza	13	Leves	1	06	Especial Agrario Cuenta Ajena
2019	22	Huesca	2	Graves o muy graves	2	01	General
2019	44	Teruel	3	Graves o muy graves	2	01	General
2019	44	Teruel	1	Graves o muy graves	2	05	Trabajadores Autónomos
2019	50	Zaragoza	9	Graves o muy graves	2	01	General
2019	50	Zaragoza	1	Graves o muy graves	2	05	Trabajadores Autónomos
2018	22	Huesca	1	Graves o muy graves	2	01	General
2018	50	Zaragoza	7	Graves o muy graves	2	01	General
2017	22	Huesca	7	Graves o muy graves	2	01	General
2017	50	Zaragoza	21	Graves o muy graves	2	01	General
2016	22	Huesca	3	Graves o muy graves	2	01	General
2016	44	Teruel	2	Graves o muy graves	2	01	General
2016	50	Zaragoza	10	Graves o muy graves	2	01	General
2015	22	Huesca	3	Graves o muy graves	2	01	General
2015	50	Zaragoza	14	Graves o muy graves	2	01	General
2014	44	Teruel	1	Graves o muy graves	2	01	General
2014	50	Zaragoza	7	Graves o muy graves	2	01	General
2013	22	Huesca	5	Graves o muy graves	2	01	General
2013	50	Zaragoza	9	Graves o muy graves	2	01	General
2013	50	Zaragoza	1	Graves o muy graves	2	05	Trabajadores Autónomos
2012	22	Huesca	2	Graves o muy graves	2	01	General
2012	44	Teruel	1	Graves o muy graves	2	01	General
2012	50	Zaragoza	5	Graves o muy graves	2	01	General
2011	22	Huesca	7	Graves o muy graves	2	01	General
2011	50	Zaragoza	8	Graves o muy graves	2	01	General
2011	50	Zaragoza	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2010	22	Huesca	7	Graves o muy graves	2	01	General
2010	22	Huesca	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2010	44	Teruel	3	Graves o muy graves	2	01	General
2010	50	Zaragoza	26	Graves o muy graves	2	01	General
2009	22	Huesca	2	Graves o muy graves	2	01	General
2009	44	Teruel	6	Graves o muy graves	2	01	General
2009	50	Zaragoza	10	Graves o muy graves	2	01	General
2019	22	Huesca	1	Mortales	3	05	Trabajadores Autónomos
2019	50	Zaragoza	2	Mortales	3	01	General
2018	22	Huesca	1	Mortales	3	01	General
2018	44	Teruel	2	Mortales	3	01	General
2018	50	Zaragoza	8	Mortales	3	01	General
2017	44	Teruel	1	Mortales	3	01	General
2017	50	Zaragoza	2	Mortales	3	01	General
2016	50	Zaragoza	2	Mortales	3	01	General
2015	50	Zaragoza	1	Mortales	3	01	General
2014	22	Huesca	2	Mortales	3	01	General
2014	44	Teruel	1	Mortales	3	01	General
2013	22	Huesca	2	Mortales	3	01	General
2013	50	Zaragoza	2	Mortales	3	01	General
2011	44	Teruel	1	Mortales	3	01	General
2011	50	Zaragoza	3	Mortales	3	01	General
2010	44	Teruel	1	Mortales	3	01	General
2010	50	Zaragoza	4	Mortales	3	01	General
2010	50	Zaragoza	1	Mortales	3	06	Especial Agrario Cuenta Ajena
2009	22	Huesca	1	Mortales	3	01	General
2009	22	Huesca	1	Mortales	3	06	Especial Agrario Cuenta Ajena
2009	44	Teruel	1	Mortales	3	01	General
2009	50	Zaragoza	4	Mortales	3	01	General
