Comarca código	Comarca nombre	Edad (grupos quinquenales)	Sexo	Personas
01	La Jacetania	00 a 04	Mujeres	332
01	La Jacetania	05 a 09	Mujeres	308
01	La Jacetania	10 a 14	Mujeres	333
01	La Jacetania	15 a 19	Mujeres	390
01	La Jacetania	20 a 24	Mujeres	523
01	La Jacetania	25 a 29	Mujeres	593
01	La Jacetania	30 a 34	Mujeres	612
01	La Jacetania	35 a 39	Mujeres	714
01	La Jacetania	40 a 44	Mujeres	628
01	La Jacetania	45 a 49	Mujeres	459
01	La Jacetania	50 a 54	Mujeres	433
01	La Jacetania	55 a 59	Mujeres	406
01	La Jacetania	60 a 64	Mujeres	342
01	La Jacetania	65 a 69	Mujeres	521
01	La Jacetania	70 a 74	Mujeres	550
01	La Jacetania	75 a 79	Mujeres	424
01	La Jacetania	80 a 84	Mujeres	316
01	La Jacetania	85 a 90	Mujeres	215
01	La Jacetania	90 ó más	Mujeres	109
01	La Jacetania	00 a 04	Hombres	356
01	La Jacetania	05 a 09	Hombres	361
01	La Jacetania	10 a 14	Hombres	383
01	La Jacetania	15 a 19	Hombres	430
01	La Jacetania	20 a 24	Hombres	550
01	La Jacetania	25 a 29	Hombres	632
01	La Jacetania	30 a 34	Hombres	673
01	La Jacetania	35 a 39	Hombres	721
01	La Jacetania	40 a 44	Hombres	710
01	La Jacetania	45 a 49	Hombres	595
01	La Jacetania	50 a 54	Hombres	462
01	La Jacetania	55 a 59	Hombres	457
01	La Jacetania	60 a 64	Hombres	415
01	La Jacetania	65 a 69	Hombres	489
01	La Jacetania	70 a 74	Hombres	475
01	La Jacetania	75 a 79	Hombres	386
01	La Jacetania	80 a 84	Hombres	203
01	La Jacetania	85 a 90	Hombres	118
01	La Jacetania	90 ó más	Hombres	52
02	Alto Gállego	00 a 04	Mujeres	269
02	Alto Gállego	05 a 09	Mujeres	209
02	Alto Gállego	10 a 14	Mujeres	243
02	Alto Gállego	15 a 19	Mujeres	295
02	Alto Gállego	20 a 24	Mujeres	396
02	Alto Gállego	25 a 29	Mujeres	397
02	Alto Gállego	30 a 34	Mujeres	513
02	Alto Gállego	35 a 39	Mujeres	466
02	Alto Gállego	40 a 44	Mujeres	485
02	Alto Gállego	45 a 49	Mujeres	395
02	Alto Gállego	50 a 54	Mujeres	291
02	Alto Gállego	55 a 59	Mujeres	328
02	Alto Gállego	60 a 64	Mujeres	294
02	Alto Gállego	65 a 69	Mujeres	363
02	Alto Gállego	70 a 74	Mujeres	420
02	Alto Gállego	75 a 79	Mujeres	269
02	Alto Gállego	80 a 84	Mujeres	188
02	Alto Gállego	85 a 90	Mujeres	108
02	Alto Gállego	90 ó más	Mujeres	61
02	Alto Gállego	00 a 04	Hombres	240
02	Alto Gállego	05 a 09	Hombres	249
02	Alto Gállego	10 a 14	Hombres	248
02	Alto Gállego	15 a 19	Hombres	337
02	Alto Gállego	20 a 24	Hombres	427
02	Alto Gállego	25 a 29	Hombres	442
02	Alto Gállego	30 a 34	Hombres	473
02	Alto Gállego	35 a 39	Hombres	550
02	Alto Gállego	40 a 44	Hombres	545
02	Alto Gállego	45 a 49	Hombres	430
02	Alto Gállego	50 a 54	Hombres	362
02	Alto Gállego	55 a 59	Hombres	311
02	Alto Gállego	60 a 64	Hombres	243
02	Alto Gállego	65 a 69	Hombres	404
02	Alto Gállego	70 a 74	Hombres	410
02	Alto Gállego	75 a 79	Hombres	290
02	Alto Gállego	80 a 84	Hombres	141
02	Alto Gállego	85 a 90	Hombres	54
02	Alto Gállego	90 ó más	Hombres	30
03	Sobrarbe	00 a 04	Mujeres	133
03	Sobrarbe	05 a 09	Mujeres	116
03	Sobrarbe	10 a 14	Mujeres	122
03	Sobrarbe	15 a 19	Mujeres	143
03	Sobrarbe	20 a 24	Mujeres	157
03	Sobrarbe	25 a 29	Mujeres	204
03	Sobrarbe	30 a 34	Mujeres	210
03	Sobrarbe	35 a 39	Mujeres	246
03	Sobrarbe	40 a 44	Mujeres	212
03	Sobrarbe	45 a 49	Mujeres	206
03	Sobrarbe	50 a 54	Mujeres	176
03	Sobrarbe	55 a 59	Mujeres	150
03	Sobrarbe	60 a 64	Mujeres	147
03	Sobrarbe	65 a 69	Mujeres	225
03	Sobrarbe	70 a 74	Mujeres	233
03	Sobrarbe	75 a 79	Mujeres	218
03	Sobrarbe	80 a 84	Mujeres	132
03	Sobrarbe	85 a 90	Mujeres	107
03	Sobrarbe	90 ó más	Mujeres	58
03	Sobrarbe	00 a 04	Hombres	131
03	Sobrarbe	05 a 09	Hombres	118
03	Sobrarbe	10 a 14	Hombres	126
03	Sobrarbe	15 a 19	Hombres	138
03	Sobrarbe	20 a 24	Hombres	186
03	Sobrarbe	25 a 29	Hombres	228
03	Sobrarbe	30 a 34	Hombres	264
03	Sobrarbe	35 a 39	Hombres	302
03	Sobrarbe	40 a 44	Hombres	315
03	Sobrarbe	45 a 49	Hombres	301
03	Sobrarbe	50 a 54	Hombres	206
03	Sobrarbe	55 a 59	Hombres	205
03	Sobrarbe	60 a 64	Hombres	150
03	Sobrarbe	65 a 69	Hombres	262
03	Sobrarbe	70 a 74	Hombres	239
03	Sobrarbe	75 a 79	Hombres	214
03	Sobrarbe	80 a 84	Hombres	115
03	Sobrarbe	85 a 90	Hombres	76
03	Sobrarbe	90 ó más	Hombres	32
04	La Ribagorza	00 a 04	Mujeres	195
04	La Ribagorza	05 a 09	Mujeres	189
04	La Ribagorza	10 a 14	Mujeres	194
04	La Ribagorza	15 a 19	Mujeres	238
04	La Ribagorza	20 a 24	Mujeres	307
04	La Ribagorza	25 a 29	Mujeres	347
04	La Ribagorza	30 a 34	Mujeres	437
04	La Ribagorza	35 a 39	Mujeres	388
04	La Ribagorza	40 a 44	Mujeres	396
04	La Ribagorza	45 a 49	Mujeres	291
04	La Ribagorza	50 a 54	Mujeres	331
04	La Ribagorza	55 a 59	Mujeres	263
04	La Ribagorza	60 a 64	Mujeres	268
04	La Ribagorza	65 a 69	Mujeres	412
04	La Ribagorza	70 a 74	Mujeres	421
04	La Ribagorza	75 a 79	Mujeres	388
04	La Ribagorza	80 a 84	Mujeres	309
04	La Ribagorza	85 a 90	Mujeres	204
04	La Ribagorza	90 ó más	Mujeres	105
04	La Ribagorza	00 a 04	Hombres	204
04	La Ribagorza	05 a 09	Hombres	213
04	La Ribagorza	10 a 14	Hombres	241
04	La Ribagorza	15 a 19	Hombres	253
04	La Ribagorza	20 a 24	Hombres	306
04	La Ribagorza	25 a 29	Hombres	426
04	La Ribagorza	30 a 34	Hombres	451
04	La Ribagorza	35 a 39	Hombres	522
04	La Ribagorza	40 a 44	Hombres	479
04	La Ribagorza	45 a 49	Hombres	406
04	La Ribagorza	50 a 54	Hombres	382
04	La Ribagorza	55 a 59	Hombres	298
04	La Ribagorza	60 a 64	Hombres	274
04	La Ribagorza	65 a 69	Hombres	402
04	La Ribagorza	70 a 74	Hombres	378
04	La Ribagorza	75 a 79	Hombres	408
04	La Ribagorza	80 a 84	Hombres	254
04	La Ribagorza	85 a 90	Hombres	150
04	La Ribagorza	90 ó más	Hombres	62
05	Cinco Villas	00 a 04	Mujeres	587
05	Cinco Villas	05 a 09	Mujeres	614
05	Cinco Villas	10 a 14	Mujeres	719
05	Cinco Villas	15 a 19	Mujeres	794
05	Cinco Villas	20 a 24	Mujeres	1013
05	Cinco Villas	25 a 29	Mujeres	1069
05	Cinco Villas	30 a 34	Mujeres	1098
