Año	Superficie certificaciones privadas	Superficie sin clasificar	Provincia código	Provincia nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas
2011	502,54	817,6	22	Huesca	6837,5396	3855,2459	772,4572	889,6965
2011	3,74	518,892	44	Teruel	12517,8457	8855,7377	2146,9765	992,4995
2011	1507,967	677,0493	50	Zaragoza	41532,9865	35384,6761	2025,7209	1937,5732
2012	516,21	65,1786	22	Huesca	6709,2368	4500,2964	588,4143	1039,1375
2012	3,74	226,7851	44	Teruel	12135,0347	9852,924	1611,5156	440,07
2012	1614,087	301,3638	50	Zaragoza	41333,2383	35182,0737	2185,3442	2050,3696
2013	1902,29	21,8206	22	Huesca	6301,6175	3223,9309	1087,6257	65,9503
2013	686,5	129,9336	44	Teruel	11031,6125	9292,8177	495,6401	426,7211
2013	11698,4373	790,5988	50	Zaragoza	39574,4333	24227,2306	1610,2593	1247,9073
2014	1701,22	97,29	22	Huesca	5618,5061	3541,8671	155,889	122,24
2014	667,6614	499,0978	44	Teruel	10984,6967	8800,7771	460,7221	556,4383
2014	10810,8657	1069,4338	50	Zaragoza	35739,6718	21601,6112	1073,4712	1184,2899
2015	1696,72	437,3697	22	Huesca	5161,6013	2709,1809	90,3189	228,0118
2015	780,7619	1129,3241	44	Teruel	12129,6603	9253,2566	364,1655	602,1522
2015	10865,7464	2183,4854	50	Zaragoza	36294,1401	21337,9799	998,9648	907,9636
2016	1599,51	0	22	Huesca	6407,8693	2552,4745	1491,8795	764,0053
2016	1130,56	0	44	Teruel	15116,9528	9125,103	3771,6101	1089,6797
2016	9221,9249	0	50	Zaragoza	33427,4761	19863,1837	3394,7369	947,6306
2017	1680,78	0	22	Huesca	6260,8295	3758,0285	221,0009	601,0201
2017	1807,34	0	44	Teruel	16457,4196	12020,2368	1421,3968	1208,446
2017	10193,8502	0	50	Zaragoza	35078,696	20621,3169	2561,7703	1701,7586
2018	1826,4864	0	22	Huesca	6413,0836	3870,2493	443,7944	272,5535
2018	1917,97	0	44	Teruel	19442,9119	13727,9062	834,3991	2962,6366
2018	11003,9042	0	50	Zaragoza	35518,4362	21259,2032	1495,2649	1760,0639
