Comarca código	Comarca nombre	Situación preferente	Personas residentes viviendas familiares
01	La Jacetania	Estudiantes	2985
01	La Jacetania	Ocupados	7005
01	La Jacetania	Parados buscando el primer empleo	132
01	La Jacetania	Parados que han trabajado antes	533
01	La Jacetania	Pensionistas de invalidez	307
01	La Jacetania	Pensionistas de viudedad u orfandad	739
01	La Jacetania	Pensionistas de jubilación	2316
01	La Jacetania	Realizando tareas de voluntariado	11
01	La Jacetania	Dependientes	34
01	La Jacetania	Realizando o compartiendo las labores del hogar	1978
01	La Jacetania	Otra situación	404
02	Alto Gállego	Estudiantes	2121
02	Alto Gállego	Ocupados	5036
02	Alto Gállego	Parados buscando el primer empleo	69
02	Alto Gállego	Parados que han trabajado antes	406
02	Alto Gállego	Pensionistas de invalidez	209
02	Alto Gállego	Pensionistas de viudedad u orfandad	522
02	Alto Gállego	Pensionistas de jubilación	1789
02	Alto Gállego	Realizando tareas de voluntariado	1
02	Alto Gállego	Dependientes	44
02	Alto Gállego	Realizando o compartiendo las labores del hogar	1618
02	Alto Gállego	Otra situación	270
03	Sobrarbe	Estudiantes	1031
03	Sobrarbe	Ocupados	2787
03	Sobrarbe	Parados buscando el primer empleo	37
03	Sobrarbe	Parados que han trabajado antes	157
03	Sobrarbe	Pensionistas de invalidez	85
03	Sobrarbe	Pensionistas de viudedad u orfandad	381
03	Sobrarbe	Pensionistas de jubilación	1163
03	Sobrarbe	Realizando tareas de voluntariado	1
03	Sobrarbe	Dependientes	16
03	Sobrarbe	Realizando o compartiendo las labores del hogar	935
03	Sobrarbe	Otra situación	141
04	La Ribagorza	Estudiantes	1691
04	La Ribagorza	Ocupados	4741
04	La Ribagorza	Parados buscando el primer empleo	77
04	La Ribagorza	Parados que han trabajado antes	326
04	La Ribagorza	Pensionistas de invalidez	187
04	La Ribagorza	Pensionistas de viudedad u orfandad	821
04	La Ribagorza	Pensionistas de jubilación	2026
04	La Ribagorza	Realizando tareas de voluntariado	4
04	La Ribagorza	Dependientes	23
04	La Ribagorza	Realizando o compartiendo las labores del hogar	1427
04	La Ribagorza	Otra situación	264
05	Cinco Villas	Estudiantes	5353
05	Cinco Villas	Ocupados	13296
05	Cinco Villas	Parados buscando el primer empleo	283
