Provincia código	Provincia nombre	Horas trabajadas	Personas residentes viviendas familiares
22	Huesca	01-10	1394
22	Huesca	11-20	3089
22	Huesca	21-30	3902
22	Huesca	31-40	59010
22	Huesca	41-50	11283
22	Huesca	Más de 50	5644
44	Teruel	01-10	719
44	Teruel	11-20	1767
44	Teruel	21-30	2167
44	Teruel	31-40	35948
44	Teruel	41-50	6599
44	Teruel	Más de 50	3424
50	Zaragoza	01-10	8828
50	Zaragoza	11-20	15513
50	Zaragoza	21-30	18267
50	Zaragoza	31-40	263909
50	Zaragoza	41-50	38521
50	Zaragoza	Más de 50	15785
