Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22001	Abiego	2008	292	249	197	52	3	1	193	79,1164658634538
22001	Abiego	2011	281	242	172	70	4	7	161	71,0743801652893
22001	Abiego	2015	267	226	165	61	3	2	160	73,0088495575221
22001	Abiego	2016	253	225	147	78	3	3	141	65,3333333333333
22002	Abizanda	2008	133	111	97	14	1	2	94	87,3873873873874
22002	Abizanda	2011	132	107	84	23	0	6	78	78,5046728971963
22002	Abizanda	2015	140	109	94	15	1	1	92	86,2385321100917
22002	Abizanda	2016	142	107	95	12	1	2	92	88,785046728972
22003	Adahuesca	2008	169	139	115	24	3	1	111	82,7338129496403
22003	Adahuesca	2011	166	148	116	32	1	6	109	78,3783783783784
22003	Adahuesca	2015	172	143	118	25	0	3	115	82,5174825174825
22003	Adahuesca	2016	173	137	107	30	0	2	105	78,1021897810219
22004	Agüero	2008	161	152	114	38	4	1	109	75
22004	Agüero	2011	164	146	97	49	3	4	90	66,4383561643836
22004	Agüero	2015	150	136	78	58	2	1	75	57,3529411764706
22004	Agüero	2016	145	135	80	55	3	0	77	59,2592592592593
22006	Aísa	2008	408	339	219	120	12	3	204	64,6017699115044
22006	Aísa	2011	362	319	203	116	16	39	148	63,6363636363636
22006	Aísa	2015	363	298	211	87	11	28	172	70,8053691275168
22006	Aísa	2016	358	298	199	99	7	14	178	66,7785234899329
22007	Albalate de Cinca	2008	1131	874	694	180	15	10	669	79,4050343249428
22007	Albalate de Cinca	2011	1237	863	635	228	25	27	583	73,5805330243337
22007	Albalate de Cinca	2015	1201	797	603	194	16	36	551	75,6587202007528
22007	Albalate de Cinca	2016	1151	792	580	212	15	23	542	73,2323232323232
22008	Albalatillo	2008	265	207	172	35	4	5	163	83,0917874396135
22008	Albalatillo	2011	243	194	166	28	2	18	146	85,5670103092784
22008	Albalatillo	2015	207	173	133	40	2	5	126	76,878612716763
22008	Albalatillo	2016	205	173	132	41	2	8	122	76,3005780346821
22009	Albelda	2008	875	751	540	211	20	14	506	71,9041278295606
22009	Albelda	2011	847	704	486	218	31	30	425	69,0340909090909
22009	Albelda	2015	762	619	456	163	15	23	418	73,6672051696284
22009	Albelda	2016	750	617	435	182	11	18	406	70,5024311183144
22011	Albero Alto	2008	120	96	75	21	2	1	72	78,125
22011	Albero Alto	2011	132	102	77	25	2	9	66	75,4901960784314
22011	Albero Alto	2015	125	89	69	20	1	9	59	77,5280898876404
22011	Albero Alto	2016	124	88	68	20	2	4	62	77,2727272727273
22012	Albero Bajo	2008	107	101	85	16	2	1	82	84,1584158415842
22012	Albero Bajo	2011	96	93	93	0	0	6	87	100
22012	Albero Bajo	2015	122	111	80	31	6	2	72	72,0720720720721
22012	Albero Bajo	2016	138	111	85	26	3	4	78	76,5765765765766
22013	Alberuela de Tubo	2008	353	322	269	53	2	6	261	83,5403726708075
22013	Alberuela de Tubo	2011	355	304	232	72	7	14	211	76,3157894736842
22013	Alberuela de Tubo	2015	327	295	230	65	13	15	202	77,9661016949153
22013	Alberuela de Tubo	2016	314	288	212	76	14	9	189	73,6111111111111
22014	Alcalá de Gurrea	2008	276	267	223	44	4	31	188	83,5205992509363
22014	Alcalá de Gurrea	2011	278	265	191	74	3	6	182	72,0754716981132
22014	Alcalá de Gurrea	2015	277	245	183	62	7	5	171	74,6938775510204
22014	Alcalá de Gurrea	2016	273	243	189	54	6	5	178	77,7777777777778
22015	Alcalá del Obispo	2008	367	341	263	78	10	4	249	77,1260997067449
22015	Alcalá del Obispo	2011	491	336	235	101	10	18	207	69,9404761904762
22015	Alcalá del Obispo	2015	349	324	235	89	8	5	222	72,5308641975309
22015	Alcalá del Obispo	2016	342	319	231	88	9	7	215	72,4137931034483
22016	Alcampell	2008	821	709	534	175	10	11	513	75,3173483779972
22016	Alcampell	2011	782	654	475	179	13	27	435	72,6299694189602
22016	Alcampell	2015	707	613	434	179	12	19	403	70,7993474714519
22016	Alcampell	2016	697	601	400	201	15	10	375	66,5557404326123
22017	Alcolea de Cinca	2008	1168	940	739	201	28	12	699	78,6170212765957
22017	Alcolea de Cinca	2011	1164	917	671	246	32	42	597	73,1733914940022
22017	Alcolea de Cinca	2015	1136	864	657	207	13	19	625	76,0416666666667
22017	Alcolea de Cinca	2016	1125	866	650	216	14	13	623	75,0577367205543
22018	Alcubierre	2008	446	380	318	62	9	4	305	83,6842105263158
22018	Alcubierre	2011	433	357	272	85	4	18	250	76,1904761904762
22018	Alcubierre	2015	401	332	242	90	3	15	224	72,8915662650602
22018	Alcubierre	2016	399	327	244	83	6	8	230	74,6177370030581
22019	Alerre	2008	224	188	160	28	3	6	151	85,1063829787234
22019	Alerre	2011	223	190	140	50	6	13	121	73,6842105263158
22019	Alerre	2015	213	180	155	25	12	10	133	86,1111111111111
22019	Alerre	2016	209	180	149	31	7	8	134	82,7777777777778
22020	Alfántega	2008	120	96	80	16	7	3	70	83,3333333333333
22020	Alfántega	2011	125	110	81	29	1	1	79	73,6363636363636
22020	Alfántega	2015	136	114	90	24	0	5	85	78,9473684210526
22020	Alfántega	2016	128	115	86	29	0	2	84	74,7826086956522
22021	Almudévar	2008	2389	2029	1631	398	57	25	1549	80,3844258255298
22021	Almudévar	2011	2554	2080	1516	564	57	97	1362	72,8846153846154
22021	Almudévar	2015	2519	1970	1467	503	51	55	1361	74,4670050761421
22021	Almudévar	2016	2501	1971	1400	571	45	51	1304	71,0299340436327
22022	Almunia de San Juan	2008	658	582	465	117	29	19	417	79,8969072164948
22022	Almunia de San Juan	2011	664	582	448	134	15	41	392	76,9759450171821
22022	Almunia de San Juan	2015	681	558	427	131	20	17	390	76,5232974910394
