Año	Provincia código	Provincia nombre	Total viviendas	Viviendas nuevas	Viviendas de 2ª mano
2015	22	Huesca	2208	498	1710
2015	44	Teruel	1160	222	938
2015	50	Zaragoza	7970	850	7120
2014	22	Huesca	1952	467	1485
2014	44	Teruel	1024	277	747
2014	50	Zaragoza	6967	1251	5716
2013	22	Huesca	1673	582	1091
2013	44	Teruel	886	261	625
2013	50	Zaragoza	5052	978	4074
2012	22	Huesca	2207	945	1262
2012	44	Teruel	1215	425	790
2012	50	Zaragoza	7626	2722	4904
2011	22	Huesca	1854	815	1039
2011	44	Teruel	1236	371	865
2011	50	Zaragoza	6170	2288	3882
2010	22	Huesca	2690	1210	1480
2010	44	Teruel	1724	848	876
2010	50	Zaragoza	10659	5025	5634
2009	22	Huesca	2938	1734	1204
2009	44	Teruel	1556	886	670
2009	50	Zaragoza	10164	5871	4293
2008	22	Huesca	4254	2930	1324
2008	44	Teruel	2362	1359	1003
2008	50	Zaragoza	9767	5708	4059
2007	22	Huesca	5985	3559	2426
2007	44	Teruel	2588	1092	1496
2007	50	Zaragoza	14785	7497	7288
2006	22	Huesca	5907	3170	2737
2006	44	Teruel	2402	800	1602
2006	50	Zaragoza	15849	6005	9844
2005	22	Huesca	5705	2395	3310
2005	44	Teruel	1995	398	1597
2005	50	Zaragoza	17985	6794	11191
2004	22	Huesca	4436	1206	3230
2004	44	Teruel	2097	241	1856
2004	50	Zaragoza	16331	5355	10976
