Provincia código	Provincia nombre	Lugar trabajo o estudio	Personas residentes viviendas familiares	Situación preferente
22	Huesca	En mi propio domicilio	477	Estudiantes que no trabajan
22	Huesca	En mi propio domicilio	3342	Trabajadores
22	Huesca	En varios municipios (viajante, conductor,...)	20	Estudiantes que no trabajan
22	Huesca	En varios municipios (viajante, conductor,...)	4999	Trabajadores
22	Huesca	En este municipio	4645	Estudiantes que no trabajan
22	Huesca	En este municipio	54763	Trabajadores
22	Huesca	En otro municipio	7912	Estudiantes que no trabajan
22	Huesca	En otro municipio	20977	Trabajadores
22	Huesca	En otro país	145	Estudiantes que no trabajan
22	Huesca	En otro país	241	Trabajadores
44	Teruel	En mi propio domicilio	161	Estudiantes que no trabajan
44	Teruel	En mi propio domicilio	2080	Trabajadores
44	Teruel	En varios municipios (viajante, conductor,...)	6	Estudiantes que no trabajan
44	Teruel	En varios municipios (viajante, conductor,...)	3254	Trabajadores
44	Teruel	En este municipio	3000	Estudiantes que no trabajan
44	Teruel	En este municipio	34332	Trabajadores
44	Teruel	En otro municipio	4857	Estudiantes que no trabajan
44	Teruel	En otro municipio	10883	Trabajadores
44	Teruel	En otro país	50	Estudiantes que no trabajan
44	Teruel	En otro país	75	Trabajadores
50	Zaragoza	En mi propio domicilio	2864	Estudiantes que no trabajan
50	Zaragoza	En mi propio domicilio	8348	Trabajadores
50	Zaragoza	En varios municipios (viajante, conductor,...)	79	Estudiantes que no trabajan
50	Zaragoza	En varios municipios (viajante, conductor,...)	14224	Trabajadores
50	Zaragoza	En este municipio	45206	Estudiantes que no trabajan
50	Zaragoza	En este municipio	271504	Trabajadores
50	Zaragoza	En otro municipio	12674	Estudiantes que no trabajan
50	Zaragoza	En otro municipio	65825	Trabajadores
50	Zaragoza	En otro país	672	Estudiantes que no trabajan
50	Zaragoza	En otro país	922	Trabajadores
