Provincia código	Provincia nombre	Situación preferente	Personas residentes viviendas familiares
22	Huesca	Estudiantes	36218
22	Huesca	Ocupados	84354
22	Huesca	Parados buscando el primer empleo	1455
22	Huesca	Parados que han trabajado antes	5712
22	Huesca	Pensionistas de invalidez	3604
22	Huesca	Pensionistas de viudedad u orfandad	10695
22	Huesca	Pensionistas de jubilación	29326
22	Huesca	Realizando tareas de voluntariado	112
22	Huesca	Dependientes	472
22	Huesca	Realizando o compartiendo las labores del hogar	27524
22	Huesca	Otra situación	4453
44	Teruel	Estudiantes	24114
44	Teruel	Ocupados	50645
44	Teruel	Parados buscando el primer empleo	752
44	Teruel	Parados que han trabajado antes	3186
44	Teruel	Pensionistas de invalidez	2140
44	Teruel	Pensionistas de viudedad u orfandad	5879
44	Teruel	Pensionistas de jubilación	25804
44	Teruel	Realizando tareas de voluntariado	37
44	Teruel	Dependientes	229
44	Teruel	Realizando o compartiendo las labores del hogar	18460
44	Teruel	Otra situación	2600
50	Zaragoza	Estudiantes	155381
50	Zaragoza	Ocupados	360930
50	Zaragoza	Parados buscando el primer empleo	8630
50	Zaragoza	Parados que han trabajado antes	36131
50	Zaragoza	Pensionistas de invalidez	17034
50	Zaragoza	Pensionistas de viudedad u orfandad	38182
50	Zaragoza	Pensionistas de jubilación	103095
50	Zaragoza	Realizando tareas de voluntariado	597
50	Zaragoza	Dependientes	2238
50	Zaragoza	Realizando o compartiendo las labores del hogar	110545
50	Zaragoza	Otra situación	21102
