Aragón	Lugar trabajo o estudio	Número de viajes diarios	Personas residentes viviendas familiares	Situación preferente
Aragón	En el mismo municipio de residencia	0	635	Estudiantes que no trabajan
Aragón	En el mismo municipio de residencia	0	2516	Trabajadores
Aragón	En el mismo municipio de residencia	1	34787	Estudiantes que no trabajan
Aragón	En el mismo municipio de residencia	1	162467	Trabajadores
Aragón	En el mismo municipio de residencia	2 o más	17429	Estudiantes que no trabajan
Aragón	En el mismo municipio de residencia	2 o más	195616	Trabajadores
Aragón	En otro municipio	0	14935	Estudiantes que no trabajan
Aragón	En otro municipio	0	24055	Trabajadores
Aragón	En otro municipio	1	8749	Estudiantes que no trabajan
Aragón	En otro municipio	1	53225	Trabajadores
Aragón	En otro municipio	2 o más	1759	Estudiantes que no trabajan
Aragón	En otro municipio	2 o más	20405	Trabajadores
