Municipio código	Municipio nombre	Provincia código	Provincia nombre	Población	Superficie (km2)	Densidad de población (hab/km2)	Año
22001	Abiego	22	Huesca	273	38,19	7,14846818538885	2011
22001	Abiego	22	Huesca	289	38,19	7,56742602775596	2001
22001	Abiego	22	Huesca	320	38,19	8,37915684734224	1991
22001	Abiego	22	Huesca	357	38,19	9,34799685781618	1981
22001	Abiego	22	Huesca	465	38,19	12,1759622937942	1970
22001	Abiego	22	Huesca	614	38,19	16,0775072008379	1960
22001	Abiego	22	Huesca	766	38,19	20,0576067033255	1950
22001	Abiego	22	Huesca	1058	38,19	27,7035873265253	1940
22001	Abiego	22	Huesca	1181	38,19	30,9243257397224	1930
22001	Abiego	22	Huesca	1401	38,19	36,6849960722702	1920
22001	Abiego	22	Huesca	1440	38,19	37,7062058130401	1910
22001	Abiego	22	Huesca	1383	38,19	36,2136684996072	1900
22002	Abizanda	22	Huesca	133	44,84	2,96610169491525	2011
22002	Abizanda	22	Huesca	133	44,84	2,96610169491525	2001
22002	Abizanda	22	Huesca	129	44,84	2,87689562890277	1991
22002	Abizanda	22	Huesca	134	44,84	2,98840321141838	1981
22002	Abizanda	22	Huesca	195	44,84	4,34879571810883	1970
22002	Abizanda	22	Huesca	305	44,84	6,80196253345227	1960
22002	Abizanda	22	Huesca	387	44,84	8,6306868867083	1950
22002	Abizanda	22	Huesca	402	44,84	8,96520963425513	1940
22002	Abizanda	22	Huesca	437	44,84	9,74576271186441	1930
22002	Abizanda	22	Huesca	446	44,84	9,94647636039251	1920
22002	Abizanda	22	Huesca	472	44,84	10,5263157894737	1910
22002	Abizanda	22	Huesca	463	44,84	10,3256021409456	1900
22003	Adahuesca	22	Huesca	178	52,47	3,39241471316943	2011
22003	Adahuesca	22	Huesca	159	52,47	3,03030303030303	2001
22003	Adahuesca	22	Huesca	174	52,47	3,31618067467124	1991
22003	Adahuesca	22	Huesca	183	52,47	3,48770726129217	1981
22003	Adahuesca	22	Huesca	258	52,47	4,91709548313322	1970
22003	Adahuesca	22	Huesca	332	52,47	6,32742519534972	1960
22003	Adahuesca	22	Huesca	423	52,47	8,06174957118353	1950
22003	Adahuesca	22	Huesca	513	52,47	9,7770154373928	1940
22003	Adahuesca	22	Huesca	545	52,47	10,3868877453783	1930
22003	Adahuesca	22	Huesca	647	52,47	12,3308557270821	1920
22003	Adahuesca	22	Huesca	631	52,47	12,0259195730894	1910
22003	Adahuesca	22	Huesca	725	52,47	13,8174194777968	1900
22004	Agüero	22	Huesca	156	94,16	1,65675446049278	2011
22004	Agüero	22	Huesca	171	94,16	1,8160577740017	2001
22004	Agüero	22	Huesca	168	94,16	1,78419711129992	1991
22004	Agüero	22	Huesca	238	94,16	2,52761257434155	1981
22004	Agüero	22	Huesca	303	94,16	3,2179269328802	1970
22004	Agüero	22	Huesca	504	94,16	5,35259133389975	1960
22004	Agüero	22	Huesca	785	94,16	8,33687340696686	1950
22004	Agüero	22	Huesca	1007	94,16	10,6945624468989	1940
22004	Agüero	22	Huesca	1084	94,16	11,5123194562447	1930
22004	Agüero	22	Huesca	1177	94,16	12,5	1920
22004	Agüero	22	Huesca	1253	94,16	13,3071367884452	1910
22004	Agüero	22	Huesca	1182	94,16	12,553101104503	1900
22006	Aísa	22	Huesca	370	80,97	4,56959367667037	2011
22006	Aísa	22	Huesca	402	80,97	4,96480177843646	2001
22006	Aísa	22	Huesca	321	80,97	3,96443127084105	1991
22006	Aísa	22	Huesca	273	80,97	3,37161911819192	1981
22006	Aísa	22	Huesca	263	80,97	3,24811658639002	1970
22006	Aísa	22	Huesca	385	80,97	4,75484747437322	1960
