Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2015	111636	PP-PAR	3
22	Huesca	2015	85766	PSOE	1
22	Huesca	2015	50355	PODEMOS-Ahora Alto Aragón en Común	0
22	Huesca	2015	42247	C's	0
22	Huesca	2015	18704	IU-CHA-UPeC	0
22	Huesca	2015	4887	EB	0
22	Huesca	2015	4270	PACMA	0
22	Huesca	2015	2790	UPYD	0
22	Huesca	2015	753	RECORTES CERO-GRUPO VERDE	0
22	Huesca	2015	269	Independientes-FIA	0
22	Huesca	2015	533	PCPE	0
44	Teruel	2015	80039	PP-PAR	3
44	Teruel	2015	56113	PSOE	1
44	Teruel	2015	28442	PODEMOS	0
44	Teruel	2015	25323	C's	0
44	Teruel	2015	11569	IU-CHA-UPeC	0
44	Teruel	2015	2921	EB	0
44	Teruel	2015	1981	PACMA	0
44	Teruel	2015	1464	UPYD	0
44	Teruel	2015	341	RECORTES CERO-GRUPO VERDE	0
44	Teruel	2015	314	PCPE	0
50	Zaragoza	2015	458863	PP-PAR	3
50	Zaragoza	2015	328255	PSOE	1
50	Zaragoza	2015	255526	PODEMOS	0
50	Zaragoza	2015	202106	C's	0
50	Zaragoza	2015	97903	IU-CHA-UPeC	0
50	Zaragoza	2015	26169	EB	0
50	Zaragoza	2015	18078	PACMA	0
50	Zaragoza	2015	14359	UPYD	0
50	Zaragoza	2015	4645	RECORTES CERO-GRUPO VERDE	0
50	Zaragoza	2015	3877	VOX	0
50	Zaragoza	2015	2428	Independientes-FIA	0
50	Zaragoza	2015	1373	PCPE	0
50	Zaragoza	2015	1179	BAR	0
